dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",64,0,       0.033799
2,double,uniform,PoisFFT,"P | P | P | P",64,1,       0.029390
2,double,uniform,PoisFFT,"P | P | P | P",64,2,       0.029130
2,double,uniform,PoisFFT,"P | P | P | P",64,3,       0.029039
2,double,uniform,PoisFFT,"P | P | P | P",64,4,       0.028890
2,double,uniform,PoisFFT,"P | P | P | P",64,5,       0.028980
2,double,uniform,PoisFFT,"P | P | P | P",64,6,       0.029600
2,double,uniform,PoisFFT,"P | P | P | P",64,7,       0.028940
2,double,uniform,PoisFFT,"P | P | P | P",64,8,       0.028840
2,double,uniform,PoisFFT,"P | P | P | P",64,9,       0.029049
2,double,uniform,PoisFFT,"P | P | P | P",64,10,       0.028879
2,double,uniform,PoisFFT,"P | P | P | P",64,11,       0.028880
2,double,uniform,PoisFFT,"P | P | P | P",64,12,       0.029110
2,double,uniform,PoisFFT,"P | P | P | P",64,13,       0.028940
2,double,uniform,PoisFFT,"P | P | P | P",64,14,       0.028949
2,double,uniform,PoisFFT,"P | P | P | P",64,15,       0.028799
2,double,uniform,PoisFFT,"P | P | P | P",64,16,       0.028889
2,double,uniform,PoisFFT,"P | P | P | P",64,17,       0.029450
2,double,uniform,PoisFFT,"P | P | P | P",64,18,       0.029020
2,double,uniform,PoisFFT,"P | P | P | P",64,19,       0.028860
2,double,uniform,PoisFFT,"P | P | P | P",64,20,       0.029099
2,double,uniform,PoisFFT,"P | P | P | P",64,21,       0.033389
2,double,uniform,PoisFFT,"P | P | P | P",64,22,       0.029109
2,double,uniform,PoisFFT,"P | P | P | P",64,23,       0.029270
2,double,uniform,PoisFFT,"P | P | P | P",64,24,       0.029050
2,double,uniform,PoisFFT,"P | P | P | P",64,25,       0.029040
2,double,uniform,PoisFFT,"P | P | P | P",64,26,       0.028929
2,double,uniform,PoisFFT,"P | P | P | P",64,27,       0.029059
2,double,uniform,PoisFFT,"P | P | P | P",64,28,       0.029229
2,double,uniform,PoisFFT,"P | P | P | P",64,29,       0.029120
2,double,uniform,PoisFFT,"P | P | P | P",64,30,       0.028790
2,double,uniform,PoisFFT,"P | P | P | P",64,31,       0.029030
2,double,uniform,PoisFFT,"P | P | P | P",64,32,       0.029089
2,double,uniform,PoisFFT,"P | P | P | P",64,33,       0.028999
2,double,uniform,PoisFFT,"P | P | P | P",64,34,       0.033150
2,double,uniform,PoisFFT,"P | P | P | P",64,35,       0.029010
2,double,uniform,PoisFFT,"P | P | P | P",64,36,       0.028910
2,double,uniform,PoisFFT,"P | P | P | P",64,37,       0.028940
2,double,uniform,PoisFFT,"P | P | P | P",64,38,       0.029150
2,double,uniform,PoisFFT,"P | P | P | P",64,39,       0.028879
2,double,uniform,PoisFFT,"P | P | P | P",64,40,       0.028980
2,double,uniform,PoisFFT,"P | P | P | P",64,41,       0.028990
2,double,uniform,PoisFFT,"P | P | P | P",64,42,       0.029020
2,double,uniform,PoisFFT,"P | P | P | P",64,43,       0.029130
2,double,uniform,PoisFFT,"P | P | P | P",64,44,       0.028849
2,double,uniform,PoisFFT,"P | P | P | P",64,45,       0.028799
2,double,uniform,PoisFFT,"P | P | P | P",64,46,       0.028969
2,double,uniform,PoisFFT,"P | P | P | P",64,47,       0.033780
2,double,uniform,PoisFFT,"P | P | P | P",64,48,       0.028980
2,double,uniform,PoisFFT,"P | P | P | P",64,49,       0.029080
2,double,uniform,PoisFFT,"P | P | P | P",64,50,       0.028910
2,double,uniform,PoisFFT,"P | P | P | P",64,51,       0.028899
2,double,uniform,PoisFFT,"P | P | P | P",64,52,       0.028950
2,double,uniform,PoisFFT,"P | P | P | P",64,53,       0.028940
2,double,uniform,PoisFFT,"P | P | P | P",64,54,       0.029000
2,double,uniform,PoisFFT,"P | P | P | P",64,55,       0.029179
2,double,uniform,PoisFFT,"P | P | P | P",64,56,       0.028909
2,double,uniform,PoisFFT,"P | P | P | P",64,57,       0.028930
2,double,uniform,PoisFFT,"P | P | P | P",64,58,       0.028940
2,double,uniform,PoisFFT,"P | P | P | P",64,59,       0.028830
2,double,uniform,PoisFFT,"P | P | P | P",64,60,       0.028970
2,double,uniform,PoisFFT,"P | P | P | P",64,61,       0.029010
2,double,uniform,PoisFFT,"P | P | P | P",64,62,       0.029079
2,double,uniform,PoisFFT,"P | P | P | P",64,63,       0.028960
2,double,uniform,PoisFFT,"P | P | P | P",64,64,       0.030239
2,double,uniform,PoisFFT,"P | P | P | P",64,65,       0.028960
2,double,uniform,PoisFFT,"P | P | P | P",64,66,       0.029050
2,double,uniform,PoisFFT,"P | P | P | P",64,67,       0.028990
2,double,uniform,PoisFFT,"P | P | P | P",64,68,       0.029070
2,double,uniform,PoisFFT,"P | P | P | P",64,69,       0.028930
2,double,uniform,PoisFFT,"P | P | P | P",64,70,       0.028910
2,double,uniform,PoisFFT,"P | P | P | P",64,71,       0.029000
2,double,uniform,PoisFFT,"P | P | P | P",64,72,       0.028970
2,double,uniform,PoisFFT,"P | P | P | P",64,73,       0.029009
2,double,uniform,PoisFFT,"P | P | P | P",64,74,       0.029089
2,double,uniform,PoisFFT,"P | P | P | P",128,0,       0.143338
2,double,uniform,PoisFFT,"P | P | P | P",128,1,       0.137539
2,double,uniform,PoisFFT,"P | P | P | P",128,2,       0.136249
2,double,uniform,PoisFFT,"P | P | P | P",128,3,       0.137359
2,double,uniform,PoisFFT,"P | P | P | P",128,4,       0.136948
2,double,uniform,PoisFFT,"P | P | P | P",128,5,       0.141149
