dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.589762
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.819401
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.816261
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.812680
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.805481
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.806831
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.803111
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.808171
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.805311
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.811121
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.812511
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.808251
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.800380
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.812441
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.812801
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.809571
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.791421
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.804281
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.804181
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.807601
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.801142
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.801871
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.811471
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.806641
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.805801
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.812571
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.807871
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.808271
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.807861
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.812251
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.809141
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,31,       0.811241
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,32,       0.815242
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,33,       0.808561
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,34,       0.815801
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,35,       0.805231
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,36,       0.800901
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,37,       0.808471
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,38,       0.814031
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,39,       0.807671
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,40,       0.810661
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,41,       0.804531
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,42,       0.812291
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,43,       0.813321
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,44,       0.807131
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,45,       0.805321
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,46,       0.805912
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,47,       0.808021
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,48,       0.813962
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,49,       0.794931
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,50,       0.809801
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,51,       0.812641
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,52,       0.809811
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,53,       0.804621
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,54,       0.809111
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,55,       0.812131
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,56,       0.802411
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,57,       0.810471
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,58,       0.808771
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,59,       0.812761
