dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,      16.546076
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,      17.381977
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,      17.512466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,      17.534446
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,       0.482624
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,       0.484165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,       0.480475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,       0.484784
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,       0.483955
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,       0.481784
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,       0.478375
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,       0.484454
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,       0.486065
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,       0.489635
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,       0.477035
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,       0.476445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,       0.480334
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,       0.489845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,       0.477364
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,       0.483765
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,20,       0.477934
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,21,       0.482655
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,22,       0.484275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,23,       0.478824
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,24,       0.477935
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,25,       0.477855
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,26,       0.474585
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,27,       0.479835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,28,       0.475175
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,29,       0.475175
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,30,       0.485335
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,31,       0.499395
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,32,       0.488235
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,33,       0.496834
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,34,       0.472145
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,35,       0.468285
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,36,       0.469334
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,37,       0.461875
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,38,       0.469115
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,39,       0.475895
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,40,       0.468254
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,41,       0.474995
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,42,       0.467795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,43,       0.483695
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,44,       0.480685
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,45,       0.468225
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,46,       0.472835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,47,       0.471605
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,48,       0.475344
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,49,       0.486765
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,50,       0.482775
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,51,       0.478344
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,52,       0.474725
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,53,       0.494865
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,54,       0.494475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,55,       0.497665
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,56,       0.481624
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,57,       0.500495
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,58,       0.490625
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,59,       0.491634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,60,       0.482435
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,61,       0.483264
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,62,       0.470975
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,63,       0.481464
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,64,       0.471925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,65,       0.482724
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,66,       0.481955
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,67,       0.484194
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,68,       0.477004
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,69,       0.481275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,70,       0.487534
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,71,       0.494904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,72,       0.500075
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,73,       0.499824
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,74,       0.503785
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,      10.351725
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,       9.111479
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,       8.902331
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,       9.865321
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,       9.114279
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,       9.151198
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,6,       9.177448
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,7,       9.079799
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,8,       9.228698
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,9,       8.978280
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,10,       8.910531
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,11,       9.269477
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,12,       8.914091
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,13,       9.134639
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,14,       9.015100
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,15,       8.883691
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,16,       9.018769
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,17,       8.917791
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,18,       9.027940
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,19,       8.966361
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,20,       9.049439
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,21,       8.881202
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,22,       9.089579
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,23,       9.231357
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,24,       8.946551
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,25,       9.123508
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,26,       9.094669
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,27,       9.170248
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,28,       8.996050
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,29,       8.971350
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,30,       8.854172
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,31,       9.858851
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,32,       8.949490
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,33,       8.950430
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,34,       8.797592
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,35,       9.243397
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,36,       9.078739
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,37,       8.902751
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,38,       8.974401
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,39,       8.980840
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,40,       8.792793
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,41,       8.910571
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,42,       8.976861
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,43,       9.956809
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,44,       9.065559
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,45,       8.949731
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,46,       9.088579
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,47,       9.139039
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,48,       8.762203
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,49,       8.880001
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,50,       9.124618
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,51,       8.983930
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,52,       9.135709
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,53,       9.019730
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,54,       8.914420
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,55,       9.179678
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,56,       8.944041
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,57,       9.035579
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,58,       9.047210
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,59,       8.880231
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,60,       9.183208
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,61,       9.004950
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,62,       9.179218
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,63,       8.996550
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,64,       8.952040
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,65,       9.058000
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,66,       8.974081
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,67,       9.169588
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,68,       8.899391
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,69,       9.032839
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,70,       8.864031
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,71,       9.169768
