dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,      16.555178
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,      17.522857
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,      17.576396
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,      17.469777
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,      17.441077
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,      17.535498
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,      17.557886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,      17.527037
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,      16.821415
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,      17.491597
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,      17.576557
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,      17.445678
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,      17.508257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,      17.551526
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,      16.429709
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,      16.432929
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,      17.462238
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,      17.527617
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,      17.543377
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,      17.552817
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,20,      17.496047
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,21,      16.455299
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,22,      16.425859
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,23,      22.798509
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,24,      16.455898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,25,      17.560506
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,26,      16.442009
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,27,      17.503107
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,28,      23.479252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,29,      16.425009
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,30,      17.813044
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,31,      17.841643
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,32,      17.831524
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,33,      23.072835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,34,      16.470888
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,35,      23.087846
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,36,      17.784114
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,37,       0.483995
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,38,       0.454735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,39,       0.468735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,40,       0.471585
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,41,       0.468345
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,42,       0.463875
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,43,       0.461215
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,44,       0.470135
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,45,       0.458135
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,46,       0.464225
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,47,       0.462275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,48,       0.467605
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,49,       0.474115
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,50,       0.451805
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,51,       0.457085
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,52,       0.463185
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,53,       0.469155
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,54,       0.484084
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,55,       0.466285
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,56,       0.470214
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,57,       0.467574
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,58,       0.470005
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,59,       0.460804
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,60,       0.466565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,61,       0.475685
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,62,       0.486505
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,63,       0.485675
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,64,       0.478415
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,65,       0.478295
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,66,       0.475185
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,67,       0.481554
