dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,0,       0.038990
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,1,       0.032000
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,2,       0.031659
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,3,       0.031630
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,4,       0.031560
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,5,       0.031519
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,6,       0.031510
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,7,       0.031540
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,8,       0.031500
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,9,       0.031580
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,10,       0.031589
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,11,       0.031719
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,12,       0.031550
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,13,       0.031489
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,14,       0.031490
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,15,       0.031559
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,16,       0.031559
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,17,       0.031670
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,18,       0.031479
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,19,       0.031520
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,20,       0.031580
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,21,       0.031449
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,22,       0.031590
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,23,       0.031539
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,24,       0.031559
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,25,       0.031500
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,26,       0.031559
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,27,       0.036180
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,28,       0.031510
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,29,       0.031489
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,30,       0.031600
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,31,       0.031509
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,32,       0.031499
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,33,       0.031480
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,34,       0.031489
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,35,       0.031460
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,36,       0.031480
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,37,       0.031510
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,38,       0.031500
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,39,       0.031530
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,40,       0.031540
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,41,       0.031520
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,42,       0.031509
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,43,       0.031570
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,44,       0.036139
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,45,       0.031659
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,46,       0.031540
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,47,       0.031530
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,48,       0.031550
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,49,       0.031510
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,50,       0.031539
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,51,       0.031530
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,52,       0.031479
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,53,       0.031500
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,54,       0.031530
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,55,       0.031529
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,56,       0.031530
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,57,       0.031600
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,58,       0.031539
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,59,       0.031600
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,60,       0.031499
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,61,       0.031560
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,62,       0.032320
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,63,       0.031750
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,64,       0.038339
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,65,       0.031780
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,66,       0.031610
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,67,       0.031629
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,68,       0.031620
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,69,       0.031640
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,70,       0.031560
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,71,       0.031670
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,72,       0.031809
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,73,       0.031600
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",64,74,       0.031560
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,0,       0.151978
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,1,       0.155729
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,2,       0.149968
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,3,       0.149639
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,4,       0.149659
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,5,       0.155428
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,6,       0.150248
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,7,       0.149878
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,8,       0.151288
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,9,       0.155718
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,10,       0.150249
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,11,       0.149658
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,12,       0.149759
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,13,       0.156369
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,14,       0.149768
