dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"P | P | P | P",64,0,       0.027250
2,float,uniform,PoisFFT,"P | P | P | P",64,1,       0.015480
2,float,uniform,PoisFFT,"P | P | P | P",64,2,       0.015230
2,float,uniform,PoisFFT,"P | P | P | P",64,3,       0.015200
2,float,uniform,PoisFFT,"P | P | P | P",64,4,       0.015180
2,float,uniform,PoisFFT,"P | P | P | P",64,5,       0.015149
2,float,uniform,PoisFFT,"P | P | P | P",64,6,       0.015220
2,float,uniform,PoisFFT,"P | P | P | P",64,7,       0.015160
2,float,uniform,PoisFFT,"P | P | P | P",64,8,       0.015130
2,float,uniform,PoisFFT,"P | P | P | P",64,9,       0.015180
2,float,uniform,PoisFFT,"P | P | P | P",64,10,       0.015120
2,float,uniform,PoisFFT,"P | P | P | P",64,11,       0.015100
2,float,uniform,PoisFFT,"P | P | P | P",64,12,       0.015149
2,float,uniform,PoisFFT,"P | P | P | P",64,13,       0.015150
2,float,uniform,PoisFFT,"P | P | P | P",64,14,       0.015180
2,float,uniform,PoisFFT,"P | P | P | P",64,15,       0.015130
2,float,uniform,PoisFFT,"P | P | P | P",64,16,       0.015170
2,float,uniform,PoisFFT,"P | P | P | P",64,17,       0.015130
2,float,uniform,PoisFFT,"P | P | P | P",64,18,       0.015310
2,float,uniform,PoisFFT,"P | P | P | P",64,19,       0.015159
2,float,uniform,PoisFFT,"P | P | P | P",64,20,       0.015190
2,float,uniform,PoisFFT,"P | P | P | P",64,21,       0.015110
2,float,uniform,PoisFFT,"P | P | P | P",64,22,       0.015270
2,float,uniform,PoisFFT,"P | P | P | P",64,23,       0.015229
2,float,uniform,PoisFFT,"P | P | P | P",64,24,       0.015260
2,float,uniform,PoisFFT,"P | P | P | P",64,25,       0.015230
2,float,uniform,PoisFFT,"P | P | P | P",64,26,       0.015140
2,float,uniform,PoisFFT,"P | P | P | P",64,27,       0.015180
2,float,uniform,PoisFFT,"P | P | P | P",64,28,       0.015080
2,float,uniform,PoisFFT,"P | P | P | P",64,29,       0.015120
2,float,uniform,PoisFFT,"P | P | P | P",64,30,       0.015200
2,float,uniform,PoisFFT,"P | P | P | P",64,31,       0.015140
2,float,uniform,PoisFFT,"P | P | P | P",64,32,       0.015090
2,float,uniform,PoisFFT,"P | P | P | P",64,33,       0.015130
2,float,uniform,PoisFFT,"P | P | P | P",64,34,       0.015090
2,float,uniform,PoisFFT,"P | P | P | P",64,35,       0.015280
2,float,uniform,PoisFFT,"P | P | P | P",64,36,       0.015190
2,float,uniform,PoisFFT,"P | P | P | P",64,37,       0.015189
2,float,uniform,PoisFFT,"P | P | P | P",64,38,       0.015420
2,float,uniform,PoisFFT,"P | P | P | P",64,39,       0.015159
2,float,uniform,PoisFFT,"P | P | P | P",64,40,       0.015150
2,float,uniform,PoisFFT,"P | P | P | P",64,41,       0.015290
2,float,uniform,PoisFFT,"P | P | P | P",64,42,       0.015170
2,float,uniform,PoisFFT,"P | P | P | P",64,43,       0.015120
2,float,uniform,PoisFFT,"P | P | P | P",64,44,       0.015079
2,float,uniform,PoisFFT,"P | P | P | P",64,45,       0.015120
2,float,uniform,PoisFFT,"P | P | P | P",64,46,       0.015139
2,float,uniform,PoisFFT,"P | P | P | P",64,47,       0.015250
2,float,uniform,PoisFFT,"P | P | P | P",64,48,       0.015199
2,float,uniform,PoisFFT,"P | P | P | P",64,49,       0.015140
2,float,uniform,PoisFFT,"P | P | P | P",64,50,       0.015110
2,float,uniform,PoisFFT,"P | P | P | P",64,51,       0.015120
2,float,uniform,PoisFFT,"P | P | P | P",64,52,       0.015180
2,float,uniform,PoisFFT,"P | P | P | P",64,53,       0.015150
2,float,uniform,PoisFFT,"P | P | P | P",64,54,       0.015150
2,float,uniform,PoisFFT,"P | P | P | P",64,55,       0.015140
2,float,uniform,PoisFFT,"P | P | P | P",64,56,       0.015100
2,float,uniform,PoisFFT,"P | P | P | P",64,57,       0.015110
2,float,uniform,PoisFFT,"P | P | P | P",64,58,       0.015160
2,float,uniform,PoisFFT,"P | P | P | P",64,59,       0.015140
2,float,uniform,PoisFFT,"P | P | P | P",64,60,       0.015090
2,float,uniform,PoisFFT,"P | P | P | P",64,61,       0.015200
2,float,uniform,PoisFFT,"P | P | P | P",64,62,       0.015180
2,float,uniform,PoisFFT,"P | P | P | P",64,63,       0.015190
2,float,uniform,PoisFFT,"P | P | P | P",64,64,       0.015179
2,float,uniform,PoisFFT,"P | P | P | P",64,65,       0.016260
