dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,      17.039634
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,       3.962996
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,       1.696321
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,       1.559493
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,       1.486853
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       1.372785
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       1.735571
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       1.428984
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       1.485933
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       1.784120
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       1.329665
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       1.419795
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       1.250787
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       1.391815
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       1.337775
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       1.387615
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       1.421605
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       1.462104
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       1.467684
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       1.650362
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,       1.588572
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,       1.640821
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,       1.395404
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,       1.396385
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,       1.328736
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,       1.408774
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,       1.387585
