dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,0,      21.704157
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,1,      16.489513
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,2,      19.434211
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,3,      19.482711
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,4,      19.467491
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,5,      16.501513
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,6,      16.441223
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,7,      19.378012
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,8,      16.378044
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,9,      18.971836
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,10,       0.617873
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,11,       0.626663
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,12,       0.643313
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,13,       0.680763
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,14,       0.740472
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,15,       0.624503
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,16,       0.600403
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,17,       0.609854
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,18,       0.619983
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,19,       0.654453
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,20,       0.649654
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,21,       0.645573
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,22,       0.637723
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,23,       0.639223
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,24,       0.656593
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,25,       0.641183
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,26,       0.654293
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,27,       0.650462
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,28,       0.637613
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,29,       0.617283
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,30,       0.649203
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,31,       0.669722
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,32,       0.654013
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,33,       0.627823
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,34,       0.768162
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,35,       0.607073
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,36,       0.644262
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,37,       0.662203
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,38,       0.661243
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,39,       0.626273
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,40,       0.607404
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,41,       0.648083
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,42,       0.620643
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,43,       0.661273
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,44,       0.642383
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,45,       0.624933
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,46,       0.613763
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,47,       0.641793
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,48,       0.597724
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,49,       0.621723
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,50,       0.642053
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,51,       0.648863
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,52,       0.621463
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",64,53,       0.610214
