dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,0,       0.802542
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,1,       0.260407
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,2,       0.257337
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,3,       0.263397
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,4,       0.263838
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,5,       0.257287
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,6,       0.265348
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,7,       0.259438
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,8,       0.260728
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,9,       0.249098
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,10,       0.253108
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,11,       0.255338
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,12,       0.253968
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,13,       0.257488
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,14,       0.256348
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,15,       0.254497
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,16,       0.254347
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,17,       0.253418
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,18,       0.254358
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,19,       0.255257
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,20,       0.251977
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,21,       0.256547
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,22,       0.255127
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,23,       0.257367
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,24,       0.253258
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,25,       0.260797
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,26,       0.256687
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,27,       0.257808
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,28,       0.252548
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,29,       0.257397
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,30,       0.258037
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,31,       0.260918
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,32,       0.256227
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,33,       0.257947
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,34,       0.252477
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,35,       0.252847
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,36,       0.253347
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,37,       0.258437
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,38,       0.256347
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,39,       0.255057
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,40,       0.255757
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,41,       0.261507
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,42,       0.261197
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,43,       0.257647
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,44,       0.262017
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,45,       0.259977
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,46,       0.254937
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,47,       0.254997
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,48,       0.257557
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,49,       0.256017
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,50,       0.254477
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,51,       0.255087
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,52,       0.253067
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,53,       0.256168
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,54,       0.254477
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,55,       0.254747
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,56,       0.379126
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,57,       0.257117
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,58,       0.253488
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,59,       0.253038
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,60,       0.257357
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,61,       0.256828
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,62,       0.258337
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,63,       0.257907
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,64,       0.253207
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,65,       0.259208
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,66,       0.258907
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,67,       0.259608
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,68,       0.260738
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,69,       0.260357
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,70,       0.257267
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,71,       0.250908
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,72,       0.255347
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,73,       0.255777
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",64,74,       0.249238
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,0,       1.958939
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,1,       1.913049
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,2,       1.909280
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,3,       1.902700
