dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,      17.130873
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,1,       8.706985
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,2,       0.477094
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,3,       0.471994
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,4,       0.471955
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,5,       0.471175
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,6,       0.478764
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,7,       0.477495
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,8,       0.481065
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,9,       0.471724
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,10,       0.474584
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,11,       0.472495
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,12,       0.474405
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,13,       0.475234
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,14,       0.471514
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,15,       0.471585
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,16,       0.471645
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,17,       0.475374
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,18,       0.481264
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,19,       0.480334
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,20,       0.480074
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,21,       0.473994
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,22,       0.474254
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,23,       0.475404
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,24,       0.474075
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,25,       0.471215
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,26,       0.472205
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,27,       0.476385
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,28,       0.478345
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,29,       0.481014
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,30,       0.476444
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,31,       0.475574
