dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"N | N",64,0,       0.001560
1,double,uniform,PoisFFT,"N | N",64,1,       0.000910
1,double,uniform,PoisFFT,"N | N",64,2,       0.000850
1,double,uniform,PoisFFT,"N | N",64,3,       0.000850
1,double,uniform,PoisFFT,"N | N",64,4,       0.000840
1,double,uniform,PoisFFT,"N | N",64,5,       0.000840
1,double,uniform,PoisFFT,"N | N",64,6,       0.000870
1,double,uniform,PoisFFT,"N | N",64,7,       0.000850
1,double,uniform,PoisFFT,"N | N",64,8,       0.000870
1,double,uniform,PoisFFT,"N | N",64,9,       0.000840
1,double,uniform,PoisFFT,"N | N",64,10,       0.000851
1,double,uniform,PoisFFT,"N | N",64,11,       0.000840
1,double,uniform,PoisFFT,"N | N",64,12,       0.000840
1,double,uniform,PoisFFT,"N | N",64,13,       0.000849
1,double,uniform,PoisFFT,"N | N",64,14,       0.000830
1,double,uniform,PoisFFT,"N | N",64,15,       0.000830
1,double,uniform,PoisFFT,"N | N",64,16,       0.000830
1,double,uniform,PoisFFT,"N | N",64,17,       0.000840
1,double,uniform,PoisFFT,"N | N",64,18,       0.000840
1,double,uniform,PoisFFT,"N | N",64,19,       0.000850
1,double,uniform,PoisFFT,"N | N",64,20,       0.000840
1,double,uniform,PoisFFT,"N | N",64,21,       0.000820
1,double,uniform,PoisFFT,"N | N",64,22,       0.000850
1,double,uniform,PoisFFT,"N | N",64,23,       0.000830
1,double,uniform,PoisFFT,"N | N",64,24,       0.000830
1,double,uniform,PoisFFT,"N | N",64,25,       0.000840
1,double,uniform,PoisFFT,"N | N",64,26,       0.000840
1,double,uniform,PoisFFT,"N | N",64,27,       0.000840
1,double,uniform,PoisFFT,"N | N",64,28,       0.000850
1,double,uniform,PoisFFT,"N | N",64,29,       0.000850
1,double,uniform,PoisFFT,"N | N",64,30,       0.000840
1,double,uniform,PoisFFT,"N | N",64,31,       0.000840
1,double,uniform,PoisFFT,"N | N",64,32,       0.000840
1,double,uniform,PoisFFT,"N | N",64,33,       0.000830
1,double,uniform,PoisFFT,"N | N",64,34,       0.000840
1,double,uniform,PoisFFT,"N | N",64,35,       0.000840
1,double,uniform,PoisFFT,"N | N",64,36,       0.000851
1,double,uniform,PoisFFT,"N | N",64,37,       0.000851
1,double,uniform,PoisFFT,"N | N",64,38,       0.000849
1,double,uniform,PoisFFT,"N | N",64,39,       0.000840
1,double,uniform,PoisFFT,"N | N",64,40,       0.000840
1,double,uniform,PoisFFT,"N | N",64,41,       0.000830
1,double,uniform,PoisFFT,"N | N",64,42,       0.000850
1,double,uniform,PoisFFT,"N | N",64,43,       0.000990
1,double,uniform,PoisFFT,"N | N",64,44,       0.000970
1,double,uniform,PoisFFT,"N | N",64,45,       0.000850
1,double,uniform,PoisFFT,"N | N",64,46,       0.000840
1,double,uniform,PoisFFT,"N | N",64,47,       0.000840
1,double,uniform,PoisFFT,"N | N",64,48,       0.000840
1,double,uniform,PoisFFT,"N | N",64,49,       0.000830
1,double,uniform,PoisFFT,"N | N",64,50,       0.000850
1,double,uniform,PoisFFT,"N | N",64,51,       0.000840
1,double,uniform,PoisFFT,"N | N",64,52,       0.000830
1,double,uniform,PoisFFT,"N | N",64,53,       0.000840
1,double,uniform,PoisFFT,"N | N",64,54,       0.000840
1,double,uniform,PoisFFT,"N | N",64,55,       0.000830
1,double,uniform,PoisFFT,"N | N",64,56,       0.000850
1,double,uniform,PoisFFT,"N | N",64,57,       0.000830
1,double,uniform,PoisFFT,"N | N",64,58,       0.000840
1,double,uniform,PoisFFT,"N | N",64,59,       0.000830
1,double,uniform,PoisFFT,"N | N",64,60,       0.000840
1,double,uniform,PoisFFT,"N | N",64,61,       0.000820
1,double,uniform,PoisFFT,"N | N",64,62,       0.000840
1,double,uniform,PoisFFT,"N | N",64,63,       0.000820
1,double,uniform,PoisFFT,"N | N",64,64,       0.000840
1,double,uniform,PoisFFT,"N | N",64,65,       0.000840
1,double,uniform,PoisFFT,"N | N",64,66,       0.000850
1,double,uniform,PoisFFT,"N | N",64,67,       0.000830
1,double,uniform,PoisFFT,"N | N",64,68,       0.000840
1,double,uniform,PoisFFT,"N | N",64,69,       0.000840
1,double,uniform,PoisFFT,"N | N",64,70,       0.000840
1,double,uniform,PoisFFT,"N | N",64,71,       0.000840
1,double,uniform,PoisFFT,"N | N",64,72,       0.000840
1,double,uniform,PoisFFT,"N | N",64,73,       0.000830
1,double,uniform,PoisFFT,"N | N",64,74,       0.002510
1,double,uniform,PoisFFT,"N | N",128,0,       0.009620
1,double,uniform,PoisFFT,"N | N",128,1,       0.009410
1,double,uniform,PoisFFT,"N | N",128,2,       0.009380
1,double,uniform,PoisFFT,"N | N",128,3,       0.009360
1,double,uniform,PoisFFT,"N | N",128,4,       0.009360
1,double,uniform,PoisFFT,"N | N",128,5,       0.009350
1,double,uniform,PoisFFT,"N | N",128,6,       0.009379
1,double,uniform,PoisFFT,"N | N",128,7,       0.009360
1,double,uniform,PoisFFT,"N | N",128,8,       0.009380
1,double,uniform,PoisFFT,"N | N",128,9,       0.009340
1,double,uniform,PoisFFT,"N | N",128,10,       0.009410
1,double,uniform,PoisFFT,"N | N",128,11,       0.009350
1,double,uniform,PoisFFT,"N | N",128,12,       0.009349
1,double,uniform,PoisFFT,"N | N",128,13,       0.009360
1,double,uniform,PoisFFT,"N | N",128,14,       0.009390
1,double,uniform,PoisFFT,"N | N",128,15,       0.009330
1,double,uniform,PoisFFT,"N | N",128,16,       0.009390
1,double,uniform,PoisFFT,"N | N",128,17,       0.009850
1,double,uniform,PoisFFT,"N | N",128,18,       0.009320
1,double,uniform,PoisFFT,"N | N",128,19,       0.009339
1,double,uniform,PoisFFT,"N | N",128,20,       0.009340
1,double,uniform,PoisFFT,"N | N",128,21,       0.009340
1,double,uniform,PoisFFT,"N | N",128,22,       0.009360
1,double,uniform,PoisFFT,"N | N",128,23,       0.009340
1,double,uniform,PoisFFT,"N | N",128,24,       0.009320
1,double,uniform,PoisFFT,"N | N",128,25,       0.009330
1,double,uniform,PoisFFT,"N | N",128,26,       0.009359
1,double,uniform,PoisFFT,"N | N",128,27,       0.009309
1,double,uniform,PoisFFT,"N | N",128,28,       0.009380
1,double,uniform,PoisFFT,"N | N",128,29,       0.009380
1,double,uniform,PoisFFT,"N | N",128,30,       0.009360
1,double,uniform,PoisFFT,"N | N",128,31,       0.009370
1,double,uniform,PoisFFT,"N | N",128,32,       0.009360
1,double,uniform,PoisFFT,"N | N",128,33,       0.009340
1,double,uniform,PoisFFT,"N | N",128,34,       0.009350
1,double,uniform,PoisFFT,"N | N",128,35,       0.009360
