dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,0,      22.913972
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,1,      21.802144
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,2,      16.920837
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,3,      21.967842
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,4,      23.428806
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.549554
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.527204
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.526485
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.517915
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.520804
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.505785
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.503705
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.516334
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.508545
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.504134
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.498314
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.505135
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.505034
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.513584
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.500745
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.504545
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.530125
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.503984
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.502795
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.510504
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.507855
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.518754
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.503555
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.516275
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.513565
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.506364
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,31,       0.507775
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,32,       0.509145
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,33,       0.514645
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,34,       0.519564
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,35,       0.501964
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,36,       0.507814
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,37,       0.506424
