dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,       0.625103
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,       0.490374
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,       0.489565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,       0.487325
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,       0.482935
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,       0.489345
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,       0.478155
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,       0.475735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,       0.459435
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,       0.471166
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,       0.468236
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,       0.471046
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,       0.469445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,       0.451696
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,       0.462835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,       0.456815
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,       0.461345
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,       0.480314
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,       0.480445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,       0.470505
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,20,       0.468725
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,21,       0.471625
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,22,       0.474465
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,23,       0.475045
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,24,       0.459185
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,25,       0.468015
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,26,       0.467515
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,27,       0.474045
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,28,       0.471675
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,29,       0.478885
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,30,       0.472735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,31,       0.444755
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,32,       0.459735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,33,       0.460266
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,34,       0.479835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,35,       0.469845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,36,       0.471526
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,37,       0.472505
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,38,       0.465825
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,39,       0.462205
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,40,       0.454135
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,41,       0.449055
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,42,       0.454965
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,43,       0.467455
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,44,       0.462175
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,45,       0.440995
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,46,       0.456765
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,47,       0.462645
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,48,       0.474795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,49,       0.460665
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,50,       0.467475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,51,       0.463056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,52,       0.454795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,53,       0.506714
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,54,       0.484795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,55,       0.493295
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,56,       0.488495
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,57,       0.498165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,58,       0.487175
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,59,       0.503374
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,60,       0.474165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,61,       0.484244
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,62,       0.477384
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,63,       0.491685
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,64,       0.475546
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,65,       0.488595
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,66,       0.481165
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,67,       0.490255
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,68,       0.486475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,69,       0.490874
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,70,       0.453176
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,71,       0.474405
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,72,       0.471795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,73,       0.478195
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,74,       0.476795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,       3.605372
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,       3.235115
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,       3.379424
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,       3.395644
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,       3.272745
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,       3.427074
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,       3.322845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,       3.341925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,       3.267795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,       3.293285
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,       3.312385
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,       3.285775
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,       3.220876
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,       3.223946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,       3.271445
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,       3.165056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,       3.253316
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,       3.211146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,       3.219646
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,       3.143657
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,20,       3.333664
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,21,       3.205696
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,22,       3.166757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,23,       3.254765
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,24,       3.231466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,25,       3.304565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,26,       3.244416
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,27,       3.221906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,28,       3.228196
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,29,       3.245535
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,30,       3.386424
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,31,       3.265136
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,32,       3.358515
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,33,       3.138467
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,34,       3.271675
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,35,       3.306815
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,36,       3.228386
