dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,0,      16.749411
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,1,       1.624231
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,2,       0.911740
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,3,       0.905060
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,4,       0.804501
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,5,       0.893750
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,6,       0.765551
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,7,       0.894300
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,8,       0.992439
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,9,       0.778242
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,10,       0.738402
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,11,       0.939330
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,12,       0.849860
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,13,       0.878570
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,14,       1.190697
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,15,       1.044178
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,16,       0.796871
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,17,       0.990519
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,18,       0.806391
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,19,       0.939669
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,20,       0.891480
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,21,       0.861020
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,22,       0.901009
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,23,       1.117297
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,24,       0.996129
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,25,       0.777761
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,26,       0.995089
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,27,       0.767701
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,28,       0.800711
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,29,       1.235196
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,30,       0.772102
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,31,       0.803121
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,32,       0.795601
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,33,       0.742461
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,34,       0.851090
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,35,       1.190027
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,36,       0.931349
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,37,       0.851031
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,38,       1.437504
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,39,       0.976629
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,40,       1.128767
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,41,       1.131537
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,42,       0.825460
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,43,       0.840060
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,44,       0.910570
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,45,       0.974949
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,46,       0.803371
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,47,       0.804121
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,48,       1.167137
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,49,       1.661101
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,50,       1.238756
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,51,       0.834390
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,52,       1.125747
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,53,       0.998099
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,54,       1.233006
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,55,       1.212206
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,56,       0.889270
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,57,       0.973380
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,58,       0.914210
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,59,       1.077398
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,60,       0.943169
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,61,       0.800951
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,62,       0.913799
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,63,       0.813350
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,64,       1.165797
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,65,       0.936730
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,66,       1.020748
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,67,       0.955639
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,68,       0.882810
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,69,       1.003028
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,70,       0.880630
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,71,       0.945700
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,72,       0.999698
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,73,       0.956020
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,74,       1.166527
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,0,       5.047243
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,1,       4.827235
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,2,       4.748836
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,3,       4.819546
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,4,       4.896735
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,5,       4.830086
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,6,       4.929644
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,7,       4.796816
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,8,       4.794636
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,9,       4.833555
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,10,       4.943135
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,11,       5.042783
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,12,       5.021143
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,13,       5.020273
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,14,       4.714367
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,15,       4.919124
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,16,       4.830996
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,17,       5.003833
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,18,       4.678487
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,19,       4.835246
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,20,       4.777216
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,21,       4.756997
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,22,       4.649547
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,23,       4.830035
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,24,       4.870825
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,25,       4.815576
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,26,       4.704526
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,27,       4.873955
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,28,       4.792086
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,29,       4.834915
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,30,       4.833575
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,31,       4.836935
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,32,       5.086313
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,33,       5.095103
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,34,       4.853365
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,35,       4.775176
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,36,       4.804946
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,37,       4.821366
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,38,       4.892224
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,39,       4.854575
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,40,       4.765486
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,41,       4.867045
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,42,       4.758426
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,43,       4.913504
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,44,       4.851435
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,45,       4.905784
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,46,       4.909174
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,47,       4.901475
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,48,       4.844505
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,49,       4.808176
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,50,       4.706397
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,51,       4.845465
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,52,       4.763396
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,53,       5.003784
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,54,       4.989844
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,55,       4.818056
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,56,       4.880754
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,57,       4.861165
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,58,       4.847466
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,59,       4.760606
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,60,       4.784525
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,61,       4.743757
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,62,       4.837516
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,63,       4.960455
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,64,       4.897864
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,65,       4.722467
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,66,       4.755407
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,67,       4.859535
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,68,       4.934864
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,69,       4.820865
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,70,       4.815396
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,71,       4.919414
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,72,       4.666677
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,73,       4.856835
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,74,       4.586628
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,0,      14.112060
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,1,      13.950502
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,2,      14.233019
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,3,      14.285229
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,4,      14.252749
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,5,      13.896993
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,6,      14.248279
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,7,      14.090171
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,8,      14.366847
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,9,      14.467397
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,10,      14.320048
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,11,      14.231619
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,12,      14.633885
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,13,      14.514866
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,14,      14.456517
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,15,      14.276279
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,16,      14.498466
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,17,      14.807862
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,18,      14.241869
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,19,      14.214699
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,20,      14.525806
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,21,      14.368498
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,22,      14.571335
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,23,      14.316648
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,24,      14.462257
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,25,      14.524456
