dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       2.158557
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.732082
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.642993
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.638164
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.642963
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.614384
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.601054
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.600654
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.600404
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.611653
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.619153
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.600184
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.604563
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.602993
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.623583
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.604723
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.601924
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.605083
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.597043
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.614793
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,20,       0.604243
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,21,       0.617373
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,22,       0.608413
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,23,       0.617693
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,24,       0.596513
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,25,       0.609034
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,26,       0.606843
