dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ns",64,0,       0.004020
1,float,uniform,PoisFFT,"Ns | Ns",64,1,       0.000640
1,float,uniform,PoisFFT,"Ns | Ns",64,2,       0.000500
1,float,uniform,PoisFFT,"Ns | Ns",64,3,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,4,       0.000489
1,float,uniform,PoisFFT,"Ns | Ns",64,5,       0.000491
1,float,uniform,PoisFFT,"Ns | Ns",64,6,       0.000471
1,float,uniform,PoisFFT,"Ns | Ns",64,7,       0.000469
1,float,uniform,PoisFFT,"Ns | Ns",64,8,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,9,       0.000489
1,float,uniform,PoisFFT,"Ns | Ns",64,10,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,11,       0.000500
1,float,uniform,PoisFFT,"Ns | Ns",64,12,       0.000500
1,float,uniform,PoisFFT,"Ns | Ns",64,13,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,14,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,15,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,16,       0.000470
1,float,uniform,PoisFFT,"Ns | Ns",64,17,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,18,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,19,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,20,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,21,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,22,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,23,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,24,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,25,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,26,       0.000500
1,float,uniform,PoisFFT,"Ns | Ns",64,27,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,28,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,29,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,30,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,31,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,32,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,33,       0.000490
1,float,uniform,PoisFFT,"Ns | Ns",64,34,       0.000480
1,float,uniform,PoisFFT,"Ns | Ns",64,35,       0.000489
1,float,uniform,PoisFFT,"Ns | Ns",64,36,       0.000491
