dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,       0.410416
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,       0.348866
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,       0.359446
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,       0.345936
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,       0.349807
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,       0.351766
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,       0.337617
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,       0.328296
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,       0.326917
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,       0.326517
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,       0.328866
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,       0.362706
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,       0.343806
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,       0.359456
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,       0.357476
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,       0.358336
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,       0.355136
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,       0.354286
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,       0.354286
