dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       1.243126
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.287116
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.287897
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.284997
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.279497
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.283237
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.294696
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.296567
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.287967
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.281027
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.283547
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.286357
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.293857
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.279827
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.290897
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.290846
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.290687
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.289107
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.293447
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.291426
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,20,       0.291657
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,21,       0.283427
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,22,       0.289516
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,23,       0.289267
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,24,       0.284047
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,25,       0.283807
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,26,       0.283827
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,27,       0.284597
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,28,       0.283387
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,29,       0.287906
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,30,       0.286297
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,31,       0.279957
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,32,       0.288657
