dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.136938
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.293657
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.298016
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.290497
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.283597
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.292217
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.285657
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.290947
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.287467
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.290837
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.292207
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.286227
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.293187
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.284887
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.292137
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.288787
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.286867
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.290487
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.281897
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.282746
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.284197
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.280157
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.285468
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.282077
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.277707
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.279447
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.273567
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.274197
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.269347
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.262127
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.262667
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,31,       0.264487
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,32,       0.261047
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,33,       0.262318
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,34,       0.258937
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,35,       0.262027
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,36,       0.266897
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,37,       0.266477
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,38,       0.263907
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,39,       0.267157
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,40,       0.262017
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,41,       0.263398
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,42,       0.259097
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,43,       0.262077
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,44,       0.262887
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,45,       0.261037
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,46,       0.261247
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,47,       0.261858
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,48,       0.262988
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,49,       0.264348
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,50,       0.265378
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,51,       0.264507
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,52,       0.264706
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,53,       0.267768
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,54,       0.266217
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,55,       0.264117
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,56,       0.291977
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,57,       0.271648
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,58,       0.276027
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,59,       0.272597
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,60,       0.276417
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,61,       0.274237
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,62,       0.276197
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,63,       0.277127
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,64,       0.272987
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,65,       0.273877
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,66,       0.286287
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,67,       0.285247
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,68,       0.285337
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,69,       0.287416
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,70,       0.281787
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,71,       0.274017
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,72,       0.279567
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,73,       0.275777
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,74,       0.273647
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       4.414422
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       4.034187
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       4.051107
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       4.074316
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       4.075406
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       4.081735
