dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.548213
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.303487
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.307416
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.310866
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.301157
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.289917
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.287296
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.289907
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.288267
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.284206
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.284657
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.288108
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.292537
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.296697
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.285017
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.284457
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.282926
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.270097
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.272667
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.272517
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,20,       0.272697
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,21,       0.276027
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,22,       0.269557
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,23,       0.270777
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,24,       0.267937
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,25,       0.272897
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,26,       0.268707
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,27,       0.271867
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,28,       0.268568
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,29,       0.270587
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,30,       0.269117
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,31,       0.271287
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,32,       0.274027
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,33,       0.270277
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,34,       0.271477
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,35,       0.273767
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,36,       0.271487
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,37,       0.270667
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,38,       0.279296
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,39,       0.278647
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,40,       0.276917
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,41,       0.278887
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,42,       0.284236
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,43,       0.276177
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,44,       0.276787
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,45,       0.280697
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,46,       0.282667
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,47,       0.281707
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,48,       0.286057
3,float,uniform,PoisFFT,"P | P | P | P | P | P",64,49,       0.282707
