dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"P | P",64,0,       0.001390
1,double,uniform,PoisFFT,"P | P",64,1,       0.000500
1,double,uniform,PoisFFT,"P | P",64,2,       0.000440
1,double,uniform,PoisFFT,"P | P",64,3,       0.000411
1,double,uniform,PoisFFT,"P | P",64,4,       0.000400
1,double,uniform,PoisFFT,"P | P",64,5,       0.000400
1,double,uniform,PoisFFT,"P | P",64,6,       0.000400
1,double,uniform,PoisFFT,"P | P",64,7,       0.000410
1,double,uniform,PoisFFT,"P | P",64,8,       0.000400
1,double,uniform,PoisFFT,"P | P",64,9,       0.000400
1,double,uniform,PoisFFT,"P | P",64,10,       0.000390
1,double,uniform,PoisFFT,"P | P",64,11,       0.000410
1,double,uniform,PoisFFT,"P | P",64,12,       0.000400
1,double,uniform,PoisFFT,"P | P",64,13,       0.000400
1,double,uniform,PoisFFT,"P | P",64,14,       0.000410
1,double,uniform,PoisFFT,"P | P",64,15,       0.000410
1,double,uniform,PoisFFT,"P | P",64,16,       0.000400
1,double,uniform,PoisFFT,"P | P",64,17,       0.000410
1,double,uniform,PoisFFT,"P | P",64,18,       0.000400
1,double,uniform,PoisFFT,"P | P",64,19,       0.000420
1,double,uniform,PoisFFT,"P | P",64,20,       0.000400
1,double,uniform,PoisFFT,"P | P",64,21,       0.000410
1,double,uniform,PoisFFT,"P | P",64,22,       0.000410
1,double,uniform,PoisFFT,"P | P",64,23,       0.000410
1,double,uniform,PoisFFT,"P | P",64,24,       0.000410
1,double,uniform,PoisFFT,"P | P",64,25,       0.000410
1,double,uniform,PoisFFT,"P | P",64,26,       0.000430
1,double,uniform,PoisFFT,"P | P",64,27,       0.000410
1,double,uniform,PoisFFT,"P | P",64,28,       0.000420
1,double,uniform,PoisFFT,"P | P",64,29,       0.000380
1,double,uniform,PoisFFT,"P | P",64,30,       0.000389
1,double,uniform,PoisFFT,"P | P",64,31,       0.000400
1,double,uniform,PoisFFT,"P | P",64,32,       0.000400
1,double,uniform,PoisFFT,"P | P",64,33,       0.000400
1,double,uniform,PoisFFT,"P | P",64,34,       0.000420
1,double,uniform,PoisFFT,"P | P",64,35,       0.000400
1,double,uniform,PoisFFT,"P | P",64,36,       0.000400
1,double,uniform,PoisFFT,"P | P",64,37,       0.000400
1,double,uniform,PoisFFT,"P | P",64,38,       0.000400
1,double,uniform,PoisFFT,"P | P",64,39,       0.000390
1,double,uniform,PoisFFT,"P | P",64,40,       0.000400
1,double,uniform,PoisFFT,"P | P",64,41,       0.000400
1,double,uniform,PoisFFT,"P | P",64,42,       0.000380
1,double,uniform,PoisFFT,"P | P",64,43,       0.000390
1,double,uniform,PoisFFT,"P | P",64,44,       0.000400
1,double,uniform,PoisFFT,"P | P",64,45,       0.000380
1,double,uniform,PoisFFT,"P | P",64,46,       0.000400
1,double,uniform,PoisFFT,"P | P",64,47,       0.000400
1,double,uniform,PoisFFT,"P | P",64,48,       0.000410
1,double,uniform,PoisFFT,"P | P",64,49,       0.000420
1,double,uniform,PoisFFT,"P | P",64,50,       0.000400
1,double,uniform,PoisFFT,"P | P",64,51,       0.000380
1,double,uniform,PoisFFT,"P | P",64,52,       0.000420
1,double,uniform,PoisFFT,"P | P",64,53,       0.000390
1,double,uniform,PoisFFT,"P | P",64,54,       0.000410
1,double,uniform,PoisFFT,"P | P",64,55,       0.000400
1,double,uniform,PoisFFT,"P | P",64,56,       0.000400
1,double,uniform,PoisFFT,"P | P",64,57,       0.000390
1,double,uniform,PoisFFT,"P | P",64,58,       0.000390
1,double,uniform,PoisFFT,"P | P",64,59,       0.000400
1,double,uniform,PoisFFT,"P | P",64,60,       0.000390
1,double,uniform,PoisFFT,"P | P",64,61,       0.000400
1,double,uniform,PoisFFT,"P | P",64,62,       0.000400
1,double,uniform,PoisFFT,"P | P",64,63,       0.000380
1,double,uniform,PoisFFT,"P | P",64,64,       0.000389
1,double,uniform,PoisFFT,"P | P",64,65,       0.000400
1,double,uniform,PoisFFT,"P | P",64,66,       0.000410
1,double,uniform,PoisFFT,"P | P",64,67,       0.000400
1,double,uniform,PoisFFT,"P | P",64,68,       0.000390
1,double,uniform,PoisFFT,"P | P",64,69,       0.000390
1,double,uniform,PoisFFT,"P | P",64,70,       0.000390
1,double,uniform,PoisFFT,"P | P",64,71,       0.000410
1,double,uniform,PoisFFT,"P | P",64,72,       0.000390
1,double,uniform,PoisFFT,"P | P",64,73,       0.000390
1,double,uniform,PoisFFT,"P | P",64,74,       0.000970
1,double,uniform,PoisFFT,"P | P",128,0,       0.002210
1,double,uniform,PoisFFT,"P | P",128,1,       0.001040
1,double,uniform,PoisFFT,"P | P",128,2,       0.000890
1,double,uniform,PoisFFT,"P | P",128,3,       0.000880
1,double,uniform,PoisFFT,"P | P",128,4,       0.000860
1,double,uniform,PoisFFT,"P | P",128,5,       0.000890
1,double,uniform,PoisFFT,"P | P",128,6,       0.000870
1,double,uniform,PoisFFT,"P | P",128,7,       0.000880
1,double,uniform,PoisFFT,"P | P",128,8,       0.000860
1,double,uniform,PoisFFT,"P | P",128,9,       0.000890
1,double,uniform,PoisFFT,"P | P",128,10,       0.000900
1,double,uniform,PoisFFT,"P | P",128,11,       0.000880
1,double,uniform,PoisFFT,"P | P",128,12,       0.000870
1,double,uniform,PoisFFT,"P | P",128,13,       0.000869
1,double,uniform,PoisFFT,"P | P",128,14,       0.000920
1,double,uniform,PoisFFT,"P | P",128,15,       0.000960
1,double,uniform,PoisFFT,"P | P",128,16,       0.000911
1,double,uniform,PoisFFT,"P | P",128,17,       0.000880
1,double,uniform,PoisFFT,"P | P",128,18,       0.000880
1,double,uniform,PoisFFT,"P | P",128,19,       0.000870
1,double,uniform,PoisFFT,"P | P",128,20,       0.000870
1,double,uniform,PoisFFT,"P | P",128,21,       0.000880
1,double,uniform,PoisFFT,"P | P",128,22,       0.000870
1,double,uniform,PoisFFT,"P | P",128,23,       0.000880
1,double,uniform,PoisFFT,"P | P",128,24,       0.000900
1,double,uniform,PoisFFT,"P | P",128,25,       0.000870
1,double,uniform,PoisFFT,"P | P",128,26,       0.000860
1,double,uniform,PoisFFT,"P | P",128,27,       0.000850
1,double,uniform,PoisFFT,"P | P",128,28,       0.000870
1,double,uniform,PoisFFT,"P | P",128,29,       0.000870
