dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",64,0,       0.101229
2,double,uniform,PoisFFT,"D | D | D | D",64,1,       0.101999
2,double,uniform,PoisFFT,"D | D | D | D",64,2,       0.101539
2,double,uniform,PoisFFT,"D | D | D | D",64,3,       0.101279
2,double,uniform,PoisFFT,"D | D | D | D",64,4,       0.101919
2,double,uniform,PoisFFT,"D | D | D | D",64,5,       0.101379
2,double,uniform,PoisFFT,"D | D | D | D",64,6,       0.102329
2,double,uniform,PoisFFT,"D | D | D | D",64,7,       0.102579
2,double,uniform,PoisFFT,"D | D | D | D",64,8,       0.102029
2,double,uniform,PoisFFT,"D | D | D | D",64,9,       0.101979
2,double,uniform,PoisFFT,"D | D | D | D",64,10,       0.105479
2,double,uniform,PoisFFT,"D | D | D | D",64,11,       0.101289
2,double,uniform,PoisFFT,"D | D | D | D",64,12,       0.101159
2,double,uniform,PoisFFT,"D | D | D | D",64,13,       0.101699
2,double,uniform,PoisFFT,"D | D | D | D",64,14,       0.101489
2,double,uniform,PoisFFT,"D | D | D | D",64,15,       0.102858
2,double,uniform,PoisFFT,"D | D | D | D",64,16,       0.101459
2,double,uniform,PoisFFT,"D | D | D | D",64,17,       0.106379
2,double,uniform,PoisFFT,"D | D | D | D",64,18,       0.101419
2,double,uniform,PoisFFT,"D | D | D | D",64,19,       0.102319
2,double,uniform,PoisFFT,"D | D | D | D",64,20,       0.101068
2,double,uniform,PoisFFT,"D | D | D | D",64,21,       0.101669
2,double,uniform,PoisFFT,"D | D | D | D",64,22,       0.101219
2,double,uniform,PoisFFT,"D | D | D | D",64,23,       0.101939
2,double,uniform,PoisFFT,"D | D | D | D",64,24,       0.100719
2,double,uniform,PoisFFT,"D | D | D | D",64,25,       0.101609
2,double,uniform,PoisFFT,"D | D | D | D",64,26,       0.101609
2,double,uniform,PoisFFT,"D | D | D | D",64,27,       0.101490
2,double,uniform,PoisFFT,"D | D | D | D",64,28,       0.101579
2,double,uniform,PoisFFT,"D | D | D | D",64,29,       0.101418
2,double,uniform,PoisFFT,"D | D | D | D",64,30,       0.106689
2,double,uniform,PoisFFT,"D | D | D | D",64,31,       0.101779
2,double,uniform,PoisFFT,"D | D | D | D",64,32,       0.101889
2,double,uniform,PoisFFT,"D | D | D | D",64,33,       0.101569
2,double,uniform,PoisFFT,"D | D | D | D",64,34,       0.101579
2,double,uniform,PoisFFT,"D | D | D | D",64,35,       0.101599
2,double,uniform,PoisFFT,"D | D | D | D",64,36,       0.102099
2,double,uniform,PoisFFT,"D | D | D | D",64,37,       0.105559
2,double,uniform,PoisFFT,"D | D | D | D",64,38,       0.101329
2,double,uniform,PoisFFT,"D | D | D | D",64,39,       0.101248
2,double,uniform,PoisFFT,"D | D | D | D",64,40,       0.100939
2,double,uniform,PoisFFT,"D | D | D | D",64,41,       0.101869
2,double,uniform,PoisFFT,"D | D | D | D",64,42,       0.101089
2,double,uniform,PoisFFT,"D | D | D | D",64,43,       0.101089
2,double,uniform,PoisFFT,"D | D | D | D",64,44,       0.101339
2,double,uniform,PoisFFT,"D | D | D | D",64,45,       0.101629
2,double,uniform,PoisFFT,"D | D | D | D",64,46,       0.101259
2,double,uniform,PoisFFT,"D | D | D | D",64,47,       0.101649
2,double,uniform,PoisFFT,"D | D | D | D",64,48,       0.101339
2,double,uniform,PoisFFT,"D | D | D | D",64,49,       0.101479
2,double,uniform,PoisFFT,"D | D | D | D",64,50,       0.108499
2,double,uniform,PoisFFT,"D | D | D | D",64,51,       0.101429
2,double,uniform,PoisFFT,"D | D | D | D",64,52,       0.101299
2,double,uniform,PoisFFT,"D | D | D | D",64,53,       0.101389
2,double,uniform,PoisFFT,"D | D | D | D",64,54,       0.101739
2,double,uniform,PoisFFT,"D | D | D | D",64,55,       0.101509
2,double,uniform,PoisFFT,"D | D | D | D",64,56,       0.101289
2,double,uniform,PoisFFT,"D | D | D | D",64,57,       0.106129
2,double,uniform,PoisFFT,"D | D | D | D",64,58,       0.101189
2,double,uniform,PoisFFT,"D | D | D | D",64,59,       0.101599
2,double,uniform,PoisFFT,"D | D | D | D",64,60,       0.101329
2,double,uniform,PoisFFT,"D | D | D | D",64,61,       0.101159
2,double,uniform,PoisFFT,"D | D | D | D",64,62,       0.101669
2,double,uniform,PoisFFT,"D | D | D | D",64,63,       0.101968
2,double,uniform,PoisFFT,"D | D | D | D",64,64,       0.102409
2,double,uniform,PoisFFT,"D | D | D | D",64,65,       0.107079
2,double,uniform,PoisFFT,"D | D | D | D",64,66,       0.102259
2,double,uniform,PoisFFT,"D | D | D | D",64,67,       0.101409
2,double,uniform,PoisFFT,"D | D | D | D",64,68,       0.101059
2,double,uniform,PoisFFT,"D | D | D | D",64,69,       0.101659
2,double,uniform,PoisFFT,"D | D | D | D",64,70,       0.101539
2,double,uniform,PoisFFT,"D | D | D | D",64,71,       0.101439
2,double,uniform,PoisFFT,"D | D | D | D",64,72,       0.101309
2,double,uniform,PoisFFT,"D | D | D | D",64,73,       0.101499
2,double,uniform,PoisFFT,"D | D | D | D",64,74,       0.101179
2,double,uniform,PoisFFT,"D | D | D | D",128,0,       0.855661
2,double,uniform,PoisFFT,"D | D | D | D",128,1,       0.853871
2,double,uniform,PoisFFT,"D | D | D | D",128,2,       0.853602
2,double,uniform,PoisFFT,"D | D | D | D",128,3,       0.855491
2,double,uniform,PoisFFT,"D | D | D | D",128,4,       0.853501
2,double,uniform,PoisFFT,"D | D | D | D",128,5,       0.852621
2,double,uniform,PoisFFT,"D | D | D | D",128,6,       0.852661
2,double,uniform,PoisFFT,"D | D | D | D",128,7,       0.851551
2,double,uniform,PoisFFT,"D | D | D | D",128,8,       0.852011
2,double,uniform,PoisFFT,"D | D | D | D",128,9,       0.852331
2,double,uniform,PoisFFT,"D | D | D | D",128,10,       0.846771
2,double,uniform,PoisFFT,"D | D | D | D",128,11,       0.854300
2,double,uniform,PoisFFT,"D | D | D | D",128,12,       0.856881
2,double,uniform,PoisFFT,"D | D | D | D",128,13,       0.853691
2,double,uniform,PoisFFT,"D | D | D | D",128,14,       0.854321
2,double,uniform,PoisFFT,"D | D | D | D",128,15,       0.854211
2,double,uniform,PoisFFT,"D | D | D | D",128,16,       0.855211
2,double,uniform,PoisFFT,"D | D | D | D",128,17,       0.853920
2,double,uniform,PoisFFT,"D | D | D | D",128,18,       0.855741
2,double,uniform,PoisFFT,"D | D | D | D",128,19,       0.857821
2,double,uniform,PoisFFT,"D | D | D | D",128,20,       0.851351
2,double,uniform,PoisFFT,"D | D | D | D",128,21,       0.855981
2,double,uniform,PoisFFT,"D | D | D | D",128,22,       0.859561
2,double,uniform,PoisFFT,"D | D | D | D",128,23,       0.859161
2,double,uniform,PoisFFT,"D | D | D | D",128,24,       0.855191
2,double,uniform,PoisFFT,"D | D | D | D",128,25,       0.855211
2,double,uniform,PoisFFT,"D | D | D | D",128,26,       0.854641
2,double,uniform,PoisFFT,"D | D | D | D",128,27,       0.853811
2,double,uniform,PoisFFT,"D | D | D | D",128,28,       0.852701
2,double,uniform,PoisFFT,"D | D | D | D",128,29,       0.855221
2,double,uniform,PoisFFT,"D | D | D | D",128,30,       0.854500
2,double,uniform,PoisFFT,"D | D | D | D",128,31,       0.856051
2,double,uniform,PoisFFT,"D | D | D | D",128,32,       0.856231
2,double,uniform,PoisFFT,"D | D | D | D",128,33,       0.856940
2,double,uniform,PoisFFT,"D | D | D | D",128,34,       0.860141
2,double,uniform,PoisFFT,"D | D | D | D",128,35,       0.855601
2,double,uniform,PoisFFT,"D | D | D | D",128,36,       0.855511
2,double,uniform,PoisFFT,"D | D | D | D",128,37,       0.854271
2,double,uniform,PoisFFT,"D | D | D | D",128,38,       0.854291
2,double,uniform,PoisFFT,"D | D | D | D",128,39,       0.851761
2,double,uniform,PoisFFT,"D | D | D | D",128,40,       0.856241
2,double,uniform,PoisFFT,"D | D | D | D",128,41,       0.860201
2,double,uniform,PoisFFT,"D | D | D | D",128,42,       0.856361
2,double,uniform,PoisFFT,"D | D | D | D",128,43,       0.854471
2,double,uniform,PoisFFT,"D | D | D | D",128,44,       0.853131
2,double,uniform,PoisFFT,"D | D | D | D",128,45,       0.854041
2,double,uniform,PoisFFT,"D | D | D | D",128,46,       0.855151
2,double,uniform,PoisFFT,"D | D | D | D",128,47,       0.854731
2,double,uniform,PoisFFT,"D | D | D | D",128,48,       0.854251
2,double,uniform,PoisFFT,"D | D | D | D",128,49,       0.853811
2,double,uniform,PoisFFT,"D | D | D | D",128,50,       0.853631
2,double,uniform,PoisFFT,"D | D | D | D",128,51,       0.854661
2,double,uniform,PoisFFT,"D | D | D | D",128,52,       0.858021
2,double,uniform,PoisFFT,"D | D | D | D",128,53,       0.853721
2,double,uniform,PoisFFT,"D | D | D | D",128,54,       0.851031
2,double,uniform,PoisFFT,"D | D | D | D",128,55,       0.849141
2,double,uniform,PoisFFT,"D | D | D | D",128,56,       0.848291
2,double,uniform,PoisFFT,"D | D | D | D",128,57,       0.847800
2,double,uniform,PoisFFT,"D | D | D | D",128,58,       0.851261
2,double,uniform,PoisFFT,"D | D | D | D",128,59,       0.849241
2,double,uniform,PoisFFT,"D | D | D | D",128,60,       0.849971
2,double,uniform,PoisFFT,"D | D | D | D",128,61,       0.847261
2,double,uniform,PoisFFT,"D | D | D | D",128,62,       0.851201
2,double,uniform,PoisFFT,"D | D | D | D",128,63,       0.850791
2,double,uniform,PoisFFT,"D | D | D | D",128,64,       0.850261
2,double,uniform,PoisFFT,"D | D | D | D",128,65,       0.850311
2,double,uniform,PoisFFT,"D | D | D | D",128,66,       0.850131
2,double,uniform,PoisFFT,"D | D | D | D",128,67,       0.851211
2,double,uniform,PoisFFT,"D | D | D | D",128,68,       0.849761
2,double,uniform,PoisFFT,"D | D | D | D",128,69,       0.849761
2,double,uniform,PoisFFT,"D | D | D | D",128,70,       0.850681
2,double,uniform,PoisFFT,"D | D | D | D",128,71,       0.853801
2,double,uniform,PoisFFT,"D | D | D | D",128,72,       0.859701
2,double,uniform,PoisFFT,"D | D | D | D",128,73,       0.854060
2,double,uniform,PoisFFT,"D | D | D | D",128,74,       0.853981
2,double,uniform,PoisFFT,"D | D | D | D",192,0,       3.863169
2,double,uniform,PoisFFT,"D | D | D | D",192,1,       3.852690
2,double,uniform,PoisFFT,"D | D | D | D",192,2,       3.848859
2,double,uniform,PoisFFT,"D | D | D | D",192,3,       3.869689
2,double,uniform,PoisFFT,"D | D | D | D",192,4,       3.849009
2,double,uniform,PoisFFT,"D | D | D | D",192,5,       3.845769
2,double,uniform,PoisFFT,"D | D | D | D",192,6,       3.852329
2,double,uniform,PoisFFT,"D | D | D | D",192,7,       3.852299
2,double,uniform,PoisFFT,"D | D | D | D",192,8,       3.848610
2,double,uniform,PoisFFT,"D | D | D | D",192,9,       3.846489
2,double,uniform,PoisFFT,"D | D | D | D",192,10,       3.847659
2,double,uniform,PoisFFT,"D | D | D | D",192,11,       3.846690
2,double,uniform,PoisFFT,"D | D | D | D",192,12,       3.846239
2,double,uniform,PoisFFT,"D | D | D | D",192,13,       3.854359
2,double,uniform,PoisFFT,"D | D | D | D",192,14,       3.848720
2,double,uniform,PoisFFT,"D | D | D | D",192,15,       3.849939
2,double,uniform,PoisFFT,"D | D | D | D",192,16,       3.856610
2,double,uniform,PoisFFT,"D | D | D | D",192,17,       3.843409
2,double,uniform,PoisFFT,"D | D | D | D",192,18,       3.857519
2,double,uniform,PoisFFT,"D | D | D | D",192,19,       3.856119
2,double,uniform,PoisFFT,"D | D | D | D",192,20,       3.853029
2,double,uniform,PoisFFT,"D | D | D | D",192,21,       3.861150
2,double,uniform,PoisFFT,"D | D | D | D",192,22,       3.840579
2,double,uniform,PoisFFT,"D | D | D | D",192,23,       3.845449
2,double,uniform,PoisFFT,"D | D | D | D",192,24,       3.851099
2,double,uniform,PoisFFT,"D | D | D | D",192,25,       3.849459
2,double,uniform,PoisFFT,"D | D | D | D",192,26,       3.848800
2,double,uniform,PoisFFT,"D | D | D | D",192,27,       3.848049
2,double,uniform,PoisFFT,"D | D | D | D",192,28,       3.851990
2,double,uniform,PoisFFT,"D | D | D | D",192,29,       3.852379
2,double,uniform,PoisFFT,"D | D | D | D",192,30,       3.849779
2,double,uniform,PoisFFT,"D | D | D | D",192,31,       3.847139
2,double,uniform,PoisFFT,"D | D | D | D",192,32,       3.850669
2,double,uniform,PoisFFT,"D | D | D | D",192,33,       3.850860
2,double,uniform,PoisFFT,"D | D | D | D",192,34,       3.853819
2,double,uniform,PoisFFT,"D | D | D | D",192,35,       3.851589
2,double,uniform,PoisFFT,"D | D | D | D",192,36,       3.858340
2,double,uniform,PoisFFT,"D | D | D | D",192,37,       3.844289
2,double,uniform,PoisFFT,"D | D | D | D",192,38,       3.850710
2,double,uniform,PoisFFT,"D | D | D | D",192,39,       3.857769
2,double,uniform,PoisFFT,"D | D | D | D",192,40,       3.847379
2,double,uniform,PoisFFT,"D | D | D | D",192,41,       3.858190
2,double,uniform,PoisFFT,"D | D | D | D",192,42,       3.843189
2,double,uniform,PoisFFT,"D | D | D | D",192,43,       3.840500
2,double,uniform,PoisFFT,"D | D | D | D",192,44,       3.853340
2,double,uniform,PoisFFT,"D | D | D | D",192,45,       3.845559
2,double,uniform,PoisFFT,"D | D | D | D",192,46,       3.846879
2,double,uniform,PoisFFT,"D | D | D | D",192,47,       3.841720
2,double,uniform,PoisFFT,"D | D | D | D",192,48,       3.848549
2,double,uniform,PoisFFT,"D | D | D | D",192,49,       3.850249
2,double,uniform,PoisFFT,"D | D | D | D",192,50,       3.855160
2,double,uniform,PoisFFT,"D | D | D | D",192,51,       3.848269
2,double,uniform,PoisFFT,"D | D | D | D",192,52,       3.843769
2,double,uniform,PoisFFT,"D | D | D | D",192,53,       3.844099
2,double,uniform,PoisFFT,"D | D | D | D",192,54,       3.848289
2,double,uniform,PoisFFT,"D | D | D | D",192,55,       3.849470
2,double,uniform,PoisFFT,"D | D | D | D",192,56,       3.851859
2,double,uniform,PoisFFT,"D | D | D | D",192,57,       3.842149
2,double,uniform,PoisFFT,"D | D | D | D",192,58,       3.844360
2,double,uniform,PoisFFT,"D | D | D | D",192,59,       3.861439
