dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,0,       0.045150
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,1,       0.035630
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,2,       0.035270
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,3,       0.035249
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,4,       0.035429
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,5,       0.035249
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,6,       0.035250
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,7,       0.035250
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,8,       0.034940
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,9,       0.035490
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,10,       0.035110
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,11,       0.035210
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,12,       0.035309
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,13,       0.034829
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,14,       0.035399
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,15,       0.035430
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,16,       0.035220
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,17,       0.035060
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,18,       0.035140
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,19,       0.035340
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,20,       0.035390
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,21,       0.035070
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,22,       0.035279
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,23,       0.034989
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,24,       0.035319
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,25,       0.035019
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,26,       0.035109
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,27,       0.034730
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,28,       0.035170
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,29,       0.035290
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,30,       0.035400
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,31,       0.035359
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,32,       0.035140
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,33,       0.035299
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,34,       0.035139
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,35,       0.035280
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,36,       0.035270
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,37,       0.035330
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,38,       0.035400
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,39,       0.035100
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,40,       0.035890
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,41,       0.035359
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,42,       0.035599
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,43,       0.038989
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,44,       0.035429
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,45,       0.035370
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,46,       0.034820
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,47,       0.035150
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,48,       0.034910
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,49,       0.035030
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,50,       0.035200
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,51,       0.035290
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,52,       0.035589
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,53,       0.034729
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,54,       0.035210
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,55,       0.039729
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,56,       0.035510
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,57,       0.035600
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,58,       0.035330
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,59,       0.035330
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,60,       0.035310
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,61,       0.036380
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,62,       0.035510
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,63,       0.035190
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,64,       0.035430
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,65,       0.034860
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,66,       0.035360
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,67,       0.035099
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,68,       0.035079
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,69,       0.034840
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,70,       0.035110
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,71,       0.035430
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,72,       0.035430
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,73,       0.035300
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,74,       0.035290
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,0,       0.176669
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,1,       0.171338
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,2,       0.170828
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,3,       0.169938
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,4,       0.170269
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,5,       0.170658
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,6,       0.170868
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,7,       0.169778
2,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,8,       0.171358
