dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,0,       2.030738
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,1,       0.437115
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,2,       0.432706
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,3,       0.441545
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,4,       0.440306
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,5,       0.452375
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,6,       0.442426
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,7,       0.446735
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,8,       0.463264
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,9,       0.450975
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,10,       0.458995
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,11,       0.454495
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,12,       0.453855
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,13,       0.433486
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,14,       0.466945
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,15,       0.433586
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,16,       0.459685
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,17,       0.456825
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,18,       0.453805
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,19,       0.446136
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,20,       0.454835
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,21,       0.446165
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,22,       0.453155
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,23,       0.450135
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,24,       0.428345
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,25,       0.441795
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,26,       0.447505
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,27,       0.439045
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,28,       0.444585
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,29,       0.444446
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,30,       0.435235
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,31,       0.447055
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,32,       0.432446
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,33,       0.421985
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,34,       0.440445
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,35,       0.437285
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,36,       0.440145
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,37,       0.448165
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,38,       0.441626
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,39,       0.445375
