dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,0,       1.626913
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,1,       0.301347
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,2,       0.303876
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,3,       0.311147
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,4,       0.313996
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,5,       0.312046
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,6,       0.308427
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,7,       0.315656
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,8,       0.308077
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,9,       0.311756
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,10,       0.305767
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,11,       0.311487
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,12,       0.306567
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,13,       0.303087
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,14,       0.302887
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,15,       0.303327
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,16,       0.305167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,17,       0.306806
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,18,       0.301097
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,19,       0.301826
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,20,       0.314687
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,21,       0.319207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,22,       0.303887
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,23,       0.304217
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,24,       0.299227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,25,       0.297297
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,26,       0.301467
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,27,       0.346616
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,28,       0.290997
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,29,       0.289617
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,30,       0.314956
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,31,       0.297657
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,32,       0.297617
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,33,       0.295796
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,34,       0.304077
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,35,       0.284377
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,36,       0.289797
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,37,       0.303347
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,38,       0.286557
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,39,       0.296757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,40,       0.289987
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,41,       0.284707
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,42,       0.294077
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,43,       0.292468
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,44,       0.293917
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,45,       0.293247
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,46,       0.302197
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,47,       0.297877
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,48,       0.297807
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,49,       0.296477
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,50,       0.306817
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,51,       0.294127
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,52,       0.290747
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,53,       0.290497
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,54,       0.338496
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,55,       0.309946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,56,       0.295567
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,57,       0.298637
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,58,       0.290128
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,59,       0.291197
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,60,       0.307807
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,61,       0.290737
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,62,       0.292957
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,63,       0.295557
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,64,       0.290206
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,65,       0.295197
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,66,       0.296197
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,67,       0.296507
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,68,       0.295886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,69,       0.316497
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,70,       0.311017
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,71,       0.299817
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,72,       0.298257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,73,       0.300377
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,74,       0.300507
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,0,       3.858130
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,1,       3.611731
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,2,       3.668591
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,3,       3.525833
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,4,       3.569023
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,5,       3.507843
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,6,       3.572593
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,7,       3.486614
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,8,       3.604682
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,9,       3.536843
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,10,       3.622352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,11,       3.538623
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,12,       3.605772
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,13,       3.690101
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,14,       3.652982
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,15,       3.625812
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,16,       3.638732
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,17,       3.604742
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,18,       3.591472
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,19,       3.529403
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,20,       3.737361
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,21,       3.589622
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,22,       3.583692
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,23,       3.575733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,24,       3.546983
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,25,       3.580962
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,26,       3.556203
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,27,       3.665162
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,28,       3.582732
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,29,       3.796820
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,30,       3.557833
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,31,       3.541733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,32,       3.551253
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,33,       3.614902
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,34,       3.625432
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,35,       3.522853
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,36,       3.501963
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,37,       3.601452
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,38,       3.643352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,39,       3.579473
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,40,       3.705021
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,41,       3.565923
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,42,       3.517723
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,43,       3.609352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,44,       3.789300
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,45,       3.757981
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,46,       3.642042
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,47,       3.624733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,48,       3.659062
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,49,       3.584622
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,50,       3.595362
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,51,       3.523503
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,52,       3.593263
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,53,       3.571732
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,54,       3.562493
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,55,       3.655621
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,56,       3.767980
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,57,       3.652531
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,58,       3.847010
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,59,       3.554733
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,60,       3.526243
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,61,       3.695701
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,62,       3.616153
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,63,       3.629982
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,64,       3.592342
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,65,       3.606672
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,66,       3.614022
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,67,       3.619532
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,68,       3.599402
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,69,       3.532803
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,70,       3.617822
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,71,       3.696381
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,72,       3.644931
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,73,       3.587122
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",128,74,       3.684532
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,0,       6.066466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,1,       6.096377
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,2,       5.784540
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,3,       5.676060
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,4,       6.006887
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,5,       5.571332
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,6,       5.939117
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,7,       5.893988
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,8,       5.852859
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,9,       5.741030
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,10,       5.794710
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,11,       5.712780
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,12,       5.838209
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,13,       5.709969
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,14,       5.920858
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,15,       5.949168
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,16,       5.879368
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,17,       5.576391
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,18,       5.687630
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,19,       5.535982
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,20,       5.793139
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,21,       5.664020
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,22,       5.873198
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,23,       6.084347
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,24,       5.810499
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,25,       5.927428
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,26,       5.626151
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,27,       5.639541
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,28,       5.661800
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,29,       5.643031
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,30,       5.686701
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,31,       5.690180
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,32,       6.075726
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,33,       5.967578
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,34,       5.977528
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,35,       5.867898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,36,       5.669990
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,37,       5.871699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,38,       5.600901
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,39,       5.511312
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,40,       5.587092
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,41,       5.681601
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,42,       5.935488
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,43,       5.591372
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,44,       5.764190
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,45,       5.891838
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,46,       5.852908
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,47,       5.872018
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,48,       5.567711
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,49,       5.874898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,50,       5.928558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,51,       5.878978
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,52,       5.625381
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,53,       5.670790
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,54,       5.566632
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,55,       5.677020
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,56,       5.692931
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,57,       5.796609
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,58,       5.777140
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,59,       5.555452
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,60,       5.546662
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,61,       5.515052
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,62,       5.920288
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,63,       5.845969
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,64,       5.617611
