dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,       1.911970
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,       1.874170
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,       1.432795
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,       1.773551
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,       1.733191
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,       1.762561
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,       1.564103
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,       1.615453
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,       1.498934
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,       1.582293
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,       1.529494
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,       1.602792
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,       1.426244
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,       1.866900
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,       1.462834
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,       1.538113
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,       1.215157
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,       1.643142
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,       1.660292
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,       1.778361
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,       1.625723
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,       1.516114
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,       1.286037
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,       1.457475
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,       1.512574
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,       1.410254
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,       1.684122
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,27,       1.850520
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",64,28,       1.390995
