dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,       0.874951
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,       0.518095
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,       0.587524
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,       0.567784
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,       0.559574
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,       0.553194
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,       0.545834
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,       0.539764
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,       0.534064
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,       0.546314
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,       0.535874
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,       0.537734
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,       0.530594
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,       0.533265
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,       0.524374
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,       0.520965
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,       0.544675
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,       0.545815
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,       0.523044
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,       0.534415
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,       0.547324
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,       0.536394
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,       0.544154
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,       0.543024
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,       0.540645
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,       0.538794
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,       0.553044
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,27,       0.540674
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,28,       0.543025
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,29,       0.545514
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,30,       0.546774
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,31,       0.530434
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,32,       0.548865
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,33,       0.560884
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,34,       0.555954
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,35,       0.554134
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,36,       0.529214
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,37,       0.544974
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,38,       0.547375
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,39,       0.525684
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,40,       0.537475
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,41,       0.537434
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,42,       0.540785
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,43,       0.541914
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,44,       0.555804
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,45,       0.550395
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,46,       0.535115
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,47,       0.553924
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,48,       0.553105
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,49,       0.533044
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,50,       0.547734
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,51,       0.549285
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,52,       0.533075
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,53,       0.582484
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,54,       0.562104
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,55,       0.676133
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,56,       0.571134
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,57,       0.574943
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,58,       0.573234
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,59,       0.661043
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,60,       0.549765
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,61,       0.568914
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,62,       0.556305
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,63,       0.543544
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,64,       0.566214
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,65,       0.540025
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,66,       0.539304
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,67,       0.541924
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,68,       0.556804
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,69,       0.535854
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,70,       0.515725
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,71,       0.529805
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,72,       0.554214
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,73,       0.547264
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,74,       0.530294
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,       3.308275
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,       3.112808
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,       3.009518
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,       3.065698
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,       3.046808
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,       3.203276
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,       3.118087
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,       3.067128
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,       2.921120
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,       3.047838
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,       2.916259
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,       3.037538
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,       2.993018
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,       2.922120
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,       3.156037
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,       2.982319
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,       3.062688
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,       2.935779
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,       3.038588
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,       3.049868
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,20,       3.005039
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,21,       2.936539
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,22,       2.926249
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,23,       3.056008
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,24,       2.909390
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,25,       3.193277
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,26,       2.896439
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,27,       3.044838
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,28,       2.978108
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,29,       3.040378
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,30,       2.891630
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,31,       3.075347
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,32,       3.029728
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,33,       2.987099
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,34,       3.047088
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,35,       2.971258
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,36,       3.140297
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,37,       2.968799
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,38,       2.877290
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,39,       2.976109
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,40,       3.007408
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,41,       3.007239
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,42,       2.967478
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,43,       2.924249
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,44,       2.915569
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,45,       3.071068
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,46,       2.987549
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,47,       3.089217
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,48,       3.007538
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,49,       3.057768
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,50,       2.962529
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,51,       2.984509
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,52,       3.076628
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,53,       2.956439
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,54,       2.993249
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,55,       2.894639
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,56,       3.100488
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,57,       2.915229
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,58,       3.059788
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,59,       3.014548
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,60,       3.033028
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",128,61,       2.912909
