dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,0,       1.707442
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,1,       0.397715
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,2,       0.402076
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,3,       0.402565
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,4,       0.412185
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,5,       0.412516
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,6,       0.398715
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,7,       0.397116
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,8,       0.397416
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,9,       0.412276
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,10,       0.394936
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,11,       0.394046
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,12,       0.387186
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,13,       0.382186
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,14,       0.384586
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,15,       0.388926
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,16,       0.405925
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,17,       0.410816
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,18,       0.395886
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,19,       0.390046
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,20,       0.400165
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,21,       0.398586
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,22,       0.388896
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,23,       0.382516
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,24,       0.385316
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,25,       0.399365
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,26,       0.405405
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,27,       0.393336
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,28,       0.389126
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,29,       0.391776
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,30,       0.396276
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,31,       0.379766
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,32,       0.385346
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,33,       0.397216
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,34,       0.408006
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,35,       0.414336
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,36,       0.414456
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,37,       0.402895
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,38,       0.388016
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,39,       0.397466
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,40,       0.396096
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,41,       0.390786
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,42,       0.385636
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,43,       0.394276
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,44,       0.394606
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,45,       0.395806
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,46,       0.387706
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,47,       0.386186
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,48,       0.397206
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,49,       0.396256
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,50,       0.389985
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,51,       0.392685
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,52,       0.389766
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,53,       0.394576
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,54,       0.392286
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,55,       0.383396
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,56,       0.399606
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,57,       0.401116
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,58,       0.407266
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,59,       0.401436
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,60,       0.413816
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,61,       0.396985
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,62,       0.405126
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,63,       0.398466
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,64,       0.385276
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,65,       0.385796
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,66,       0.401746
