dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,0,       1.875360
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,1,       0.387016
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,2,       0.391416
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,3,       0.397656
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,4,       0.402046
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,5,       0.391076
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,6,       0.393056
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,7,       0.392346
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,8,       0.401155
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,9,       0.401495
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,10,       0.390976
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,11,       0.390656
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,12,       0.394046
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,13,       0.397346
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,14,       0.398066
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,15,       0.395285
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,16,       0.397106
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,17,       0.393436
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,18,       0.397786
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,19,       0.404366
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,20,       0.398816
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,21,       0.394646
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,22,       0.394355
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,23,       0.393505
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,24,       0.405486
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,25,       0.400665
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,26,       0.393106
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,27,       0.392166
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,28,       0.393196
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,29,       0.406365
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,30,       0.401976
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,31,       0.396806
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,32,       0.391806
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,33,       0.399066
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,34,       0.395146
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,35,       0.396746
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,36,       0.399016
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,37,       0.392396
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,38,       0.392826
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,39,       0.390556
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,40,       0.397656
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,41,       0.397696
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,42,       0.389716
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,43,       0.389296
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,44,       0.393265
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,45,       0.397726
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,46,       0.399316
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,47,       0.394376
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,48,       0.389946
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,49,       0.513684
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,50,       0.399866
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,51,       0.393066
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,52,       0.392176
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,53,       0.390526
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,54,       0.386986
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,55,       0.387286
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,56,       0.397015
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,57,       0.394495
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,58,       0.387846
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,59,       0.390206
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,60,       0.390486
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,61,       0.393026
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,62,       0.392886
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,63,       0.395786
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,64,       0.392346
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,65,       0.390066
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,66,       0.391487
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,67,       0.395696
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,68,       0.395496
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,69,       0.390196
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,70,       0.393185
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,71,       0.391466
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,72,       0.396596
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,73,       0.390866
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,74,       0.393975
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,0,       3.216066
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,1,       2.831640
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,2,       2.946099
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,3,       2.984208
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,4,       3.073337
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,5,       2.842289
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,6,       2.937688
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,7,       2.931839
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,8,       2.965209
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,9,       2.908719
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,10,       2.888900
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,11,       2.808040
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,12,       2.903629
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,13,       2.853520
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,14,       2.987158
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,15,       3.017288
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,16,       2.983938
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,17,       2.973298
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,18,       3.017068
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,19,       2.992139
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,20,       2.951749
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,21,       2.847690
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,22,       2.972448
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,23,       2.988109
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,24,       2.846150
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,25,       2.999068
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,26,       3.045107
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,27,       2.964118
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,28,       2.995918
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,29,       2.999708
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,30,       2.991678
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,31,       3.004418
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,32,       2.922450
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,33,       2.969068
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,34,       2.997278
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,35,       2.994338
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,36,       2.903989
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,37,       3.045628
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,38,       3.044238
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,39,       3.006509
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,40,       3.067187
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,41,       3.056398
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,42,       3.049198
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,43,       3.020628
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,44,       3.035887
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,45,       3.045568
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,46,       3.017038
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,47,       3.028628
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,48,       3.067048
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,49,       3.029828
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,50,       3.034398
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,51,       3.026338
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,52,       3.075478
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,53,       2.898239
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,54,       2.866640
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,55,       3.017478
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,56,       3.009258
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,57,       2.983379
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,58,       3.003858
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,59,       2.899459
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,60,       3.039468
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,61,       2.884780
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,62,       2.908489
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,63,       3.061708
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,64,       3.049208
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,65,       2.878139
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,66,       2.986478
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,67,       3.003208
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,68,       3.004768
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,69,       3.019488
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,70,       2.901940
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,71,       3.042887
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,72,       2.891189
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,73,       3.048858
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",128,74,       3.070118
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,0,       6.453231
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,1,       6.011676
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",192,2,       6.017136
