dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,0,       0.939781
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,1,       0.526495
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,2,       0.516245
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,3,       0.502005
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,4,       0.503685
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,5,       0.508975
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,6,       0.526235
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,7,       0.514975
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,8,       0.522395
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,9,       0.526165
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,10,       0.516445
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,11,       0.523995
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,12,       0.518325
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,13,       0.523075
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,14,       0.528715
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,15,       0.522665
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,16,       0.529245
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,17,       0.518525
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,18,       0.519095
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,19,       0.521345
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,20,       0.530745
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,21,       0.528965
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,22,       0.521695
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,23,       0.524895
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,24,       0.516095
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,25,       0.516615
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,26,       0.520495
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,27,       0.513875
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,28,       0.518145
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,29,       0.515024
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,30,       0.509855
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,31,       0.512806
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,32,       0.506445
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,33,       0.501576
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,34,       0.511945
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,35,       0.502715
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,36,       0.505295
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,37,       0.512575
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,38,       0.509615
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,39,       0.536755
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,40,       0.514315
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,41,       0.521705
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,42,       0.521825
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,43,       0.515765
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,44,       0.523384
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,45,       0.517205
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,46,       0.523965
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,47,       0.523624
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,48,       0.517805
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,49,       0.520635
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,50,       0.520915
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,51,       0.516055
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,52,       0.521235
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,53,       0.514015
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,54,       0.519024
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,55,       0.511225
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,56,       0.506046
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,57,       0.507165
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,58,       0.518665
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,59,       0.514465
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,60,       0.522435
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,61,       0.508125
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,62,       0.515585
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,63,       0.529315
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,64,       0.513885
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,65,       0.523745
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,66,       0.511585
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,67,       0.510266
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,68,       0.514605
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,69,       0.518335
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,70,       0.515465
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,71,       0.522875
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,72,       0.510366
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,73,       0.515525
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,74,       4.526917
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,0,       6.156741
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,1,       5.718525
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,2,       5.652736
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,3,       5.664495
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,4,       5.672786
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,5,       5.659846
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,6,       5.648765
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,7,       5.632846
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,8,       5.662526
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,9,       5.619897
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,10,       5.622386
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,11,       5.604776
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,12,       5.624076
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,13,       5.660566
3,float,uniform,PoisFFT,"D | D | D | D | D | D",128,14,       5.600667
