dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,0,       2.823370
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,1,       2.242516
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,2,       2.959979
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,3,       2.440163
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,4,       2.647962
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,5,       2.875059
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,6,       2.819449
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,7,       3.292745
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,8,       2.996157
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,9,       2.474273
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,10,       2.433205
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,11,       2.855559
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,12,       3.233525
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,13,       2.435944
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,14,       3.091837
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,15,       3.100177
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,16,       2.606362
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,17,       2.785150
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,18,       3.223936
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,19,       2.996139
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,20,       3.269324
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,21,       3.216875
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,22,       3.188806
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,23,       3.037308
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,24,       3.192226
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,25,       2.874289
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,26,       2.875529
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,27,       3.429913
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,28,       3.497873
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,29,       3.079947
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,30,       3.361944
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,31,       3.238805
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,32,       3.803909
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,33,       3.316284
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,34,       2.995698
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,35,       2.830319
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,36,       2.430354
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,37,       2.542802
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,38,       2.841839
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,39,       3.028808
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,40,       3.652101
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,41,       3.643250
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,42,       3.071747
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,43,       3.155286
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,44,       2.661521
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,45,       3.498283
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,46,       2.971938
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,47,       3.284924
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,48,       2.472513
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,49,       3.083687
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,50,       3.077307
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,51,       2.902819
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,52,       2.747040
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,53,       2.777050
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,54,       2.834039
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,55,       2.817470
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,56,       2.757410
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,57,       3.357044
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,58,       2.365065
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,59,       2.956148
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,60,       2.876079
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,61,       3.017808
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,62,       2.888069
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,63,       3.013848
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,64,       2.537903
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,65,       2.983018
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,66,       3.426473
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,67,       3.073957
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,68,       3.495322
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,69,       3.448553
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,70,       3.162786
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,71,       3.134736
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,72,       2.785300
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,73,       2.956628
3,float,uniform,PoisFFT,"N | D | N | N | N | N",64,74,       3.277635
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,0,      14.082658
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,1,      14.279747
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,2,      13.503075
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,3,      12.733103
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,4,      13.271018
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,5,      13.128759
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,6,      12.447126
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,7,      13.093739
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,8,      14.533874
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,9,      12.315727
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,10,      12.387336
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,11,      12.585015
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,12,      13.717962
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,13,      12.283899
3,float,uniform,PoisFFT,"N | D | N | N | N | N",128,14,      12.226388
