dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | N",64,0,182.996,0,0.049169,51.4936,234.638,234.539
1,double,uniform,GPU,"D | N",64,1,0.015872,0,0.036909,0.00864,0.101669,0.061421
1,double,uniform,GPU,"D | N",64,2,0.01296,0,0.03487,0.006592,0.090019,0.054422
1,double,uniform,GPU,"D | N",64,3,0.011648,0,0.03141,0.006624,0.081889,0.049682
1,double,uniform,GPU,"D | N",64,4,0.01216,0,0.03629,0.006304,0.089639,0.054754
1,double,uniform,GPU,"D | N",64,5,0.0104,0,0.02742,0.008288,0.077709,0.046108
1,double,uniform,GPU,"D | N",64,6,0.012672,0,0.03155,0.006848,0.083229,0.05107
1,double,uniform,GPU,"D | N",64,7,0.009632,0,0.03136,0.00704,0.08183,0.048032
1,double,uniform,GPU,"D | N",64,8,0.01344,0,0.0313,0.007392,0.085659,0.052132
1,double,uniform,GPU,"D | N",64,9,0.011104,0,0.031239,0.00768,0.082969,0.050023
1,double,uniform,GPU,"D | N",64,10,0.011584,0,0.03145,0.007392,0.08382,0.050426
1,double,uniform,GPU,"D | N",64,11,0.012672,0,0.03154,0.007936,0.08473,0.052148
1,double,uniform,GPU,"D | N",64,12,0.01168,0,0.032399,0.009568,0.088599,0.053647
1,double,uniform,GPU,"D | N",64,13,0.01152,0,0.03122,0.005952,0.084769,0.048692
1,double,uniform,GPU,"D | N",64,14,0.011488,0,0.03181,0.007328,0.082469,0.050626
1,double,uniform,GPU,"D | N",64,15,0.011104,0,0.03159,0.005248,0.0835,0.047942
1,double,uniform,GPU,"D | N",64,16,0.0136,0,0.03151,0.008448,0.088059,0.053558
1,double,uniform,GPU,"D | N",64,17,0.009888,0,0.031369,0.006656,0.082219,0.047913
1,double,uniform,GPU,"D | N",64,18,0.010048,0,0.03801,0.007264,0.090799,0.055322
1,double,uniform,GPU,"D | N",64,19,0.01152,0,0.116138,0.006336,0.168088,0.133994
1,double,uniform,GPU,"D | N",64,20,0.012288,0,0.031349,0.007328,0.084469,0.050965
1,double,uniform,GPU,"D | N",64,21,0.011072,0,0.03174,0.006752,0.082099,0.049564
1,double,uniform,GPU,"D | N",64,22,0.01088,0,0.03136,0.008672,0.085189,0.050912
1,double,uniform,GPU,"D | N",64,23,0.012384,0,0.03106,0.006464,0.083049,0.049908
1,double,uniform,GPU,"D | N",64,24,0.010016,0,0.031618,0.007296,0.082599,0.04893
1,double,uniform,GPU,"D | N",64,25,0.012192,0,0.031439,0.00704,0.085209,0.050671
1,double,uniform,GPU,"D | N",64,26,0.011328,0,0.031649,0.007872,0.084339,0.050849
1,double,uniform,GPU,"D | N",64,27,0.011648,0,0.03193,0.005536,0.0822,0.049114
1,double,uniform,GPU,"D | N",64,28,0.011264,0,0.03097,0.009024,0.084089,0.051258
1,double,uniform,GPU,"D | N",64,29,0.011392,0,0.031499,0.006464,0.083489,0.049355
1,double,uniform,GPU,"D | N",64,30,0.010976,0,0.03139,0.007296,0.082879,0.049662
1,double,uniform,GPU,"D | N",64,31,0.010176,0,0.03141,0.00768,0.08261,0.049266
1,double,uniform,GPU,"D | N",64,32,0.012352,0,0.03148,0.006944,0.084479,0.050776
1,double,uniform,GPU,"D | N",64,33,0.0112,0,0.03185,0.008192,0.08608,0.051242
1,double,uniform,GPU,"D | N",64,34,0.009856,0,0.031419,0.007616,0.082309,0.048891
1,double,uniform,GPU,"D | N",64,35,0.01216,0,0.03119,0.007552,0.082609,0.050902
1,double,uniform,GPU,"D | N",64,36,0.010816,0,0.03134,0.007424,0.083169,0.04958
1,double,uniform,GPU,"D | N",64,37,0.011392,0,0.027459,0.007904,0.075109,0.046755
1,double,uniform,GPU,"D | N",64,38,0.010912,0,0.03149,0.00576,0.082519,0.048162
1,double,uniform,GPU,"D | N",64,39,0.011968,0,0.02842,0.007072,0.078069,0.04746
1,double,uniform,GPU,"D | N",64,40,0.011648,0,0.03123,0.00768,0.083529,0.050558
1,double,uniform,GPU,"D | N",64,41,0.009376,0,0.03161,0.01248,0.087059,0.053466
1,double,uniform,GPU,"D | N",64,42,0.010272,0,0.031599,0.007424,0.084169,0.049295
1,double,uniform,GPU,"D | N",64,43,0.013312,0,0.031499,0.007808,0.086929,0.052619
1,double,uniform,GPU,"D | N",64,44,0.012032,0,0.03167,0.007264,0.084399,0.050966
1,double,uniform,GPU,"D | N",64,45,0.010464,0,0.031059,0.006816,0.079789,0.048339
1,double,uniform,GPU,"D | N",64,46,0.01088,0,0.031139,0.007584,0.092189,0.049603
1,double,uniform,GPU,"D | N",64,47,0.011808,0,0.03197,0.008256,0.084499,0.052034
1,double,uniform,GPU,"D | N",64,48,0.010496,0,0.03117,0.006912,0.081659,0.048578
1,double,uniform,GPU,"D | N",64,49,0.010624,0,0.03146,0.005376,0.079528,0.04746
1,double,uniform,GPU,"D | N",64,50,0.014016,0,0.031669,0.00688,0.088519,0.052565
1,double,uniform,GPU,"D | N",64,51,0.011488,0,0.031639,0.008704,0.084989,0.051831
1,double,uniform,GPU,"D | N",64,52,0.013344,0,0.03131,0.007296,0.086179,0.05195
1,double,uniform,GPU,"D | N",64,53,0.011296,0,0.031681,0.0072,0.083619,0.050177
1,double,uniform,GPU,"D | N",64,54,0.013344,0,0.03152,0.007648,0.086519,0.052512
1,double,uniform,GPU,"D | N",64,55,0.010688,0,0.03131,0.00592,0.080239,0.047918
1,double,uniform,GPU,"D | N",64,56,0.011616,0,0.03155,0.009248,0.089899,0.052414
