dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ds",64,0,0.073184,0,0.063949,200.375,200.608,200.512
1,double,uniform,GPU,"Ns | Ds",64,1,0.014848,0,0.038529,0.009888,0.098779,0.063265
1,double,uniform,GPU,"Ns | Ds",64,2,0.014784,0,0.035559,0.008992,0.095499,0.059335
1,double,uniform,GPU,"Ns | Ds",64,3,0.012512,0,0.034799,0.009184,0.091769,0.056495
1,double,uniform,GPU,"Ns | Ds",64,4,0.013888,0,0.03508,0.007552,0.090919,0.05652
1,double,uniform,GPU,"Ns | Ds",64,5,0.0136,0,0.03474,0.009696,0.093028,0.058036
1,double,uniform,GPU,"Ns | Ds",64,6,0.012,0,0.03467,0.007712,0.08864,0.054382
1,double,uniform,GPU,"Ns | Ds",64,7,0.01296,0,0.0308,0.008064,0.081089,0.051824
1,double,uniform,GPU,"Ns | Ds",64,8,0.01216,0,0.03099,0.007936,0.080809,0.051086
1,double,uniform,GPU,"Ns | Ds",64,9,0.012768,0,0.035299,0.010272,0.093749,0.058339
1,double,uniform,GPU,"Ns | Ds",64,10,0.012384,0,0.03468,0.007744,0.091849,0.054808
1,double,uniform,GPU,"Ns | Ds",64,11,0.013568,0,0.035869,0.007328,0.091309,0.056765
1,double,uniform,GPU,"Ns | Ds",64,12,0.013696,0,0.034719,0.007488,0.090389,0.055903
1,double,uniform,GPU,"Ns | Ds",64,13,0.013248,0,0.03455,0.008352,0.089879,0.05615
1,double,uniform,GPU,"Ns | Ds",64,14,0.012608,0,0.03459,0.006912,0.088079,0.05411
1,double,uniform,GPU,"Ns | Ds",64,15,0.01232,0,0.03495,0.007232,0.089529,0.054502
1,double,uniform,GPU,"Ns | Ds",64,16,0.013088,0,0.03421,0.0064,0.088759,0.053698
1,double,uniform,GPU,"Ns | Ds",64,17,0.013472,0,0.03471,0.008416,0.090829,0.056598
1,double,uniform,GPU,"Ns | Ds",64,18,0.012704,0,0.03428,0.008704,0.090209,0.055688
1,double,uniform,GPU,"Ns | Ds",64,19,0.012544,0,0.034499,0.006624,0.089119,0.053667
1,double,uniform,GPU,"Ns | Ds",64,20,0.013472,0,0.035309,0.00688,0.092099,0.055661
1,double,uniform,GPU,"Ns | Ds",64,21,0.01456,0,0.03456,0.008544,0.092689,0.057664
1,double,uniform,GPU,"Ns | Ds",64,22,0.01296,0,0.03525,0.009472,0.092428,0.057682
1,double,uniform,GPU,"Ns | Ds",64,23,0.013184,0,0.034499,0.00592,0.088129,0.053603
1,double,uniform,GPU,"Ns | Ds",64,24,0.013184,0,0.03482,0.006848,0.090179,0.054852
1,double,uniform,GPU,"Ns | Ds",64,25,0.012704,0,0.03443,0.008576,0.090769,0.05571
1,double,uniform,GPU,"Ns | Ds",64,26,0.014688,0,0.034339,0.005376,0.088319,0.054403
1,double,uniform,GPU,"Ns | Ds",64,27,0.012064,0,0.03465,0.006912,0.087909,0.053626
1,double,uniform,GPU,"Ns | Ds",64,28,0.013536,0,0.034289,0.008896,0.090939,0.056721
1,double,uniform,GPU,"Ns | Ds",64,29,0.01328,0,0.03553,0.006816,0.089859,0.055626
1,double,uniform,GPU,"Ns | Ds",64,30,0.012768,0,0.03475,0.006688,0.08845,0.054206
1,double,uniform,GPU,"Ns | Ds",64,31,0.01408,0,0.034959,0.008928,0.093019,0.057967
1,double,uniform,GPU,"Ns | Ds",64,32,0.012768,0,0.03507,0.00848,0.091859,0.056318
1,double,uniform,GPU,"Ns | Ds",64,33,0.012864,0,0.034069,0.00736,0.088239,0.054293
1,double,uniform,GPU,"Ns | Ds",64,34,0.01328,0,0.03492,0.008768,0.092049,0.056968
1,double,uniform,GPU,"Ns | Ds",64,35,0.012416,0,0.03491,0.008704,0.09075,0.05603
1,double,uniform,GPU,"Ns | Ds",64,36,0.011648,0,0.034879,0.009088,0.089819,0.055615
1,double,uniform,GPU,"Ns | Ds",64,37,0.012736,0,0.03486,0.00832,0.09003,0.055916
1,double,uniform,GPU,"Ns | Ds",64,38,0.013728,0,0.03537,0.005856,0.088189,0.054954
1,double,uniform,GPU,"Ns | Ds",64,39,0.012704,0,0.03503,0.007232,0.085739,0.054966
1,double,uniform,GPU,"Ns | Ds",64,40,0.011872,0,0.034609,0.007264,0.087219,0.053745
1,double,uniform,GPU,"Ns | Ds",64,41,0.01184,0,0.034609,0.007296,0.089129,0.053745
1,double,uniform,GPU,"Ns | Ds",64,42,0.012416,0,0.03456,0.00752,0.089429,0.054496
