dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ds",64,0,183.927,0,0.04872,51.9201,236.004,235.895
1,double,uniform,CPU,"Ds | Ds",64,1,0.039392,0,0.03636,0.00896,0.127119,0.084712
1,double,uniform,CPU,"Ds | Ds",64,2,0.032448,0,0.032011,0.00768,0.112259,0.072139
1,double,uniform,CPU,"Ds | Ds",64,3,0.031136,0,0.03264,0.007744,0.111188,0.07152
1,double,uniform,CPU,"Ds | Ds",64,4,0.02784,0,0.02788,0.008704,0.096269,0.064424
1,double,uniform,CPU,"Ds | Ds",64,5,0.030048,0,0.0304,0.00912,0.106149,0.069568
1,double,uniform,CPU,"Ds | Ds",64,6,0.031424,0,0.03026,0.005856,0.101609,0.06754
1,double,uniform,CPU,"Ds | Ds",64,7,0.029696,0,0.031619,0.00848,0.108759,0.069795
1,double,uniform,CPU,"Ds | Ds",64,8,0.029472,0,0.03208,0.006016,0.105809,0.067568
1,double,uniform,CPU,"Ds | Ds",64,9,0.02848,0,0.03186,0.008928,0.109259,0.069268
1,double,uniform,CPU,"Ds | Ds",64,10,0.031616,0,0.03192,0.007872,0.111679,0.071408
1,double,uniform,CPU,"Ds | Ds",64,11,0.028224,0,0.03205,0.007968,0.107289,0.068242
1,double,uniform,CPU,"Ds | Ds",64,12,0.032608,0,0.031669,0.005184,0.107849,0.069461
1,double,uniform,CPU,"Ds | Ds",64,13,0.030784,0,0.03171,0.008096,0.110179,0.07059
1,double,uniform,CPU,"Ds | Ds",64,14,0.0288,0,0.03222,0.009376,0.109289,0.070396
1,double,uniform,CPU,"Ds | Ds",64,15,0.028096,0,0.03203,0.007552,0.106439,0.067678
1,double,uniform,CPU,"Ds | Ds",64,16,0.030624,0,0.03154,0.006048,0.106679,0.068212
1,double,uniform,CPU,"Ds | Ds",64,17,0.029792,0,0.03168,0.007296,0.109979,0.068768
1,double,uniform,CPU,"Ds | Ds",64,18,0.028576,0,0.028139,0.008288,0.096619,0.065003
1,double,uniform,CPU,"Ds | Ds",64,19,0.031168,0,0.03171,0.005664,0.108739,0.068542
1,double,uniform,CPU,"Ds | Ds",64,20,0.028608,0,0.03161,0.00608,0.104469,0.066298
1,double,uniform,CPU,"Ds | Ds",64,21,0.031552,0,0.03179,0.008448,0.110979,0.07179
1,double,uniform,CPU,"Ds | Ds",64,22,0.029984,0,0.03176,0.007296,0.107469,0.06904
1,double,uniform,CPU,"Ds | Ds",64,23,0.03072,0,0.032379,0.00768,0.109379,0.070779
1,double,uniform,CPU,"Ds | Ds",64,24,0.031072,0,0.03148,0.004992,0.107959,0.067544
1,double,uniform,CPU,"Ds | Ds",64,25,0.030528,0,0.03201,0.009056,0.110779,0.071594
1,double,uniform,CPU,"Ds | Ds",64,26,0.029984,0,0.03235,0.00832,0.11075,0.070654
1,double,uniform,CPU,"Ds | Ds",64,27,0.028352,0,0.0328,0.00704,0.107388,0.068192
1,double,uniform,CPU,"Ds | Ds",64,28,0.028224,0,0.03144,0.006016,0.10443,0.06568
1,double,uniform,CPU,"Ds | Ds",64,29,0.02896,0,0.03117,0.008832,0.108809,0.068962
1,double,uniform,CPU,"Ds | Ds",64,30,0.03152,0,0.03235,0.005536,0.10888,0.069406
1,double,uniform,CPU,"Ds | Ds",64,31,0.032832,0,0.03165,0.008032,0.110508,0.072514
1,double,uniform,CPU,"Ds | Ds",64,32,0.030752,0,0.031649,0.00608,0.106829,0.068481
1,double,uniform,CPU,"Ds | Ds",64,33,0.028416,0,0.03186,0.00864,0.113439,0.068916
1,double,uniform,CPU,"Ds | Ds",64,34,0.031456,0,0.031639,0.00576,0.107979,0.068855
1,double,uniform,CPU,"Ds | Ds",64,35,0.029824,0,0.03224,0.006912,0.10677,0.068976
1,double,uniform,CPU,"Ds | Ds",64,36,0.027552,0,0.028099,0.0072,0.094979,0.062851
1,double,uniform,CPU,"Ds | Ds",64,37,0.02672,0,0.02785,0.010144,0.098659,0.064714
1,double,uniform,CPU,"Ds | Ds",64,38,0.030848,0,0.03149,0.005856,0.106519,0.068194
1,double,uniform,CPU,"Ds | Ds",64,39,0.031968,0,0.032009,0.007712,0.111249,0.071689
1,double,uniform,CPU,"Ds | Ds",64,40,0.030016,0,0.03158,0.005824,0.105529,0.06742
1,double,uniform,CPU,"Ds | Ds",64,41,0.029696,0,0.032119,0.008032,0.113319,0.069847
1,double,uniform,CPU,"Ds | Ds",64,42,0.02912,0,0.031809,0.008864,0.108739,0.069793
1,double,uniform,CPU,"Ds | Ds",64,43,0.028768,0,0.032199,0.007744,0.108889,0.068711
1,double,uniform,CPU,"Ds | Ds",64,44,0.029472,0,0.03141,0.008192,0.109509,0.069074
1,double,uniform,CPU,"Ds | Ds",64,45,0.031744,0,0.03293,0.00672,0.112139,0.071394
1,double,uniform,CPU,"Ds | Ds",64,46,0.02976,0,0.031358,0.007296,0.109389,0.068414
1,double,uniform,CPU,"Ds | Ds",64,47,0.028096,0,0.032079,0.007168,0.105339,0.067343
1,double,uniform,CPU,"Ds | Ds",64,48,0.035808,0,0.031499,0.00592,0.112459,0.073227
1,double,uniform,CPU,"Ds | Ds",64,49,0.031392,0,0.031758,0.008064,0.110889,0.071214
1,double,uniform,CPU,"Ds | Ds",64,50,0.02912,0,0.02878,0.009696,0.09911,0.067596
1,double,uniform,CPU,"Ds | Ds",64,51,0.029696,0,0.03203,0.006656,0.109519,0.068382
1,double,uniform,CPU,"Ds | Ds",64,52,0.030304,0,0.03216,0.004992,0.10676,0.067456
1,double,uniform,CPU,"Ds | Ds",64,53,0.02896,0,0.03197,0.008128,0.109819,0.069058
1,double,uniform,CPU,"Ds | Ds",64,54,0.031232,0,0.03239,0.006432,0.109239,0.070054
1,double,uniform,CPU,"Ds | Ds",64,55,0.029952,0,0.032109,0.009504,0.112459,0.071565
1,double,uniform,CPU,"Ds | Ds",64,56,0.029536,0,0.03156,0.006176,0.10555,0.067272
1,double,uniform,CPU,"Ds | Ds",64,57,0.031968,0,0.0322,0.009376,0.117039,0.073544
1,double,uniform,CPU,"Ds | Ds",64,58,0.031424,0,0.03137,0.006624,0.110029,0.069418
1,double,uniform,CPU,"Ds | Ds",64,59,0.031232,0,0.032269,0.00688,0.110109,0.070381
1,double,uniform,CPU,"Ds | Ds",64,60,0.028704,0,0.031759,0.007392,0.106039,0.067855
1,double,uniform,CPU,"Ds | Ds",64,61,0.0312,0,0.031549,0.008352,0.110819,0.071101
1,double,uniform,CPU,"Ds | Ds",64,62,0.03056,0,0.032039,0.007072,0.109379,0.069671
1,double,uniform,CPU,"Ds | Ds",64,63,0.029376,0,0.032129,0.008832,0.109089,0.070337
1,double,uniform,CPU,"Ds | Ds",64,64,0.029152,0,0.0398,0.005792,0.113459,0.074744
1,double,uniform,CPU,"Ds | Ds",64,65,0.02992,0,0.03142,0.007232,0.10771,0.068572
1,double,uniform,CPU,"Ds | Ds",64,66,0.029696,0,0.031629,0.006784,0.107069,0.068109
1,double,uniform,CPU,"Ds | Ds",64,67,0.030272,0,0.031221,0.007584,0.108029,0.069077
1,double,uniform,CPU,"Ds | Ds",64,68,0.027264,0,0.029359,0.008704,0.097789,0.065327
1,double,uniform,CPU,"Ds | Ds",64,69,0.028544,0,0.02814,0.01008,0.097759,0.066764
1,double,uniform,CPU,"Ds | Ds",64,70,0.034496,0,0.03177,0.006848,0.112029,0.073114
1,double,uniform,CPU,"Ds | Ds",64,71,0.029248,0,0.031359,0.007552,0.106189,0.068159
1,double,uniform,CPU,"Ds | Ds",64,72,0.031968,0,0.032019,0.006592,0.109679,0.070579
1,double,uniform,CPU,"Ds | Ds",64,73,0.028672,0,0.03114,0.008128,0.106899,0.06794
1,double,uniform,CPU,"Ds | Ds",64,74,0.02976,0,0.0322,0.007712,0.10717,0.069672
1,double,uniform,CPU,"Ds | Ds",128,0,0.058112,0,0.037679,0.013408,0.154789,0.109199
1,double,uniform,CPU,"Ds | Ds",128,1,0.046624,0,0.03573,0.007296,0.144888,0.08965
1,double,uniform,CPU,"Ds | Ds",128,2,0.030496,0,0.03403,0.006592,0.111739,0.071118
1,double,uniform,CPU,"Ds | Ds",128,3,0.03056,0,0.03366,0.0064,0.110119,0.07062
1,double,uniform,CPU,"Ds | Ds",128,4,0.030304,0,0.03341,0.008288,0.113249,0.072002
1,double,uniform,CPU,"Ds | Ds",128,5,0.0296,0,0.0342,0.005568,0.110819,0.069368
1,double,uniform,CPU,"Ds | Ds",128,6,0.02992,0,0.03363,0.008032,0.109609,0.071582
1,double,uniform,CPU,"Ds | Ds",128,7,0.030784,0,0.03394,0.006688,0.112669,0.071412
1,double,uniform,CPU,"Ds | Ds",128,8,0.030464,0,0.03353,0.00608,0.110549,0.070074
1,double,uniform,CPU,"Ds | Ds",128,9,0.032832,0,0.03303,0.006784,0.109579,0.072646
1,double,uniform,CPU,"Ds | Ds",128,10,0.029376,0,0.033819,0.005792,0.108509,0.068987
1,double,uniform,CPU,"Ds | Ds",128,11,0.031616,0,0.03355,0.006656,0.11115,0.071822
1,double,uniform,CPU,"Ds | Ds",128,12,0.027712,0,0.03345,0.004864,0.105779,0.066026
1,double,uniform,CPU,"Ds | Ds",128,13,0.031264,0,0.0339,0.005568,0.110049,0.070732
1,double,uniform,CPU,"Ds | Ds",128,14,0.03056,0,0.03355,0.005504,0.108069,0.069614
1,double,uniform,CPU,"Ds | Ds",128,15,0.027936,0,0.02945,0.00848,0.09821,0.065866
1,double,uniform,CPU,"Ds | Ds",128,16,0.031616,0,0.03483,0.007392,0.114229,0.073838
1,double,uniform,CPU,"Ds | Ds",128,17,0.0304,0,0.03393,0.00624,0.111479,0.07057
1,double,uniform,CPU,"Ds | Ds",128,18,0.028352,0,0.0331,0.00592,0.106849,0.067372
1,double,uniform,CPU,"Ds | Ds",128,19,0.030528,0,0.03379,0.0064,0.111219,0.070718
1,double,uniform,CPU,"Ds | Ds",128,20,0.029184,0,0.03379,0.00736,0.111888,0.070334
1,double,uniform,CPU,"Ds | Ds",128,21,0.029792,0,0.034169,0.006336,0.111569,0.070297
1,double,uniform,CPU,"Ds | Ds",128,22,0.039488,0,0.03354,0.006464,0.119249,0.079492
