dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ns",64,0,183.025,0,0.052409,51.7265,234.909,234.804
1,double,uniform,CPU,"Ds | Ns",64,1,0.046592,0,0.04035,0.011008,0.147309,0.09795
1,double,uniform,CPU,"Ds | Ns",64,2,0.0312,0,0.03594,0.007104,0.114739,0.074244
1,double,uniform,CPU,"Ds | Ns",64,3,0.029664,0,0.03644,0.0056,0.111079,0.071704
1,double,uniform,CPU,"Ds | Ns",64,4,0.028512,0,0.035231,0.005664,0.108739,0.069407
1,double,uniform,CPU,"Ds | Ns",64,5,0.028256,0,0.035389,0.0088,0.111309,0.072445
1,double,uniform,CPU,"Ds | Ns",64,6,0.034656,0,0.03582,0.006656,0.116829,0.077132
1,double,uniform,CPU,"Ds | Ns",64,7,0.03056,0,0.03556,0.007936,0.114488,0.074056
1,double,uniform,CPU,"Ds | Ns",64,8,0.030304,0,0.035319,0.00688,0.110129,0.072503
1,double,uniform,CPU,"Ds | Ns",64,9,0.036064,0,0.03532,0.009632,0.120008,0.081016
1,double,uniform,CPU,"Ds | Ns",64,10,0.030496,0,0.03529,0.006912,0.112539,0.072698
1,double,uniform,CPU,"Ds | Ns",64,11,0.031616,0,0.03611,0.009344,0.116149,0.07707
1,double,uniform,CPU,"Ds | Ns",64,12,0.027168,0,0.03497,0.005824,0.105519,0.067962
1,double,uniform,CPU,"Ds | Ns",64,13,0.031072,0,0.03549,0.008768,0.114079,0.07533
1,double,uniform,CPU,"Ds | Ns",64,14,0.028064,0,0.03199,0.008,0.100719,0.068054
1,double,uniform,CPU,"Ds | Ns",64,15,0.028544,0,0.03582,0.006976,0.108329,0.07134
1,double,uniform,CPU,"Ds | Ns",64,16,0.029504,0,0.03515,0.005664,0.109919,0.070318
1,double,uniform,CPU,"Ds | Ns",64,17,0.030272,0,0.03562,0.009408,0.12215,0.0753
1,double,uniform,CPU,"Ds | Ns",64,18,0.03472,0,0.035199,0.00528,0.114429,0.075199
1,double,uniform,CPU,"Ds | Ns",64,19,0.027616,0,0.03588,0.005856,0.106839,0.069352
1,double,uniform,CPU,"Ds | Ns",64,20,0.02704,0,0.035259,0.005824,0.108169,0.068123
1,double,uniform,CPU,"Ds | Ns",64,21,0.0296,0,0.03523,0.00896,0.113129,0.07379
1,double,uniform,CPU,"Ds | Ns",64,22,0.029792,0,0.03513,0.00832,0.112268,0.073242
1,double,uniform,CPU,"Ds | Ns",64,23,0.033056,0,0.035859,0.009248,0.118569,0.078163
1,double,uniform,CPU,"Ds | Ns",64,24,0.02832,0,0.03492,0.007456,0.109189,0.070696
1,double,uniform,CPU,"Ds | Ns",64,25,0.032544,0,0.035769,0.009248,0.117829,0.077561
1,double,uniform,CPU,"Ds | Ns",64,26,0.03072,0,0.03538,0.00752,0.112679,0.07362
1,double,uniform,CPU,"Ds | Ns",64,27,0.02704,0,0.03248,0.009248,0.101499,0.068768
1,double,uniform,CPU,"Ds | Ns",64,28,0.026784,0,0.03546,0.00592,0.105679,0.068164
1,double,uniform,CPU,"Ds | Ns",64,29,0.029888,0,0.035189,0.009184,0.113129,0.074261
1,double,uniform,CPU,"Ds | Ns",64,30,0.02944,0,0.03644,0.004032,0.109269,0.069912
1,double,uniform,CPU,"Ds | Ns",64,31,0.029152,0,0.0401,0.007328,0.117749,0.07658
1,double,uniform,CPU,"Ds | Ns",64,32,0.027968,0,0.035229,0.00496,0.107119,0.068157
1,double,uniform,CPU,"Ds | Ns",64,33,0.027232,0,0.03577,0.008736,0.110719,0.071738
1,double,uniform,CPU,"Ds | Ns",64,34,0.034048,0,0.0353,0.006592,0.118158,0.07594
1,double,uniform,CPU,"Ds | Ns",64,35,0.031488,0,0.03552,0.006912,0.112059,0.07392
1,double,uniform,CPU,"Ds | Ns",64,36,0.030976,0,0.03513,0.006176,0.109929,0.072282
1,double,uniform,CPU,"Ds | Ns",64,37,0.030208,0,0.03512,0.009056,0.111899,0.074384
1,double,uniform,CPU,"Ds | Ns",64,38,0.03072,0,0.03529,0.0088,0.11419,0.07481
1,double,uniform,CPU,"Ds | Ns",64,39,0.0344,0,0.035469,0.0088,0.117049,0.078669
1,double,uniform,CPU,"Ds | Ns",64,40,0.027616,0,0.03469,0.005792,0.104359,0.068098
1,double,uniform,CPU,"Ds | Ns",64,41,0.029216,0,0.035639,0.00784,0.113479,0.072695
1,double,uniform,CPU,"Ds | Ns",64,42,0.029248,0,0.03492,0.005888,0.108179,0.070056
1,double,uniform,CPU,"Ds | Ns",64,43,0.02976,0,0.036159,0.00736,0.111539,0.073279
1,double,uniform,CPU,"Ds | Ns",64,44,0.030752,0,0.035269,0.007456,0.111599,0.073477
