dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",64,0,183.262,0,0.047499,51.1174,234.532,234.427
1,double,uniform,CPU,"N | D",64,1,0.048608,0,0.0359,0.010752,0.147478,0.09526
1,double,uniform,CPU,"N | D",64,2,0.028224,0,0.030829,0.005696,0.104969,0.064749
1,double,uniform,CPU,"N | D",64,3,0.029376,0,0.031469,0.004896,0.104889,0.065741
1,double,uniform,CPU,"N | D",64,4,0.028736,0,0.030961,0.005792,0.103789,0.065489
1,double,uniform,CPU,"N | D",64,5,0.031072,0,0.03088,0.008864,0.111879,0.070816
1,double,uniform,CPU,"N | D",64,6,0.030016,0,0.030809,0.006208,0.109359,0.067033
1,double,uniform,CPU,"N | D",64,7,0.029568,0,0.031939,0.007712,0.107069,0.069219
1,double,uniform,CPU,"N | D",64,8,0.031072,0,0.03083,0.0064,0.106248,0.068302
1,double,uniform,CPU,"N | D",64,9,0.025824,0,0.02775,0.01008,0.09845,0.063654
1,double,uniform,CPU,"N | D",64,10,0.0304,0,0.0307,0.007584,0.107159,0.068684
1,double,uniform,CPU,"N | D",64,11,0.03248,0,0.03167,0.005984,0.111299,0.070134
1,double,uniform,CPU,"N | D",64,12,0.029184,0,0.03126,0.005824,0.105259,0.066268
1,double,uniform,CPU,"N | D",64,13,0.030656,0,0.03065,0.008832,0.108329,0.070138
1,double,uniform,CPU,"N | D",64,14,0.030592,0,0.03068,0.007648,0.10846,0.06892
1,double,uniform,CPU,"N | D",64,15,0.02928,0,0.03098,0.005632,0.10352,0.065892
1,double,uniform,CPU,"N | D",64,16,0.03152,0,0.030869,0.007072,0.106619,0.069461
1,double,uniform,CPU,"N | D",64,17,0.029088,0,0.03113,0.009344,0.114999,0.069562
1,double,uniform,CPU,"N | D",64,18,0.030144,0,0.03115,0.0064,0.107369,0.067694
1,double,uniform,CPU,"N | D",64,19,0.029856,0,0.03105,0.005536,0.104269,0.066442
1,double,uniform,CPU,"N | D",64,20,0.032,0,0.031329,0.005184,0.107039,0.068513
1,double,uniform,CPU,"N | D",64,21,0.02848,0,0.03088,0.008992,0.114079,0.068352
1,double,uniform,CPU,"N | D",64,22,0.030048,0,0.03069,0.007552,0.108219,0.06829
1,double,uniform,CPU,"N | D",64,23,0.03312,0,0.03159,0.008896,0.115209,0.073606
1,double,uniform,CPU,"N | D",64,24,0.030464,0,0.03069,0.006144,0.105319,0.067298
1,double,uniform,CPU,"N | D",64,25,0.03248,0,0.030828,0.009248,0.112459,0.072556
1,double,uniform,CPU,"N | D",64,26,0.02944,0,0.030911,0.00672,0.107089,0.067071
1,double,uniform,CPU,"N | D",64,27,0.029728,0,0.031209,0.006368,0.105999,0.067305
1,double,uniform,CPU,"N | D",64,28,0.034912,0,0.030839,0.005824,0.107769,0.071575
1,double,uniform,CPU,"N | D",64,29,0.030688,0,0.030888,0.009472,0.108719,0.071048
1,double,uniform,CPU,"N | D",64,30,0.029568,0,0.03066,0.007648,0.200548,0.067876
1,double,uniform,CPU,"N | D",64,31,0.028352,0,0.031428,0.006976,0.105319,0.066756
1,double,uniform,CPU,"N | D",64,32,0.029664,0,0.03071,0.006176,0.106409,0.06655
1,double,uniform,CPU,"N | D",64,33,0.030496,0,0.03079,0.008448,0.108779,0.069734
1,double,uniform,CPU,"N | D",64,34,0.02928,0,0.03094,0.008672,0.107689,0.068892
1,double,uniform,CPU,"N | D",64,35,0.02752,0,0.03141,0.009056,0.103909,0.067986
1,double,uniform,CPU,"N | D",64,36,0.026784,0,0.03061,0.005728,0.101719,0.063122
1,double,uniform,CPU,"N | D",64,37,0.029696,0,0.03115,0.00912,0.109419,0.069966
1,double,uniform,CPU,"N | D",64,38,0.031552,0,0.03132,0.006368,0.109059,0.06924
1,double,uniform,CPU,"N | D",64,39,0.031136,0,0.031669,0.006048,0.109709,0.068853
1,double,uniform,CPU,"N | D",64,40,0.026816,0,0.03059,0.004704,0.100239,0.06211
1,double,uniform,CPU,"N | D",64,41,0.0304,0,0.03058,0.008544,0.108759,0.069524
1,double,uniform,CPU,"N | D",64,42,0.030688,0,0.03052,0.00752,0.107889,0.068728
1,double,uniform,CPU,"N | D",64,43,0.030016,0,0.03162,0.007392,0.196888,0.069028
1,double,uniform,CPU,"N | D",64,44,0.03024,0,0.030869,0.0064,0.105469,0.067509
1,double,uniform,CPU,"N | D",64,45,0.028256,0,0.03104,0.008256,0.107449,0.067552
1,double,uniform,CPU,"N | D",64,46,0.030208,0,0.031168,0.006816,0.108549,0.068192
1,double,uniform,CPU,"N | D",64,47,0.03328,0,0.03182,0.008576,0.112429,0.073676
1,double,uniform,CPU,"N | D",64,48,0.027104,0,0.030759,0.005376,0.101729,0.063239
1,double,uniform,CPU,"N | D",64,49,0.030048,0,0.03107,0.009408,0.110308,0.070526
1,double,uniform,CPU,"N | D",64,50,0.036608,0,0.031119,0.006368,0.116029,0.074095
1,double,uniform,CPU,"N | D",64,51,0.029536,0,0.03129,0.007104,0.106889,0.06793
1,double,uniform,CPU,"N | D",64,52,0.02896,0,0.03062,0.005856,0.104559,0.065436
1,double,uniform,CPU,"N | D",64,53,0.030688,0,0.03133,0.008672,0.110739,0.07069
1,double,uniform,CPU,"N | D",64,54,0.0328,0,0.03081,0.006624,0.109889,0.070234
1,double,uniform,CPU,"N | D",64,55,0.03152,0,0.031059,0.017152,0.115879,0.079731
1,double,uniform,CPU,"N | D",64,56,0.028352,0,0.0309,0.005664,0.187988,0.064916
1,double,uniform,CPU,"N | D",64,57,0.029632,0,0.03066,0.008416,0.110479,0.068708
1,double,uniform,CPU,"N | D",64,58,0.0288,0,0.0315,0.007296,0.108129,0.067596
1,double,uniform,CPU,"N | D",64,59,0.030016,0,0.03168,0.007392,0.10689,0.069088
1,double,uniform,CPU,"N | D",64,60,0.029696,0,0.02821,0.007072,0.09774,0.064978
1,double,uniform,CPU,"N | D",64,61,0.027936,0,0.030799,0.007264,0.104469,0.065999
1,double,uniform,CPU,"N | D",64,62,0.0304,0,0.027719,0.008576,0.100679,0.066695
1,double,uniform,CPU,"N | D",64,63,0.027712,0,0.03156,0.005984,0.102929,0.065256
1,double,uniform,CPU,"N | D",64,64,0.02944,0,0.03332,0.006848,0.110639,0.069608
1,double,uniform,CPU,"N | D",64,65,0.029728,0,0.03077,0.007776,0.107839,0.068274
1,double,uniform,CPU,"N | D",64,66,0.032544,0,0.03113,0.008096,0.111099,0.07177
