dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",64,0,180.917,0,0.04426,47.4515,228.516,228.413
1,double,uniform,CPU,"N | N",64,1,0.046688,0,0.034,0.007936,0.139699,0.088624
1,double,uniform,CPU,"N | N",64,2,0.030048,0,0.02937,0.0088,0.108919,0.068218
1,double,uniform,CPU,"N | N",64,3,0.030368,0,0.02928,0.006528,0.107159,0.066176
1,double,uniform,CPU,"N | N",64,4,0.029312,0,0.02926,0.00848,0.107569,0.067052
1,double,uniform,CPU,"N | N",64,5,0.034528,0,0.02905,0.00592,0.109499,0.069498
1,double,uniform,CPU,"N | N",64,6,0.02784,0,0.02883,0.009248,0.10569,0.065918
1,double,uniform,CPU,"N | N",64,7,0.029504,0,0.02923,0.007776,0.106379,0.06651
1,double,uniform,CPU,"N | N",64,8,0.029504,0,0.0293,0.007168,0.10532,0.065972
1,double,uniform,CPU,"N | N",64,9,0.029056,0,0.02888,0.006336,0.10178,0.064272
1,double,uniform,CPU,"N | N",64,10,0.033472,0,0.02885,0.009088,0.110888,0.07141
1,double,uniform,CPU,"N | N",64,11,0.029184,0,0.02658,0.007808,0.09721,0.063572
1,double,uniform,CPU,"N | N",64,12,0.029088,0,0.02995,0.007264,0.113639,0.066302
1,double,uniform,CPU,"N | N",64,13,0.030112,0,0.02904,0.006112,0.104639,0.065264
1,double,uniform,CPU,"N | N",64,14,0.030272,0,0.02936,0.00864,0.10712,0.068272
1,double,uniform,CPU,"N | N",64,15,0.031328,0,0.02888,0.005088,0.105029,0.065296
1,double,uniform,CPU,"N | N",64,16,0.028384,0,0.02929,0.008608,0.106159,0.066282
1,double,uniform,CPU,"N | N",64,17,0.031616,0,0.029879,0.00816,0.109249,0.069655
1,double,uniform,CPU,"N | N",64,18,0.03632,0,0.02872,0.00912,0.112149,0.07416
1,double,uniform,CPU,"N | N",64,19,0.031264,0,0.02899,0.006912,0.106148,0.067166
1,double,uniform,CPU,"N | N",64,20,0.028384,0,0.02892,0.007296,0.103749,0.0646
1,double,uniform,CPU,"N | N",64,21,0.03024,0,0.028608,0.005888,0.101779,0.064736
1,double,uniform,CPU,"N | N",64,22,0.030272,0,0.029189,0.008768,0.114219,0.068229
1,double,uniform,CPU,"N | N",64,23,0.030176,0,0.02857,0.006624,0.103549,0.06537
1,double,uniform,CPU,"N | N",64,24,0.030528,0,0.02935,0.008032,0.107859,0.06791
1,double,uniform,CPU,"N | N",64,25,0.0304,0,0.0289,0.006432,0.104349,0.065732
1,double,uniform,CPU,"N | N",64,26,0.034016,0,0.02892,0.009024,0.111739,0.07196
1,double,uniform,CPU,"N | N",64,27,0.030624,0,0.02988,0.006848,0.105459,0.067352
1,double,uniform,CPU,"N | N",64,28,0.029376,0,0.029649,0.007648,0.106979,0.066673
1,double,uniform,CPU,"N | N",64,29,0.03392,0,0.02911,0.006016,0.107719,0.069046
1,double,uniform,CPU,"N | N",64,30,0.029344,0,0.02714,0.00768,0.100609,0.064164
1,double,uniform,CPU,"N | N",64,31,0.030496,0,0.02886,0.007616,0.107319,0.066972
1,double,uniform,CPU,"N | N",64,32,0.03088,0,0.02955,0.007456,0.107628,0.067886
1,double,uniform,CPU,"N | N",64,33,0.0296,0,0.02925,0.006016,0.101739,0.064866
1,double,uniform,CPU,"N | N",64,34,0.03072,0,0.0292,0.009088,0.107329,0.069008
1,double,uniform,CPU,"N | N",64,35,0.029536,0,0.02888,0.008896,0.106339,0.067312
1,double,uniform,CPU,"N | N",64,36,0.031328,0,0.03488,0.00704,0.113569,0.073248
1,double,uniform,CPU,"N | N",64,37,0.029408,0,0.02894,0.007584,0.104419,0.065932
1,double,uniform,CPU,"N | N",64,38,0.033024,0,0.02867,0.008448,0.110159,0.070142
1,double,uniform,CPU,"N | N",64,39,0.02976,0,0.02978,0.006624,0.107429,0.066164
1,double,uniform,CPU,"N | N",64,40,0.029056,0,0.029749,0.006816,0.103449,0.065621
