dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ns | Ns",64,0,180.618,0,0.0481,50.0107,230.78,230.677
1,double,uniform,CPU,"Ns | Ns",64,1,0.045952,0,0.03555,0.010592,0.145089,0.092094
1,double,uniform,CPU,"Ns | Ns",64,2,0.032704,0,0.030909,0.007168,0.111839,0.070781
1,double,uniform,CPU,"Ns | Ns",64,3,0.0304,0,0.031649,0.008672,0.112769,0.070721
1,double,uniform,CPU,"Ns | Ns",64,4,0.030272,0,0.031368,0.005184,0.103719,0.066824
1,double,uniform,CPU,"Ns | Ns",64,5,0.028736,0,0.03099,0.007744,0.107599,0.06747
1,double,uniform,CPU,"Ns | Ns",64,6,0.029504,0,0.03092,0.007936,0.110649,0.06836
1,double,uniform,CPU,"Ns | Ns",64,7,0.02736,0,0.031189,0.006496,0.105079,0.065045
1,double,uniform,CPU,"Ns | Ns",64,8,0.029376,0,0.030669,0.007072,0.107559,0.067117
1,double,uniform,CPU,"Ns | Ns",64,9,0.031872,0,0.036559,0.007296,0.117929,0.075727
1,double,uniform,CPU,"Ns | Ns",64,10,0.029056,0,0.031621,0.007872,0.107219,0.068549
1,double,uniform,CPU,"Ns | Ns",64,11,0.02896,0,0.031919,0.008448,0.111329,0.069327
1,double,uniform,CPU,"Ns | Ns",64,12,0.028416,0,0.03116,0.007136,0.10573,0.066712
1,double,uniform,CPU,"Ns | Ns",64,13,0.030176,0,0.0317,0.007872,0.110908,0.069748
1,double,uniform,CPU,"Ns | Ns",64,14,0.03184,0,0.03076,0.008224,0.109999,0.070824
1,double,uniform,CPU,"Ns | Ns",64,15,0.031584,0,0.031749,0.00832,0.113109,0.071653
1,double,uniform,CPU,"Ns | Ns",64,16,0.027904,0,0.03113,0.00672,0.105959,0.065754
1,double,uniform,CPU,"Ns | Ns",64,17,0.03136,0,0.03109,0.008192,0.11011,0.070642
1,double,uniform,CPU,"Ns | Ns",64,18,0.030208,0,0.030979,0.007712,0.108379,0.068899
1,double,uniform,CPU,"Ns | Ns",64,19,0.030976,0,0.03127,0.006112,0.10825,0.068358
1,double,uniform,CPU,"Ns | Ns",64,20,0.031104,0,0.0306,0.005056,0.106869,0.06676
1,double,uniform,CPU,"Ns | Ns",64,21,0.029792,0,0.031169,0.006752,0.107279,0.067713
1,double,uniform,CPU,"Ns | Ns",64,22,0.028352,0,0.0316,0.008288,0.108379,0.06824
1,double,uniform,CPU,"Ns | Ns",64,23,0.030208,0,0.0321,0.006208,0.10847,0.068516
1,double,uniform,CPU,"Ns | Ns",64,24,0.028928,0,0.031179,0.00576,0.106049,0.065867
1,double,uniform,CPU,"Ns | Ns",64,25,0.030304,0,0.03096,0.007904,0.110949,0.069168
1,double,uniform,CPU,"Ns | Ns",64,26,0.031008,0,0.03113,0.006784,0.109569,0.068922
1,double,uniform,CPU,"Ns | Ns",64,27,0.032672,0,0.031699,0.008608,0.120269,0.072979
1,double,uniform,CPU,"Ns | Ns",64,28,0.028896,0,0.02714,0.0072,0.095149,0.063236
1,double,uniform,CPU,"Ns | Ns",64,29,0.032192,0,0.027251,0.010752,0.103329,0.070195
1,double,uniform,CPU,"Ns | Ns",64,30,0.030976,0,0.03104,0.006336,0.107659,0.068352
1,double,uniform,CPU,"Ns | Ns",64,31,0.030784,0,0.0318,0.007488,0.10783,0.070072
1,double,uniform,CPU,"Ns | Ns",64,32,0.028224,0,0.031029,0.00656,0.105609,0.065813
1,double,uniform,CPU,"Ns | Ns",64,33,0.029696,0,0.03084,0.008096,0.109319,0.068632
1,double,uniform,CPU,"Ns | Ns",64,34,0.028608,0,0.03081,0.006944,0.223767,0.066362
1,double,uniform,CPU,"Ns | Ns",64,35,0.029184,0,0.03103,0.008,0.109319,0.068214
1,double,uniform,CPU,"Ns | Ns",64,36,0.029888,0,0.030749,0.006368,0.106509,0.067005
1,double,uniform,CPU,"Ns | Ns",64,37,0.028672,0,0.03166,0.007328,0.108749,0.06766
1,double,uniform,CPU,"Ns | Ns",64,38,0.02992,0,0.03117,0.007328,0.109279,0.068418
1,double,uniform,CPU,"Ns | Ns",64,39,0.029216,0,0.03154,0.00656,0.106819,0.067316
1,double,uniform,CPU,"Ns | Ns",64,40,0.030048,0,0.031119,0.005632,0.109119,0.066799
1,double,uniform,CPU,"Ns | Ns",64,41,0.031712,0,0.03083,0.008704,0.109799,0.071246
1,double,uniform,CPU,"Ns | Ns",64,42,0.032288,0,0.0301,0.009792,0.10549,0.07218
1,double,uniform,CPU,"Ns | Ns",64,43,0.029056,0,0.03156,0.007232,0.107049,0.067848
1,double,uniform,CPU,"Ns | Ns",64,44,0.02992,0,0.030729,0.005312,0.106109,0.065961
1,double,uniform,CPU,"Ns | Ns",64,45,0.031296,0,0.030889,0.007936,0.108589,0.070121
1,double,uniform,CPU,"Ns | Ns",64,46,0.032512,0,0.03082,0.00816,0.114799,0.071492
1,double,uniform,CPU,"Ns | Ns",64,47,0.031424,0,0.03148,0.007616,0.112759,0.07052
1,double,uniform,CPU,"Ns | Ns",64,48,0.02848,0,0.030919,0.007168,0.107249,0.066567
1,double,uniform,CPU,"Ns | Ns",64,49,0.032096,0,0.0319,0.010304,0.114299,0.0743
