dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"N | N | N | N",64,0,184.16,0,0.072169,51.8418,236.17,236.074
2,double,uniform,GPU,"N | N | N | N",64,1,0.020864,0,0.062609,0.010784,0.136569,0.094257
2,double,uniform,GPU,"N | N | N | N",64,2,0.012704,0,0.057669,0.008768,0.113799,0.079141
2,double,uniform,GPU,"N | N | N | N",64,3,0.010592,0,0.05836,0.008544,0.111629,0.077496
2,double,uniform,GPU,"N | N | N | N",64,4,0.011424,0,0.0577,0.008768,0.112058,0.077892
2,double,uniform,GPU,"N | N | N | N",64,5,0.01168,0,0.057639,0.00688,0.113249,0.076199
2,double,uniform,GPU,"N | N | N | N",64,6,0.013248,0,0.05862,0.008992,0.115788,0.08086
2,double,uniform,GPU,"N | N | N | N",64,7,0.013568,0,0.165618,0.008128,0.224158,0.187314
2,double,uniform,GPU,"N | N | N | N",64,8,0.012992,0,0.057939,0.00768,0.113849,0.078611
2,double,uniform,GPU,"N | N | N | N",64,9,0.011904,0,0.05767,0.008544,0.113649,0.078118
2,double,uniform,GPU,"N | N | N | N",64,10,0.013632,0,0.055339,0.010176,0.108479,0.079147
2,double,uniform,GPU,"N | N | N | N",64,11,0.01344,0,0.058579,0.008896,0.115259,0.080915
2,double,uniform,GPU,"N | N | N | N",64,12,0.015872,0,0.05774,0.006624,0.116818,0.080236
2,double,uniform,GPU,"N | N | N | N",64,13,0.01344,0,0.058149,0.007392,0.114359,0.078981
2,double,uniform,GPU,"N | N | N | N",64,14,0.011424,0,0.059179,0.00784,0.115629,0.078443
2,double,uniform,GPU,"N | N | N | N",64,15,0.013408,0,0.057899,0.008096,0.114848,0.079403
2,double,uniform,GPU,"N | N | N | N",64,16,0.0112,0,0.05779,0.008064,0.112628,0.077054
2,double,uniform,GPU,"N | N | N | N",64,17,0.012064,0,0.058269,0.007488,0.113089,0.077821
2,double,uniform,GPU,"N | N | N | N",64,18,0.01392,0,0.057489,0.008864,0.122019,0.080273
2,double,uniform,GPU,"N | N | N | N",64,19,0.011904,0,0.057609,0.007904,0.112279,0.077417
2,double,uniform,GPU,"N | N | N | N",64,20,0.013024,0,0.0576,0.008736,0.115688,0.07936
2,double,uniform,GPU,"N | N | N | N",64,21,0.01184,0,0.058169,0.008512,0.114838,0.078521
2,double,uniform,GPU,"N | N | N | N",64,22,0.01232,0,0.054019,0.010016,0.105799,0.076355
2,double,uniform,GPU,"N | N | N | N",64,23,0.01792,0,0.057869,0.008864,0.119199,0.084653
