dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,0,183.695,0,0.070249,51.6759,235.543,235.442
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,1,0.019232,0,0.057159,0.0128,0.129498,0.089191
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,2,0.01472,0,0.05375,0.008384,0.114849,0.076854
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,3,0.012384,0,0.05283,0.00848,0.109958,0.073694
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,4,0.01168,0,0.053,0.0072,0.108539,0.07188
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,5,0.013056,0,0.052839,0.008544,0.109829,0.074439
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,6,0.014048,0,0.05281,0.007712,0.110279,0.07457
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,7,0.012448,0,0.053519,0.007616,0.109449,0.073583
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,8,0.012224,0,0.053199,0.008256,0.108929,0.073679
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,9,0.013568,0,0.05309,0.007168,0.110169,0.073826
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,10,0.013536,0,0.052789,0.008832,0.109659,0.075157
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,11,0.012704,0,0.05389,0.007392,0.110129,0.073986
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,12,0.010464,0,0.051789,0.009152,0.106089,0.071405
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,13,0.01392,0,0.052779,0.007296,0.109839,0.073995
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,14,0.01328,0,0.05301,0.008608,0.108309,0.074898
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,15,0.014752,0,0.05283,0.007936,0.110229,0.075518
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,16,0.011616,0,0.052659,0.008928,0.107609,0.073203
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,17,0.01408,0,0.05289,0.008512,0.110609,0.075482
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,18,0.01344,0,0.05281,0.008704,0.108628,0.074954
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,19,0.012768,0,0.05305,0.00864,0.110199,0.074458
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,20,0.014368,0,0.052849,0.008672,0.110199,0.075889
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,21,0.012992,0,0.053009,0.008736,0.109329,0.074737
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,22,0.01392,0,0.05255,0.009056,0.110049,0.075526
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,23,0.012832,0,0.052689,0.008192,0.108159,0.073713
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,24,0.093376,0,0.05389,0.008864,0.190308,0.15613
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,25,0.01168,0,0.052799,0.008064,0.107458,0.072543
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,26,0.012096,0,0.052749,0.008896,0.108609,0.073741
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,27,0.013472,0,0.052919,0.009312,0.111059,0.075703
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,28,0.01264,0,0.052879,0.008928,0.109079,0.074447
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,29,0.014112,0,0.05341,0.00832,0.111669,0.075842
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,30,0.012512,0,0.04889,0.010528,0.101019,0.07193
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,31,0.012512,0,0.04929,0.00992,0.100348,0.071722
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,32,0.011904,0,0.053439,0.007872,0.109439,0.073215
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,33,0.014176,0,0.05279,0.006976,0.110249,0.073942
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,34,0.01264,0,0.05261,0.008032,0.108198,0.073282
