dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"P | P | P | P",64,0,0.083168,0,0.077079,209.665,209.928,209.825
2,double,uniform,GPU,"P | P | P | P",64,1,0.014432,0,0.047839,0.017056,0.124219,0.079327
2,double,uniform,GPU,"P | P | P | P",64,2,0.014528,0,0.0454,0.016352,0.117469,0.07628
2,double,uniform,GPU,"P | P | P | P",64,3,0.0136,0,0.04522,0.016928,0.115968,0.075748
2,double,uniform,GPU,"P | P | P | P",64,4,0.013344,0,0.045089,0.017472,0.116059,0.075905
2,double,uniform,GPU,"P | P | P | P",64,5,0.012224,0,0.04529,0.01712,0.115219,0.074634
2,double,uniform,GPU,"P | P | P | P",64,6,0.013344,0,0.046019,0.01504,0.115359,0.074403
2,double,uniform,GPU,"P | P | P | P",64,7,0.016992,0,0.045079,0.01328,0.117409,0.075351
2,double,uniform,GPU,"P | P | P | P",64,8,0.014816,0,0.045569,0.015968,0.118189,0.076353
2,double,uniform,GPU,"P | P | P | P",64,9,0.013408,0,0.045439,0.016864,0.116299,0.075711
2,double,uniform,GPU,"P | P | P | P",64,10,0.012,0,0.04545,0.015424,0.114528,0.072874
2,double,uniform,GPU,"P | P | P | P",64,11,0.013088,0,0.04509,0.016864,0.116259,0.075042
2,double,uniform,GPU,"P | P | P | P",64,12,0.012224,0,0.04244,0.015648,0.106509,0.070312
2,double,uniform,GPU,"P | P | P | P",64,13,0.012992,0,0.041609,0.018272,0.107509,0.072873
2,double,uniform,GPU,"P | P | P | P",64,14,0.01296,0,0.045449,0.015392,0.113909,0.073801
2,double,uniform,GPU,"P | P | P | P",64,15,0.014208,0,0.044859,0.01552,0.115829,0.074587
2,double,uniform,GPU,"P | P | P | P",64,16,0.01328,0,0.045819,0.016448,0.116239,0.075547
2,double,uniform,GPU,"P | P | P | P",64,17,0.01264,0,0.045019,0.015296,0.113878,0.072955
2,double,uniform,GPU,"P | P | P | P",64,18,0.011648,0,0.044799,0.023072,0.120109,0.079519
2,double,uniform,GPU,"P | P | P | P",64,19,0.01264,0,0.050139,0.01552,0.118969,0.078299
2,double,uniform,GPU,"P | P | P | P",64,20,0.011584,0,0.04566,0.016512,0.115689,0.073756
2,double,uniform,GPU,"P | P | P | P",64,21,0.015136,0,0.04531,0.01568,0.123638,0.076126
2,double,uniform,GPU,"P | P | P | P",64,22,0.0136,0,0.04598,0.017184,0.116938,0.076764
2,double,uniform,GPU,"P | P | P | P",64,23,0.012608,0,0.04545,0.018016,0.117029,0.076074
2,double,uniform,GPU,"P | P | P | P",64,24,0.014752,0,0.045479,0.01632,0.120278,0.076551
2,double,uniform,GPU,"P | P | P | P",64,25,0.013216,0,0.04496,0.016096,0.115509,0.074272
2,double,uniform,GPU,"P | P | P | P",64,26,0.012896,0,0.04561,0.015808,0.115438,0.074314
2,double,uniform,GPU,"P | P | P | P",64,27,0.01344,0,0.04565,0.016512,0.116889,0.075602
2,double,uniform,GPU,"P | P | P | P",64,28,0.013248,0,0.04523,0.017184,0.117109,0.075662
2,double,uniform,GPU,"P | P | P | P",64,29,0.011936,0,0.04499,0.0152,0.112649,0.072126
2,double,uniform,GPU,"P | P | P | P",64,30,0.013632,0,0.045339,0.014784,0.113769,0.073755
2,double,uniform,GPU,"P | P | P | P",64,31,0.014208,0,0.04514,0.014976,0.116039,0.074324
