dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"N | N | N | N",64,0,183.49,0,0.073019,51.5462,235.218,235.109
2,double,uniform,CPU,"N | N | N | N",64,1,0.04016,0,0.061159,0.009696,0.154848,0.111015
2,double,uniform,CPU,"N | N | N | N",64,2,0.034336,0,0.05853,0.008512,0.140519,0.101378
2,double,uniform,CPU,"N | N | N | N",64,3,0.035104,0,0.05789,0.009472,0.143059,0.102466
2,double,uniform,CPU,"N | N | N | N",64,4,0.04048,0,0.05771,0.007392,0.146698,0.105582
2,double,uniform,CPU,"N | N | N | N",64,5,0.035904,0,0.05827,0.009536,0.142189,0.10371
2,double,uniform,CPU,"N | N | N | N",64,6,0.036928,0,0.0589,0.007904,0.143728,0.103732
2,double,uniform,CPU,"N | N | N | N",64,7,0.034528,0,0.05471,0.009824,0.131289,0.099062
2,double,uniform,CPU,"N | N | N | N",64,8,0.03712,0,0.05825,0.006592,0.143249,0.101962
2,double,uniform,CPU,"N | N | N | N",64,9,0.035936,0,0.0587,0.008064,0.144559,0.1027
2,double,uniform,CPU,"N | N | N | N",64,10,0.039136,0,0.170279,0.00848,0.259228,0.217895
2,double,uniform,CPU,"N | N | N | N",64,11,0.03392,0,0.058229,0.007072,0.139449,0.099221
2,double,uniform,CPU,"N | N | N | N",64,12,0.037376,0,0.05833,0.008608,0.146799,0.104314
2,double,uniform,CPU,"N | N | N | N",64,13,0.037024,0,0.05818,0.007808,0.143359,0.103012
2,double,uniform,CPU,"N | N | N | N",64,14,0.031456,0,0.05519,0.009632,0.133579,0.096278
2,double,uniform,CPU,"N | N | N | N",64,15,0.037856,0,0.124669,0.007456,0.210258,0.169981
2,double,uniform,CPU,"N | N | N | N",64,16,0.03632,0,0.05894,0.00848,0.143608,0.10374
2,double,uniform,CPU,"N | N | N | N",64,17,0.034912,0,0.05849,0.01088,0.145078,0.104282
2,double,uniform,CPU,"N | N | N | N",64,18,0.035808,0,0.05849,0.00896,0.141538,0.103258
2,double,uniform,CPU,"N | N | N | N",64,19,0.034752,0,0.05805,0.007936,0.141258,0.100738
2,double,uniform,CPU,"N | N | N | N",64,20,0.034912,0,0.05863,0.008768,0.142098,0.10231
2,double,uniform,CPU,"N | N | N | N",64,21,0.039168,0,0.05876,0.008832,0.147108,0.10676
2,double,uniform,CPU,"N | N | N | N",64,22,0.037248,0,0.058489,0.006688,0.142879,0.102425
2,double,uniform,CPU,"N | N | N | N",64,23,0.037216,0,0.05793,0.006848,0.143989,0.101994
2,double,uniform,CPU,"N | N | N | N",64,24,0.038976,0,0.058039,0.008224,0.144279,0.105239
