dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,0,183.298,0.003,0.100199,68.3722,455.025,251.773
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,1,0.01024,0.0021,0.071149,0.05952,0.356157,0.143009
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,2,0.009696,0.00156,0.069738,0.059936,0.356436,0.14093
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,3,0.014784,0.001609,0.069129,0.06016,0.359286,0.145682
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,4,0.016576,0.00177,0.070399,0.059168,0.361566,0.147913
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,5,0.015328,0.00183,0.06915,0.059072,0.359696,0.14538
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,6,0.016192,0.00159,0.06964,0.058432,0.360496,0.145854
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,7,0.00864,0.00203,0.069839,0.059872,0.437246,0.140381
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,8,0.007968,0.00154,0.06914,0.057344,0.349266,0.135992
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,9,0.016352,0.00189,0.069888,0.058112,0.360976,0.146242
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,10,0.017152,0.00172,0.069399,0.060448,0.359086,0.148719
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,11,0.009408,0.00154,0.066209,0.05904,0.347037,0.136197
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,12,0.015168,0.00153,0.06929,0.059616,0.359756,0.145604
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,13,0.01552,0.0016,0.06926,0.057856,0.343146,0.144236
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,14,0.015296,0.001689,0.069689,0.058368,0.357777,0.145042
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,15,0.014464,0.00156,0.068788,0.059584,0.356686,0.144396
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,16,0.016864,0.00151,0.06748,0.059296,0.352786,0.14515
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,17,0.016864,0.001541,0.06779,0.059968,0.353666,0.146163
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,18,0.008608,0.001761,0.06979,0.057376,0.468035,0.137535
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,19,0.015424,0.00159,0.069028,0.06032,0.358586,0.146362
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,20,0.010368,0.001821,0.0696,0.058944,0.354736,0.140733
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,21,0.016768,0.00154,0.068788,0.059456,0.359036,0.146552
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,22,0.016544,0.00172,0.069238,0.05936,0.358887,0.146862
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,23,0.015552,0.00149,0.06922,0.060096,0.356387,0.146358
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,24,0.014912,0.001701,0.069159,0.06,0.359306,0.145772
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,25,0.016352,0.00163,0.06967,0.059552,0.360756,0.147204
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,26,0.008224,0.001509,0.069048,0.058944,0.350427,0.137725
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,27,0.014368,0.00167,0.069898,0.060448,0.358956,0.146384
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,28,0.014976,0.001789,0.06967,0.060224,0.359206,0.146659
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,29,0.017504,0.001659,0.069458,0.059392,0.362006,0.148013
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,30,0.016352,0.00165,0.06995,0.057216,0.359386,0.145168
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,31,0.009344,0.00204,0.07069,0.060576,0.356086,0.14265
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,32,0.009472,0.001609,0.069019,0.058784,0.352457,0.138884
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,33,0.015872,0.001569,0.069969,0.059648,0.360377,0.147058
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,34,0.01072,0.00158,0.065529,0.060832,0.345597,0.138661
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,35,0.008896,0.001781,0.069578,0.059776,0.355247,0.140031
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,36,0.017184,0.001741,0.06899,0.05872,0.361006,0.146635
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,37,0.009632,0.00146,0.151329,0.060128,0.434805,0.222549
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,38,0.014848,0.001671,0.06984,0.059232,0.358886,0.145591
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,39,0.017344,0.00159,0.069058,0.056896,0.358656,0.144888
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,40,0.01568,0.001521,0.069449,0.057376,0.356227,0.144026
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,41,0.015904,0.00155,0.06945,0.059072,0.357716,0.145976
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,42,0.016608,0.001659,0.069229,0.059136,0.358996,0.146632
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,43,0.016,0.00183,0.069078,0.059648,0.361246,0.146556
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,44,0.017248,0.00161,0.07035,0.060736,0.361986,0.149944
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,45,0.01648,0.001869,0.069418,0.059296,0.360946,0.147063
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,46,0.016768,0.00156,0.06945,0.058176,0.360286,0.145954
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,47,0.016768,0.00158,0.069289,0.05776,0.359136,0.145397
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,48,0.01552,0.00164,0.068829,0.059328,0.358986,0.145317
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,49,0.008512,0.00155,0.06964,0.058784,0.352066,0.138486
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,50,0.014816,0.00154,0.069449,0.058816,0.359056,0.144621
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,51,0.015648,0.00158,0.070138,0.057664,0.356857,0.14503
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,52,0.015136,0.001551,0.069078,0.05776,0.358616,0.143525
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,53,0.015712,0.0016,0.07282,0.05888,0.363036,0.149012
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,54,0.014912,0.00156,0.06933,0.05824,0.357976,0.144042
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,55,0.008992,0.002571,0.07107,0.060128,0.357046,0.142761
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,56,0.015072,0.00156,0.068739,0.057504,0.356326,0.142875
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,57,0.013856,0.00169,0.068929,0.06016,0.354186,0.144635
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,58,0.009152,0.0016,0.068789,0.058944,0.352197,0.138485
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,59,0.00832,0.00192,0.0688,0.057632,0.351766,0.136672
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,60,0.014496,0.00179,0.06917,0.056864,0.357066,0.14232
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,61,0.017728,0.00183,0.065109,0.060864,0.353036,0.145531
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,62,0.014688,0.001531,0.068518,0.056608,0.354766,0.141345
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,63,0.014848,0.0016,0.06868,0.057664,0.360716,0.142792
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,64,0.013408,0.00151,0.06897,0.058944,0.356646,0.142832
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,65,0.015104,0.00163,0.069428,0.057984,0.356266,0.144146
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,66,0.009408,0.00166,0.069029,0.059616,0.352227,0.139713
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,67,0.013376,0.00171,0.06889,0.059392,0.356566,0.143368
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,68,0.015136,0.00167,0.0693,0.059264,0.359696,0.14537
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,69,0.01552,0.001719,0.068889,0.05904,0.359016,0.145168
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,70,0.008192,0.001579,0.068889,0.059264,0.352546,0.137924
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,71,0.014592,0.001541,0.068679,0.058592,0.355996,0.143404
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,72,0.015072,0.0015,0.06884,0.05936,0.358596,0.144772
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,73,0.017504,0.00154,0.06556,0.06128,0.349526,0.145884
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",64,74,0.008096,0.00161,0.06552,0.060384,0.341816,0.13561
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,0,0.035264,0.00236,0.325198,0.117248,0.846311,0.48007
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,1,0.019872,0.001711,0.321437,0.111584,0.820251,0.454604
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,2,0.021152,0.00175,0.321826,0.112864,0.825781,0.457592
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,3,0.022848,0.00191,0.320786,0.107168,0.816431,0.452712
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,4,0.021376,0.001939,0.320056,0.112128,0.814371,0.455499
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,5,0.022176,0.00186,0.321758,0.111456,0.821372,0.45725
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,6,0.023584,0.001779,0.320546,0.111744,0.822331,0.457653
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,7,0.020288,0.001821,0.320896,0.109696,0.817781,0.452701
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,8,0.028672,0.00166,0.320896,0.110944,0.826391,0.462172
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,9,0.021664,0.00208,0.319707,0.109984,0.814231,0.453435
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,10,0.01936,0.00236,0.320826,0.11168,0.818562,0.454226
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,11,0.037216,0.002291,0.324836,0.11728,0.848171,0.481623
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,12,0.019552,0.001839,0.319607,0.11248,0.814381,0.453478
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,13,0.018976,0.001781,0.321666,0.112128,0.819221,0.454551
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,14,0.021088,0.00159,0.320876,0.112768,0.820731,0.456322
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,15,0.019232,0.001759,0.321736,0.111136,0.819201,0.453863
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,16,0.019936,0.00173,0.321587,0.11136,0.819931,0.454613
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,17,0.019136,0.0019,0.322417,0.11056,0.820211,0.454013
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,18,0.02144,0.002011,0.320647,0.11136,0.819402,0.455458
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,19,0.021184,0.00197,0.320726,0.110144,0.818441,0.454024
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,20,0.021632,0.00159,0.319508,0.111872,0.818332,0.454602
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,21,0.021472,0.00196,0.321118,0.110752,0.820582,0.455302
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,22,0.036576,0.00223,0.321256,0.116256,0.833871,0.476318
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,23,0.036704,0.0022,0.326076,0.115392,0.850001,0.480372
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,24,0.019296,0.001751,0.321287,0.112256,0.818832,0.45459
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,25,0.018848,0.001931,0.318808,0.111936,0.812522,0.451523
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,26,0.020064,0.00199,0.321718,0.109184,0.818892,0.452956
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,27,0.021952,0.00199,0.322236,0.113568,0.826232,0.459746
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,28,0.019616,0.00178,0.321146,0.113056,0.820641,0.455598
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,29,0.022208,0.00169,0.320698,0.111904,0.821672,0.4565
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,30,0.021792,0.00164,0.320856,0.110752,0.818081,0.45504
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,31,0.020128,0.00214,0.321016,0.120896,0.828931,0.46418
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,32,0.019072,0.001842,0.319926,0.110912,0.816701,0.451752
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,33,0.021376,0.00165,0.321126,0.11104,0.819201,0.455192
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,34,0.022368,0.001649,0.321817,0.111552,0.822631,0.457386
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,35,0.018432,0.00155,0.321036,0.110752,0.816501,0.45177
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,36,0.035488,0.002259,0.325807,0.116416,0.846072,0.47997
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,37,0.019392,0.00167,0.321028,0.115648,0.822412,0.457738
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,38,0.019264,0.00217,0.321096,0.110208,0.818551,0.452738
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,39,0.019488,0.00207,0.321496,0.112768,0.820341,0.455822
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,40,0.028928,0.00167,0.320946,0.112224,0.828631,0.463768
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,41,0.019616,0.001671,0.320978,0.112448,0.818322,0.454713
