dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",64,0,0.073824,0.0025,0.228217,202.379,202.783,202.683
3,double,uniform,GPU,"D | D | D | D | N | D",64,1,0.011264,0.00168,0.193238,0.018624,0.279886,0.224806
3,double,uniform,GPU,"D | D | D | D | N | D",64,2,0.014304,0.00151,0.188179,0.015328,0.274788,0.219321
3,double,uniform,GPU,"D | D | D | D | N | D",64,3,0.012992,0.001461,0.188638,0.016128,0.273967,0.219219
3,double,uniform,GPU,"D | D | D | D | N | D",64,4,0.01328,0.00146,0.187817,0.016768,0.274277,0.219325
3,double,uniform,GPU,"D | D | D | D | N | D",64,5,0.02128,0.00146,0.188228,0.016032,0.281486,0.227
3,double,uniform,GPU,"D | D | D | D | N | D",64,6,0.020256,0.001489,0.188827,0.014368,0.280637,0.22494
3,double,uniform,GPU,"D | D | D | D | N | D",64,7,0.021856,0.001469,0.189089,0.01824,0.285527,0.230654
3,double,uniform,GPU,"D | D | D | D | N | D",64,8,0.020576,0.001469,0.188738,0.016352,0.280767,0.227135
3,double,uniform,GPU,"D | D | D | D | N | D",64,9,0.02016,0.00144,0.188017,0.01584,0.279807,0.225457
3,double,uniform,GPU,"D | D | D | D | N | D",64,10,0.02224,0.001478,0.187559,0.015328,0.280237,0.226605
3,double,uniform,GPU,"D | D | D | D | N | D",64,11,0.022112,0.001441,0.188368,0.017824,0.284668,0.229745
3,double,uniform,GPU,"D | D | D | D | N | D",64,12,0.02352,0.00141,0.188269,0.01584,0.285247,0.229039
3,double,uniform,GPU,"D | D | D | D | N | D",64,13,0.012,0.00159,0.187708,0.014976,0.270867,0.216274
3,double,uniform,GPU,"D | D | D | D | N | D",64,14,0.02224,0.001549,0.186878,0.015968,0.281377,0.226635
3,double,uniform,GPU,"D | D | D | D | N | D",64,15,0.02256,0.001621,0.181307,0.017792,0.271707,0.22328
3,double,uniform,GPU,"D | D | D | D | N | D",64,16,0.014688,0.00142,0.182377,0.019104,0.265667,0.217589
3,double,uniform,GPU,"D | D | D | D | N | D",64,17,0.013088,0.00136,0.188198,0.016896,0.272087,0.219542
3,double,uniform,GPU,"D | D | D | D | N | D",64,18,0.020032,0.00139,0.187288,0.01584,0.279807,0.22455
3,double,uniform,GPU,"D | D | D | D | N | D",64,19,0.020224,0.001439,0.188498,0.017312,0.282417,0.227473
3,double,uniform,GPU,"D | D | D | D | N | D",64,20,0.020896,0.001421,0.187299,0.016608,0.280097,0.226224
3,double,uniform,GPU,"D | D | D | D | N | D",64,21,0.021024,0.00144,0.195898,0.015488,0.287767,0.23385
3,double,uniform,GPU,"D | D | D | D | N | D",64,22,0.019936,0.00143,0.189487,0.016032,0.279087,0.226885
3,double,uniform,GPU,"D | D | D | D | N | D",64,23,0.012032,0.001541,0.189417,0.016832,0.273147,0.219822
3,double,uniform,GPU,"D | D | D | D | N | D",64,24,0.021088,0.001391,0.187088,0.016544,0.280077,0.226111
3,double,uniform,GPU,"D | D | D | D | N | D",64,25,0.021376,0.00142,0.188708,0.01504,0.280917,0.226544
3,double,uniform,GPU,"D | D | D | D | N | D",64,26,0.020832,0.00141,0.187359,0.014304,0.278917,0.223905
3,double,uniform,GPU,"D | D | D | D | N | D",64,27,0.013248,0.001391,0.188408,0.017888,0.274647,0.220935
3,double,uniform,GPU,"D | D | D | D | N | D",64,28,0.02288,0.00155,0.188138,0.015904,0.283546,0.228472
3,double,uniform,GPU,"D | D | D | D | N | D",64,29,0.020896,0.001401,0.188429,0.01616,0.281157,0.226886
3,double,uniform,GPU,"D | D | D | D | N | D",64,30,0.02128,0.001419,0.188138,0.015104,0.280397,0.225941
3,double,uniform,GPU,"D | D | D | D | N | D",64,31,0.021312,0.00144,0.188799,0.016224,0.282406,0.227775
3,double,uniform,GPU,"D | D | D | D | N | D",64,32,0.021856,0.001549,0.188698,0.015552,0.280936,0.227655
3,double,uniform,GPU,"D | D | D | D | N | D",64,33,0.021312,0.00146,0.188057,0.016544,0.281477,0.227373
3,double,uniform,GPU,"D | D | D | D | N | D",64,34,0.02128,0.00145,0.187768,0.013952,0.279847,0.22445
3,double,uniform,GPU,"D | D | D | D | N | D",64,35,0.020352,0.00145,0.192167,0.017952,0.286337,0.231921
3,double,uniform,GPU,"D | D | D | D | N | D",64,36,0.022592,0.001439,0.187638,0.016672,0.282287,0.228341
3,double,uniform,GPU,"D | D | D | D | N | D",64,37,0.014624,0.00157,0.188029,0.021952,0.287097,0.226175
3,double,uniform,GPU,"D | D | D | D | N | D",64,38,0.0216,0.001439,0.186969,0.01456,0.278907,0.224568
3,double,uniform,GPU,"D | D | D | D | N | D",64,39,0.021888,0.001619,0.189138,0.016032,0.283557,0.228677
3,double,uniform,GPU,"D | D | D | D | N | D",64,40,0.014496,0.00152,0.188338,0.016352,0.274437,0.220706
3,double,uniform,GPU,"D | D | D | D | N | D",64,41,0.017408,0.001409,0.188838,0.017376,0.280457,0.225031
3,double,uniform,GPU,"D | D | D | D | N | D",64,42,0.015936,0.00145,0.187808,0.014464,0.274748,0.219658
3,double,uniform,GPU,"D | D | D | D | N | D",64,43,0.01952,0.001431,0.18894,0.015712,0.279967,0.225603
3,double,uniform,GPU,"D | D | D | D | N | D",64,44,0.019648,0.00144,0.188168,0.017024,0.287577,0.22628
3,double,uniform,GPU,"D | D | D | D | N | D",64,45,0.012544,0.00141,0.188017,0.014848,0.265187,0.216819
3,double,uniform,GPU,"D | D | D | D | N | D",64,46,0.01088,0.00148,0.184567,0.015968,0.263367,0.212895
3,double,uniform,GPU,"D | D | D | D | N | D",64,47,0.021312,0.00146,0.188547,0.026208,0.290377,0.237527
3,double,uniform,GPU,"D | D | D | D | N | D",64,48,0.020736,0.001419,0.187308,0.017056,0.280777,0.226519
3,double,uniform,GPU,"D | D | D | D | N | D",64,49,0.021408,0.001481,0.189189,0.01568,0.281457,0.227758
3,double,uniform,GPU,"D | D | D | D | N | D",64,50,0.021056,0.00142,0.188648,0.016064,0.281347,0.227188
