dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,184.555,0,0.11549,52.1141,236.882,236.785
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,0.009216,0,0.107348,0.01712,0.186878,0.133684
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,0.008928,0,0.103258,0.014176,0.180468,0.126362
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,0.016512,0,0.102709,0.013056,0.187128,0.132277
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,0.01472,0,0.102999,0.013568,0.184509,0.131287
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,0.015232,0,0.102988,0.013856,0.185558,0.132076
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,0.015968,0,0.103618,0.014272,0.187888,0.133858
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,0.01536,0,0.103179,0.013696,0.187288,0.132235
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,0.009184,0,0.103448,0.01376,0.179248,0.126392
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,0.00944,0,0.102998,0.014496,0.180088,0.126934
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,0.009376,0,0.1038,0.013856,0.180658,0.127032
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,0.0144,0,0.102789,0.014688,0.186558,0.131877
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,0.01472,0,0.103219,0.015264,0.186598,0.133203
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,0.016832,0,0.09971,0.016256,0.178139,0.132798
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,0.010016,0,0.103418,0.014368,0.264147,0.127802
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,15,0.015328,0,0.103679,0.014112,0.187538,0.133119
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,16,0.016448,0,0.104058,0.014816,0.188918,0.135322
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,17,0.015808,0,0.103758,0.01392,0.193108,0.133486
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,18,0.014368,0,0.10236,0.015648,0.183378,0.132376
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,19,0.016608,0,0.102858,0.01792,0.189028,0.137386
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,20,0.016032,0,0.103389,0.013984,0.186938,0.133405
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,21,0.009504,0,0.102839,0.01328,0.179208,0.125623
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,22,0.009472,0,0.103499,0.014272,0.180978,0.127243
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,23,0.017024,0,0.102798,0.012224,0.185828,0.132046
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,24,0.016608,0,0.103909,0.013952,0.189008,0.134469
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,25,0.016224,0,0.10326,0.013536,0.187378,0.13302
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,26,0.015616,0,0.103018,0.014272,0.187778,0.132906
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,27,0.014912,0,0.102969,0.014656,0.186349,0.132537
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,28,0.00912,0,0.10313,0.013504,0.179838,0.125754
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,29,0.015904,0,0.10315,0.013152,0.186328,0.132206
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,30,0.01616,0,0.103218,0.015808,0.186598,0.135186
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,31,0.014752,0,0.104039,0.015392,0.186108,0.134183
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,32,0.01632,0,0.103149,0.013504,0.186738,0.132973
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,33,0.01664,0,0.10317,0.014016,0.186869,0.133826
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,34,0.008384,0,0.10355,0.014112,0.181109,0.126046
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,35,0.008352,0,0.103588,0.018656,0.184348,0.130596
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,36,0.008672,0,0.103459,0.014976,0.180378,0.127107
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,37,0.014592,0,0.102759,0.01408,0.185608,0.131431
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,38,0.015968,0,0.103299,0.013728,0.186518,0.132995
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,39,0.009568,0,0.103589,0.012672,0.180158,0.125829
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,40,0.00928,0,0.103689,0.013024,0.179898,0.125993
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,41,0.015712,0,0.104049,0.014272,0.188168,0.134033
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,42,0.014528,0,0.10311,0.013664,0.185438,0.131302
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,43,0.015744,0,0.101458,0.015136,0.184088,0.132338
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,44,0.015264,0,0.103939,0.016224,0.188358,0.135427
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,45,0.01136,0,0.103268,0.013312,0.182828,0.12794
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,46,0.015744,0,0.103059,0.01408,0.184458,0.132883
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,47,0.0096,0,0.103019,0.013792,0.181268,0.126411
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,48,0.015168,0,0.103829,0.012736,0.186348,0.131733
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,49,0.014784,0,0.10404,0.01344,0.186738,0.132264
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,50,0.00896,0,0.102548,0.013504,0.178608,0.125012
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,51,0.01616,0,0.102859,0.013024,0.185118,0.132043
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,52,0.01536,0,0.103,0.014176,0.187228,0.132536
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,53,0.112032,0,0.102599,0.013184,0.281137,0.227815
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,54,0.016224,0,0.103159,0.013632,0.186138,0.133015
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,55,0.0152,0,0.10288,0.013088,0.184838,0.131168
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,56,0.015808,0,0.102999,0.013536,0.183888,0.132343
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,57,0.017856,0,0.103329,0.014816,0.190067,0.136001
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,58,0.01584,0,0.103098,0.01216,0.185688,0.131098
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,59,0.01584,0,0.103229,0.01472,0.187148,0.133789
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,60,0.014432,0,0.100298,0.017184,0.177928,0.131914
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,61,0.008256,0,0.102969,0.013184,0.179178,0.124409
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,62,0.015712,0,0.10283,0.014944,0.186498,0.133486
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,63,0.014368,0,0.102839,0.014496,0.185078,0.131703
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,64,0.015584,0,0.102918,0.01216,0.185038,0.130662
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,65,0.00944,0,0.103058,0.012704,0.178308,0.125202
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,66,0.017344,0,0.10454,0.015104,0.186538,0.136988
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,67,0.014368,0,0.102038,0.017792,0.187458,0.134198
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,68,0.01728,0,0.103409,0.015872,0.188727,0.136561
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,69,0.01536,0,0.103219,0.013792,0.331196,0.132371
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,70,0.00944,0,0.103098,0.013088,0.179988,0.125626
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,71,0.016032,0,0.103229,0.013248,0.186748,0.132509
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,72,0.009856,0,0.102938,0.015264,0.182138,0.128058
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,73,0.008288,0,0.099129,0.016768,0.173058,0.124185
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,74,0.016096,0,0.10319,0.014048,0.186658,0.133334
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,0.034848,0,0.512425,0.062976,0.664413,0.610249
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,0.020928,0,0.507544,0.05984,0.639283,0.588312
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,0.021312,0,0.508844,0.05936,0.642814,0.589516
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,0.022656,0,0.509924,0.06032,0.646163,0.5929
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,0.023552,0,0.509624,0.059456,0.646133,0.592632
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,0.021088,0,0.510644,0.060992,0.647373,0.592724
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,0.021344,0,0.510224,0.060256,0.645743,0.591824
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,0.019712,0,0.506234,0.060896,0.632283,0.586842
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,0.019776,0,0.509554,0.057664,0.641493,0.586994
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,0.022944,0,0.509504,0.058784,0.645933,0.591232
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,0.020736,0,0.510695,0.058464,0.643813,0.589895
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,0.021088,0,0.509355,0.060256,0.644603,0.590699
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,0.02096,0,0.509164,0.0568,0.640073,0.586924
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,0.02048,0,0.508964,0.058464,0.641634,0.587908
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,0.022848,0,0.509145,0.060864,0.646334,0.592857
