dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,185.332,0.00265,0.126908,52.1611,237.726,237.623
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,0.009312,0.0017,0.110468,0.01664,0.191398,0.13812
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,0.008512,0.00141,0.108679,0.015776,0.188738,0.134377
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,0.014464,0.00153,0.10761,0.013824,0.192778,0.137428
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,0.016864,0.00129,0.10837,0.014464,0.195478,0.140988
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,0.0168,0.00134,0.10746,0.01456,0.194418,0.14016
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,0.016544,0.0014,0.107908,0.0144,0.194758,0.140252
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,0.014304,0.001369,0.108478,0.01328,0.194288,0.137431
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,0.01664,0.001379,0.107899,0.015264,0.194578,0.141182
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,0.008864,0.001409,0.10801,0.015392,0.187318,0.133675
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,0.014016,0.00153,0.10787,0.01552,0.193087,0.138936
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,0.008896,0.00145,0.107698,0.014304,0.187738,0.132348
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,0.016,0.001339,0.107689,0.01504,0.193798,0.140068
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,0.01472,0.00145,0.103428,0.016576,0.185568,0.136174
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,0.008064,0.00147,0.114558,0.016192,0.194498,0.140284
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,0.009888,0.00134,0.10727,0.014304,0.188289,0.132802
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,0.015552,0.001389,0.109209,0.014848,0.195378,0.140998
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,17,0.01632,0.001372,0.106669,0.015168,0.193028,0.139529
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,18,0.017504,0.00146,0.108498,0.014784,0.198148,0.142246
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,19,0.014912,0.00137,0.108449,0.01408,0.194047,0.138811
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,20,0.015552,0.00133,0.1086,0.014432,0.195169,0.139914
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,21,0.01712,0.001409,0.107749,0.015136,0.195358,0.141414
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,22,0.008192,0.001411,0.108129,0.013856,0.185228,0.131588
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,23,0.015584,0.001329,0.107558,0.013952,0.192528,0.138423
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,24,0.017408,0.00139,0.108629,0.015232,0.202189,0.142659
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,25,0.018144,0.001561,0.100179,0.015904,0.181838,0.135788
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,26,0.015648,0.00144,0.108379,0.014624,0.194148,0.140091
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,27,0.00928,0.0015,0.10781,0.013664,0.188827,0.132254
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,28,0.015936,0.001419,0.108588,0.01536,0.195548,0.141303
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,29,0.01504,0.0013,0.112519,0.013792,0.198498,0.142651
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,30,0.01648,0.0014,0.103909,0.01344,0.186778,0.135229
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,31,0.018656,0.00138,0.100759,0.015616,0.184508,0.136411
