dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,0,0.074496,0.00276,0.165247,218.228,218.58,218.471
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,1,0.014048,0.0017,0.124329,0.026784,0.238558,0.166861
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.014752,0.00152,0.121669,0.021728,0.222707,0.159669
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,3,0.020992,0.001589,0.121618,0.022784,0.232258,0.166983
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.02,0.0015,0.121318,0.023264,0.229198,0.166082
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.014112,0.001511,0.121029,0.024128,0.223838,0.16078
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.020864,0.00143,0.121349,0.02256,0.232148,0.166203
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.021696,0.001511,0.12074,0.023296,0.230617,0.167243
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,8,0.021632,0.001479,0.121308,0.021632,0.229957,0.166051
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,9,0.01184,0.001501,0.121848,0.023584,0.222818,0.158773
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.019936,0.00148,0.120988,0.023904,0.232528,0.166308
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.021376,0.00154,0.121549,0.021504,0.229727,0.165969
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,12,0.014432,0.00171,0.121528,0.020928,0.221388,0.158598
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,13,0.013184,0.001481,0.121159,0.021824,0.220687,0.157648
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.01392,0.001639,0.121838,0.023296,0.224077,0.160693
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.019072,0.00145,0.115078,0.024928,0.215008,0.160528
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.021184,0.00155,0.120898,0.021824,0.227987,0.165456
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.013472,0.00158,0.12135,0.023296,0.223278,0.159698
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,18,0.013728,0.00148,0.121609,0.022784,0.222647,0.159601
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,19,0.022112,0.00146,0.121378,0.022912,0.231827,0.167862
