dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,0,0.072768,0.002721,0.152899,215.76,216.097,215.988
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,1,0.013184,0.00166,0.119718,0.023008,0.227098,0.15757
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,2,0.01136,0.00173,0.115078,0.023968,0.214968,0.152136
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,3,0.013376,0.001509,0.115769,0.02464,0.217118,0.155294
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,4,0.012448,0.00158,0.116668,0.02384,0.217258,0.154536
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,5,0.02048,0.001558,0.115829,0.024672,0.224218,0.162539
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,6,0.013952,0.001581,0.116718,0.022368,0.215978,0.154619
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,7,0.021472,0.00158,0.116408,0.02608,0.227468,0.16554
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,8,0.017024,0.001439,0.116909,0.022656,0.311087,0.158028
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,9,0.01408,0.00151,0.11653,0.022336,0.216648,0.154456
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,10,0.021344,0.00166,0.116058,0.024928,0.226008,0.16399
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,11,0.013632,0.0016,0.116678,0.022432,0.217588,0.154342
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,12,0.013472,0.001692,0.116118,0.021344,0.217188,0.152626
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,13,0.019712,0.00147,0.108489,0.025856,0.208828,0.155527
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,14,0.0208,0.00163,0.114689,0.021984,0.222577,0.159103
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,15,0.020416,0.00157,0.116089,0.02272,0.223867,0.160795
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,16,0.021536,0.00157,0.115568,0.021792,0.223987,0.160466
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,17,0.020864,0.001529,0.116099,0.021664,0.222627,0.160156
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,18,0.01184,0.00157,0.115958,0.024544,0.217818,0.153912
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,19,0.014208,0.00168,0.117179,0.02624,0.222218,0.159307
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,20,0.019232,0.001601,0.11752,0.023232,0.222998,0.161585
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,21,0.02352,0.00204,0.116278,0.026208,0.231218,0.168046
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,22,0.021696,0.00176,0.115948,0.024256,0.225088,0.16366
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,23,0.013536,0.00162,0.116198,0.023136,0.219317,0.15449
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,24,0.014272,0.001731,0.116098,0.022272,0.217108,0.154373
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,25,0.01376,0.001529,0.115589,0.024032,0.216567,0.15491
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,26,0.020416,0.0016,0.115088,0.022784,0.223117,0.159888
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,27,0.013824,0.00156,0.116469,0.023008,0.217627,0.154861
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,28,0.0216,0.00157,0.115518,0.021216,0.223297,0.159904
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",64,29,0.012064,0.00155,0.116108,0.022624,0.217617,0.152346
