dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,186.208,0.00338,0.087349,51.2685,441.853,237.567
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.257184,0.001859,0.071279,0.03584,0.503374,0.366162
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.245984,0.00166,0.067669,0.035392,0.482945,0.350705
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.252352,0.00163,0.068499,0.035872,0.488734,0.358353
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.23568,0.00171,0.067609,0.034048,0.470886,0.339047
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.238944,0.00162,0.06776,0.0352,0.476265,0.343524
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.239776,0.00174,0.067659,0.03472,0.474155,0.343895
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.2408,0.001491,0.067408,0.034496,0.477395,0.344195
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.231136,0.00178,0.06492,0.036256,0.455925,0.334092
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.23696,0.001861,0.067479,0.035904,0.474625,0.342204
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.240864,0.00156,0.067459,0.034624,0.475235,0.344507
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.238688,0.001659,0.067569,0.035072,0.471425,0.342988
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.240192,0.00164,0.067179,0.03504,0.474215,0.344051
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.235328,0.00146,0.064389,0.035776,0.462315,0.336953
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.23648,0.00162,0.067429,0.034816,0.470825,0.340345
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.237152,0.00173,0.067169,0.035584,0.473485,0.341635
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.241408,0.00167,0.067088,0.034688,0.476575,0.344854
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.24272,0.00155,0.067819,0.035584,0.479125,0.347673
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.245952,0.001639,0.067609,0.035008,0.479495,0.350208
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.232128,0.001581,0.06774,0.034976,0.467175,0.336425
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,0.23776,0.001579,0.06786,0.034592,0.473245,0.341791
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,0.242432,0.00162,0.067729,0.03568,0.478825,0.347461
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,0.239296,0.00158,0.068149,0.034688,0.574094,0.343713
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,0.234176,0.00166,0.06739,0.035296,0.469485,0.338522
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,0.249632,0.00156,0.068129,0.035776,0.483634,0.355097
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,0.243488,0.00174,0.067789,0.03488,0.481966,0.347897
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,0.236,0.00169,0.067759,0.033984,0.470705,0.339433
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,27,0.235808,0.001669,0.068129,0.035744,0.473175,0.34135
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,28,0.239904,0.0016,0.06735,0.035648,0.475665,0.344502
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,29,0.243296,0.001691,0.068049,0.035424,0.479755,0.34846
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,30,0.238048,0.00167,0.067489,0.0344,0.474315,0.341607
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,31,0.419552,0.00164,0.067719,0.035648,0.656243,0.524559
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,32,0.238976,0.00178,0.06892,0.035712,0.596574,0.345388
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,33,0.24048,0.00167,0.067479,0.035616,0.477695,0.345245
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,34,0.238784,0.00165,0.067859,0.035168,0.472445,0.343461
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,35,0.239488,0.0018,0.068329,0.034912,0.474824,0.344529
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,36,0.239296,0.001661,0.068079,0.035104,0.474685,0.34414
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,37,0.245472,0.00184,0.067179,0.035456,0.480815,0.349947
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,38,0.247232,0.0017,0.06739,0.035456,0.482484,0.351778
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,39,0.23696,0.001729,0.067039,0.035808,0.473025,0.341536
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,40,0.239072,0.0016,0.067529,0.03472,0.473785,0.342921
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,41,0.239392,0.00171,0.068719,0.034976,0.473644,0.344797
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,42,0.236448,0.001709,0.149799,0.035264,0.553474,0.42322
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,43,0.240416,0.00153,0.067548,0.036928,0.475865,0.346422
