dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",64,0,185.556,0,0.234067,51.9653,237.863,237.755
3,double,uniform,CPU,"D | D | D | D | D | D",64,1,0.258528,0,0.225558,0.018752,0.561366,0.502838
3,double,uniform,CPU,"D | D | D | D | D | D",64,2,0.23344,0,0.220617,0.014624,0.515055,0.468681
3,double,uniform,CPU,"D | D | D | D | D | D",64,3,0.246624,0,0.220777,0.015456,0.528075,0.482857
3,double,uniform,CPU,"D | D | D | D | D | D",64,4,0.251328,0,0.221628,0.014816,0.533015,0.487772
3,double,uniform,CPU,"D | D | D | D | D | D",64,5,0.237888,0,0.221478,0.0136,0.518745,0.472966
3,double,uniform,CPU,"D | D | D | D | D | D",64,6,0.239744,0,0.236378,0.01536,0.536415,0.491482
3,double,uniform,CPU,"D | D | D | D | D | D",64,7,0.236,0,0.221438,0.015648,0.516596,0.473086
3,double,uniform,CPU,"D | D | D | D | D | D",64,8,0.235232,0,0.224378,0.0152,0.516365,0.47481
3,double,uniform,CPU,"D | D | D | D | D | D",64,9,0.236,0,0.218318,0.017024,0.511476,0.471342
3,double,uniform,CPU,"D | D | D | D | D | D",64,10,0.242784,0,0.218978,0.014624,0.518405,0.476386
3,double,uniform,CPU,"D | D | D | D | D | D",64,11,0.239296,0,0.221087,0.014528,0.519955,0.474911
3,double,uniform,CPU,"D | D | D | D | D | D",64,12,0.238144,0,0.221178,0.014656,0.519365,0.473978
3,double,uniform,CPU,"D | D | D | D | D | D",64,13,0.235776,0,0.221818,0.013344,0.524875,0.470938
3,double,uniform,CPU,"D | D | D | D | D | D",64,14,0.237024,0,0.222259,0.013824,0.519005,0.473107
3,double,uniform,CPU,"D | D | D | D | D | D",64,15,0.240672,0,0.314167,0.015328,0.614494,0.570167
3,double,uniform,CPU,"D | D | D | D | D | D",64,16,0.239424,0,0.220979,0.014048,0.520325,0.474451
3,double,uniform,CPU,"D | D | D | D | D | D",64,17,0.237184,0,0.221608,0.013888,0.517905,0.47268
3,double,uniform,CPU,"D | D | D | D | D | D",64,18,0.242176,0,0.221638,0.014272,0.524826,0.478086
3,double,uniform,CPU,"D | D | D | D | D | D",64,19,0.236064,0,0.220588,0.013792,0.515966,0.470444
3,double,uniform,CPU,"D | D | D | D | D | D",64,20,0.239008,0,0.220818,0.014304,0.518326,0.47413
3,double,uniform,CPU,"D | D | D | D | D | D",64,21,0.24304,0,0.221328,0.013888,0.524485,0.478256
3,double,uniform,CPU,"D | D | D | D | D | D",64,22,0.24032,0,0.220688,0.014528,0.521446,0.475536
3,double,uniform,CPU,"D | D | D | D | D | D",64,23,0.23408,0,0.221898,0.01296,0.516206,0.468938
3,double,uniform,CPU,"D | D | D | D | D | D",64,24,0.236256,0,0.221528,0.014464,0.516776,0.472248
3,double,uniform,CPU,"D | D | D | D | D | D",64,25,0.244576,0,0.221518,0.013696,0.524976,0.47979
3,double,uniform,CPU,"D | D | D | D | D | D",64,26,0.238048,0,0.298398,0.015936,0.595825,0.552382
3,double,uniform,CPU,"D | D | D | D | D | D",64,27,0.237664,0,0.220788,0.015072,0.519775,0.473524
3,double,uniform,CPU,"D | D | D | D | D | D",64,28,0.233952,0,0.222068,0.013536,0.516475,0.469556
3,double,uniform,CPU,"D | D | D | D | D | D",64,29,0.247552,0,0.221928,0.013568,0.530615,0.483048
3,double,uniform,CPU,"D | D | D | D | D | D",64,30,0.240736,0,0.221578,0.013888,0.521265,0.476202
3,double,uniform,CPU,"D | D | D | D | D | D",64,31,0.236736,0,0.220778,0.013952,0.521246,0.471466
3,double,uniform,CPU,"D | D | D | D | D | D",64,32,0.241472,0,0.221848,0.014976,0.523266,0.478296
3,double,uniform,CPU,"D | D | D | D | D | D",64,33,0.235104,0,0.221608,0.013824,0.515556,0.470536
3,double,uniform,CPU,"D | D | D | D | D | D",64,34,0.244096,0,0.220988,0.014912,0.524596,0.479996
3,double,uniform,CPU,"D | D | D | D | D | D",64,35,0.236704,0,0.220768,0.013632,0.517725,0.471104
3,double,uniform,CPU,"D | D | D | D | D | D",64,36,0.237376,0,0.218389,0.01904,0.512265,0.474805
3,double,uniform,CPU,"D | D | D | D | D | D",64,37,0.240864,0,0.223078,0.014656,0.523965,0.478598
3,double,uniform,CPU,"D | D | D | D | D | D",64,38,0.238784,0,0.221668,0.014336,0.522426,0.474788
