dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,0,186.5,0.003039,0.126268,69.4692,256.217,256.098
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.252,0.00173,0.114949,0.024128,0.456705,0.392807
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,2,0.235168,0.001661,0.110298,0.021376,0.424445,0.368503
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.266336,0.00164,0.110289,0.020896,0.458385,0.399161
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.232704,0.00167,0.110479,0.02304,0.423895,0.367893
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.23472,0.00164,0.110478,0.020672,0.427886,0.36751
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.232992,0.001619,0.111039,0.02256,0.424516,0.36821
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,7,0.233664,0.001592,0.199589,0.023552,0.513235,0.458397
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,8,0.233536,0.001861,0.110448,0.020608,0.421995,0.366453
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,9,0.237024,0.00163,0.110978,0.031808,0.437486,0.38144
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.232864,0.001579,0.110139,0.021696,0.420726,0.366278
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.243168,0.00177,0.111268,0.020128,0.430775,0.376334
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.23632,0.001711,0.110509,0.02192,0.424675,0.37046
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.23584,0.00158,0.110428,0.022496,0.425756,0.370344
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,14,0.42096,0.00152,0.111429,0.022912,0.614364,0.556821
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,15,0.236352,0.00158,0.110388,0.023968,0.427636,0.372288
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,16,0.23504,0.00151,0.111368,0.020576,0.422886,0.368494
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,17,0.234976,0.00154,0.110708,0.021568,0.422036,0.368792
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,18,0.235488,0.00155,0.110549,0.021664,0.422675,0.369251
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,19,0.23424,0.00162,0.11149,0.022336,0.425275,0.369686
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,20,0.24576,0.00161,0.110798,0.02368,0.437215,0.381848
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,21,0.234112,0.00161,0.10704,0.022848,0.413485,0.36561
