dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,0.28976,0,0.154578,201.836,202.382,202.281
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.237312,0,0.107439,0.019136,0.409495,0.363887
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.236512,0,0.102678,0.015616,0.396596,0.354806
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.234496,0,0.102758,0.01568,0.393796,0.352934
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.229568,0,0.103619,0.01536,0.391985,0.348547
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.23456,0,0.1029,0.016224,0.393495,0.353684
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.227168,0,0.102658,0.014304,0.511794,0.34413
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.227616,0,0.102148,0.01536,0.387326,0.345124
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.238656,0,0.102988,0.015488,0.400355,0.357132
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.228544,0,0.104419,0.015776,0.390596,0.348739
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.235552,0,0.10342,0.015904,0.396255,0.354876
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.233472,0,0.103158,0.01472,0.392576,0.35135
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.230656,0,0.102149,0.015136,0.390915,0.347941
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.232416,0,0.10239,0.014656,0.392425,0.349462
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.23136,0,0.103048,0.01584,0.391586,0.350248
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.237728,0,0.104169,0.015648,0.400255,0.357545
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.231968,0,0.102789,0.017024,0.396055,0.351781
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.233248,0,0.102879,0.015136,0.392355,0.351263
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.228896,0,0.10192,0.014464,0.387136,0.34528
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.232032,0,0.102838,0.015424,0.392236,0.350294
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,0.231264,0,0.102749,0.016672,0.392636,0.350685
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,0.2384,0,0.103819,0.0144,0.400245,0.356619
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,0.226816,0,0.098819,0.017696,0.379276,0.343331
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,0.232096,0,0.103969,0.01584,0.393736,0.351905
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,0.22992,0,0.102399,0.014816,0.390126,0.347135
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,0.233376,0,0.109019,0.015904,0.400556,0.358299
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,0.231872,0,0.102709,0.015872,0.393425,0.350453
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,27,0.22752,0,0.098759,0.01696,0.376226,0.343239
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,28,0.332768,0,0.103108,0.01632,0.491925,0.452196
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,29,0.230368,0,0.102679,0.015008,0.389345,0.348055
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,30,0.237184,0,0.102479,0.01616,0.395856,0.355823
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,31,0.230112,0,0.10262,0.015456,0.390206,0.348188
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,32,0.229536,0,0.10295,0.015936,0.391025,0.348422
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,33,0.246048,0,0.118599,0.022848,0.457085,0.387495
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,34,0.22944,0,0.103418,0.015552,0.388296,0.34841
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,35,0.237312,0,0.102238,0.01616,0.397816,0.35571
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,36,0.226176,0,0.102129,0.015264,0.385115,0.343569
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,37,0.232352,0,0.102499,0.015168,0.393676,0.350019
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,38,0.229536,0,0.102058,0.014592,0.388406,0.346186
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,39,0.235936,0,0.10443,0.016032,0.400725,0.356398
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,40,0.231968,0,0.102198,0.015936,0.461305,0.350102
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,41,0.231104,0,0.10277,0.015936,0.391695,0.34981
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,42,0.231392,0,0.103029,0.013888,0.389126,0.348309
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,43,0.22976,0,0.10237,0.014336,0.387285,0.346466
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,44,0.229376,0,0.102349,0.014592,0.389195,0.346317
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,45,0.236032,0,0.10316,0.017984,0.401715,0.357176
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,46,0.22896,0,0.10286,0.013568,0.387745,0.345388
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,47,0.229376,0,0.102608,0.014624,0.387176,0.346608
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,48,0.236928,0,0.10452,0.014944,0.400365,0.356392
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,49,0.226048,0,0.102609,0.01456,0.386405,0.343217
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,50,0.23744,0,0.103018,0.015904,0.398865,0.356362
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,51,0.227808,0,0.102718,0.016192,0.389086,0.346718
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,52,0.229184,0,0.102869,0.017344,0.390885,0.349397
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,53,0.229696,0,0.103238,0.01584,0.391536,0.348774
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,54,0.230048,0,0.103098,0.014912,0.390276,0.348058
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,55,0.229216,0,0.102608,0.014304,0.387586,0.346128
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,56,0.228384,0,0.10258,0.014368,0.387926,0.345332
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,57,0.228864,0,0.103718,0.013664,0.388226,0.346246
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,58,0.227904,0,0.102178,0.015296,0.383526,0.345378
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,59,0.235904,0,0.103158,0.014848,0.395986,0.35391
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,60,0.2296,0,0.102909,0.014944,0.389485,0.347453
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,61,0.232192,0,0.102398,0.014752,0.392096,0.349342
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,62,0.322144,0,0.10235,0.015328,0.481675,0.439822
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,63,0.225472,0,0.099608,0.017632,0.378506,0.342712
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,64,0.231904,0,0.104109,0.014592,0.395936,0.350605
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,65,0.227232,0,0.102749,0.016128,0.388666,0.346109
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,66,0.227968,0,0.102729,0.014784,0.387756,0.345481
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,67,0.227968,0,0.101879,0.013888,0.387116,0.343735
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,68,0.231488,0,0.102539,0.01488,0.390655,0.348907
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,69,0.227008,0,0.099179,0.018272,0.377896,0.344459
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,70,0.230432,0,0.102549,0.015712,0.392045,0.348693
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,71,0.231008,0,0.103019,0.01424,0.391395,0.348267
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,72,0.235424,0,0.10313,0.013728,0.395485,0.352282
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,73,0.231872,0,0.103829,0.015168,0.394746,0.350869
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,74,0.238048,0,0.102689,0.015488,0.398046,0.356225
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,1.51971,0,0.506575,0.065696,2.15497,2.09198
