dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,0,183.685,0.00258,0.123629,69.2766,253.21,253.088
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,1,0.251872,0.00163,0.104099,0.021696,0.437638,0.379297
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,2,0.241408,0.00149,0.10301,0.019936,0.419789,0.365844
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,3,0.236096,0.00152,0.101308,0.022624,0.414679,0.361548
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,4,0.236576,0.001571,0.10203,0.022656,0.416628,0.362833
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,5,0.355552,0.00166,0.102881,0.01968,0.535417,0.479773
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,6,0.240832,0.00157,0.102459,0.02096,0.420889,0.365821
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,7,0.236608,0.00178,0.098549,0.024384,0.413189,0.361321
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,8,0.238432,0.00161,0.10311,0.022464,0.422858,0.365616
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,9,0.234496,0.00158,0.1102,0.019808,0.422118,0.366084
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,10,0.233952,0.00158,0.10168,0.02016,0.413729,0.357372
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,11,0.244288,0.00148,0.10237,0.020032,0.424738,0.36817
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,12,0.23552,0.00154,0.10286,0.020736,0.420918,0.360656
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,13,0.235808,0.0015,0.1026,0.02304,0.419728,0.362948
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,14,0.242688,0.00157,0.10383,0.023648,0.425368,0.371736
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,15,0.24224,0.00154,0.102509,0.021024,0.425129,0.367313
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,16,0.233536,0.00151,0.101889,0.020736,0.412518,0.357671
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,17,0.240416,0.00149,0.10286,0.02,0.420488,0.364766
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,18,0.235776,0.00155,0.10284,0.024288,0.417698,0.364454
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,19,0.237536,0.00168,0.10374,0.024768,0.423179,0.367724
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,20,0.237664,0.001498,0.102449,0.023168,0.420858,0.364779
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,21,0.238592,0.00161,0.10256,0.023904,0.420858,0.366666
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,22,0.255712,0.00166,0.10247,0.019904,0.437968,0.379746
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,23,0.240608,0.001509,0.102639,0.02048,0.420068,0.365236
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,24,0.236352,0.00148,0.10287,0.020352,0.416678,0.361054
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,25,0.23776,0.001561,0.102761,0.019776,0.417358,0.361858
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,26,0.236256,0.00149,0.10251,0.019456,0.415129,0.359712
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,27,0.239456,0.00161,0.102768,0.021152,0.419388,0.364986
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,28,0.252032,0.001619,0.102869,0.022368,0.432808,0.378888
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,29,0.23616,0.00156,0.100659,0.020992,0.412909,0.359371
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,30,0.233344,0.001701,0.108818,0.023424,0.420538,0.367287
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,31,0.236896,0.00155,0.10595,0.022176,0.423368,0.366572
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,32,0.23808,0.00164,0.102679,0.023136,0.421398,0.365535
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,33,0.24352,0.001561,0.10296,0.021376,0.425008,0.369417
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,34,0.236064,0.001511,0.09783,0.023072,0.402138,0.358477
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,35,0.234496,0.001481,0.095739,0.024704,0.401018,0.35642
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,36,0.242112,0.00153,0.102139,0.020768,0.419058,0.366549
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,37,0.243232,0.00151,0.102139,0.019648,0.423448,0.366529
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,38,0.241888,0.001571,0.10349,0.023968,0.425898,0.370917
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,39,0.243456,0.00156,0.10349,0.019104,0.423448,0.36761
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,40,0.239584,0.00152,0.10234,0.020192,0.419238,0.363636
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,41,0.238592,0.00156,0.102118,0.021152,0.417308,0.363422
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,42,0.23984,0.001531,0.10357,0.019072,0.421468,0.364013
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,43,0.236832,0.00179,0.10282,0.023392,0.419918,0.364834
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,44,0.238368,0.00151,0.10278,0.021824,0.419889,0.364482
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,45,0.236256,0.001549,0.11044,0.021888,0.425748,0.370133
