dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,0,0.286464,0.00296,0.174578,216.305,216.885,216.769
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,1,0.232032,0.00166,0.115138,0.0272,0.420705,0.37603
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,2,0.224288,0.00163,0.117598,0.022848,0.418866,0.366364
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,3,0.225248,0.00178,0.118578,0.022208,0.418976,0.367814
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,4,0.23152,0.00154,0.118118,0.022016,0.425425,0.373194
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,5,0.228256,0.001461,0.120159,0.021856,0.424225,0.371732
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,6,0.223488,0.00145,0.11863,0.0224,0.423865,0.365968
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,7,0.227712,0.00154,0.112398,0.02528,0.409635,0.36693
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,8,0.225248,0.00154,0.118529,0.023904,0.422705,0.369221
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,9,0.225856,0.00165,0.183979,0.0248,0.487085,0.436285
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,10,0.223936,0.00164,0.1191,0.023232,0.421595,0.367908
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,11,0.31664,0.0015,0.117949,0.023328,0.511784,0.459417
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,12,0.227424,0.0016,0.119068,0.0224,0.424116,0.370492
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,13,0.22608,0.00155,0.125009,0.025664,0.429146,0.378303
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,14,0.22368,0.0015,0.118068,0.022752,0.417825,0.366
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,15,0.222368,0.00158,0.117908,0.019744,0.414785,0.3616
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,16,0.235552,0.00152,0.117818,0.023616,0.429355,0.378506
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,17,0.230464,0.00204,0.120069,0.021344,0.426346,0.373917
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,18,0.219936,0.00153,0.117788,0.02,0.411715,0.359254
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,19,0.22752,0.00153,0.12575,0.02304,0.428265,0.37784
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",64,20,0.223072,0.00151,0.118589,0.020128,0.416566,0.363299
