dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,0,186.912,0.00291,0.13787,69.3677,256.551,256.42
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,1,0.256384,0.00166,0.10814,0.023712,0.447385,0.389896
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,2,0.238528,0.001749,0.107059,0.024,0.427186,0.371336
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,3,0.247744,0.00165,0.1068,0.024224,0.435696,0.380418
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,4,0.23584,0.00164,0.107048,0.022048,0.420366,0.366576
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,5,0.247008,0.00169,0.10406,0.023104,0.425395,0.375862
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,6,0.231104,0.00159,0.10296,0.02528,0.410336,0.360934
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,7,0.237408,0.00148,0.105948,0.024608,0.422926,0.369444
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,8,0.240032,0.001659,0.106309,0.021536,0.423265,0.369536
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,9,0.241408,0.001591,0.105998,0.02464,0.429435,0.373637
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,10,0.249408,0.001539,0.107199,0.022208,0.436485,0.380354
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,11,0.24,0.0016,0.106879,0.023584,0.427816,0.372063
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,12,0.238432,0.00156,0.105048,0.021952,0.417035,0.366992
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,13,0.2424,0.00158,0.107199,0.022112,0.430156,0.373291
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,14,0.255328,0.001471,0.106899,0.022592,0.441645,0.38629
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,15,0.24096,0.00164,0.106349,0.020992,0.427755,0.369941
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,16,0.248416,0.00155,0.107428,0.022176,0.436486,0.37957
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,17,0.243584,0.00154,0.10722,0.02176,0.431756,0.374104
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,18,0.238656,0.001601,0.1073,0.023584,0.426115,0.371141
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,19,0.240832,0.001909,0.107679,0.0216,0.427415,0.37202
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,20,0.236896,0.001529,0.105868,0.02352,0.429086,0.367813
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,21,0.240576,0.001499,0.10734,0.022112,0.426186,0.371527
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,22,0.243136,0.00163,0.106658,0.023936,0.437715,0.37536
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,23,0.241888,0.00168,0.10683,0.0232,0.427615,0.373598
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,24,0.24368,0.001549,0.106858,0.021696,0.435166,0.373783
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,25,0.239488,0.001579,0.106679,0.023008,0.427365,0.370754
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,26,0.23936,0.001701,0.106909,0.024512,0.427466,0.372482
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,27,0.241536,0.00156,0.114008,0.022496,0.435155,0.3796
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,28,0.23744,0.00162,0.106289,0.021024,0.420115,0.366373
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,29,0.245984,0.00174,0.100548,0.024992,0.417895,0.373264
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,30,0.244864,0.00155,0.106909,0.022816,0.430785,0.376139
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,31,0.323072,0.001569,0.106339,0.021664,0.508775,0.452644
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,32,0.242432,0.00164,0.106599,0.023552,0.427136,0.374223
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,33,0.250016,0.00159,0.106169,0.023168,0.437646,0.380943
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,34,0.239296,0.001551,0.101479,0.024736,0.411826,0.367062
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,35,0.24032,0.00152,0.106599,0.032864,0.437265,0.381303
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,36,0.240096,0.001501,0.10782,0.021504,0.426365,0.370921
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,37,0.242432,0.00149,0.10705,0.023264,0.428775,0.374236
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,38,0.24464,0.00163,0.106629,0.019296,0.430726,0.372195
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,39,0.3296,0.00156,0.107079,0.022112,0.515265,0.460351
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,40,0.237664,0.001559,0.106469,0.024736,0.427615,0.370428
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,41,0.240704,0.001539,0.106869,0.021824,0.425756,0.370936
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,42,0.242848,0.00163,0.107119,0.022176,0.435986,0.373773
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,43,0.242816,0.00191,0.107619,0.02192,0.430066,0.374265
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,44,0.242432,0.001619,0.105418,0.019744,0.425715,0.369213
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,45,0.250848,0.00151,0.106918,0.024224,0.438365,0.3835
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,46,0.238528,0.001509,0.10327,0.025344,0.419466,0.368651
