dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",64,0,0.290848,0,0.121678,216.01,216.532,216.422
3,double,uniform,CPU,"P | P | P | P | P | P",64,1,0.242144,0,0.096979,0.031456,0.423885,0.370579
3,double,uniform,CPU,"P | P | P | P | P | P",64,2,0.231712,0,0.09555,0.02592,0.403235,0.353182
3,double,uniform,CPU,"P | P | P | P | P | P",64,3,0.23824,0,0.095639,0.030176,0.415505,0.364055
3,double,uniform,CPU,"P | P | P | P | P | P",64,4,0.233984,0,0.095109,0.025248,0.405335,0.354341
3,double,uniform,CPU,"P | P | P | P | P | P",64,5,0.428352,0,0.09542,0.028768,0.603333,0.55254
3,double,uniform,CPU,"P | P | P | P | P | P",64,6,0.233472,0,0.095459,0.02528,0.404205,0.354211
3,double,uniform,CPU,"P | P | P | P | P | P",64,7,0.23408,0,0.095219,0.027072,0.404076,0.356371
3,double,uniform,CPU,"P | P | P | P | P | P",64,8,0.23328,0,0.095169,0.027648,0.407836,0.356097
3,double,uniform,CPU,"P | P | P | P | P | P",64,9,0.233888,0,0.095548,0.027136,0.406776,0.356572
3,double,uniform,CPU,"P | P | P | P | P | P",64,10,0.242624,0,0.095178,0.025504,0.414336,0.363306
3,double,uniform,CPU,"P | P | P | P | P | P",64,11,0.408672,0,0.095799,0.027296,0.581684,0.531767
3,double,uniform,CPU,"P | P | P | P | P | P",64,12,0.232064,0,0.095569,0.029792,0.406866,0.357425
3,double,uniform,CPU,"P | P | P | P | P | P",64,13,0.241024,0,0.096059,0.027424,0.415655,0.364507
3,double,uniform,CPU,"P | P | P | P | P | P",64,14,0.23248,0,0.093639,0.03056,0.402325,0.356679
3,double,uniform,CPU,"P | P | P | P | P | P",64,15,0.235584,0,0.096069,0.026688,0.409625,0.358341
3,double,uniform,CPU,"P | P | P | P | P | P",64,16,0.235424,0,0.095189,0.026816,0.407496,0.357429
3,double,uniform,CPU,"P | P | P | P | P | P",64,17,0.230816,0,0.09543,0.028704,0.404465,0.35495
3,double,uniform,CPU,"P | P | P | P | P | P",64,18,0.2328,0,0.094939,0.026144,0.402685,0.353883
3,double,uniform,CPU,"P | P | P | P | P | P",64,19,0.229184,0,0.092899,0.030656,0.473365,0.352739
3,double,uniform,CPU,"P | P | P | P | P | P",64,20,0.228992,0,0.091829,0.028448,0.388516,0.349269
3,double,uniform,CPU,"P | P | P | P | P | P",64,21,0.232736,0,0.095488,0.0264,0.403726,0.354624
3,double,uniform,CPU,"P | P | P | P | P | P",64,22,0.23168,0,0.095339,0.026848,0.403585,0.353867
3,double,uniform,CPU,"P | P | P | P | P | P",64,23,0.234112,0,0.09533,0.026336,0.405865,0.355778
3,double,uniform,CPU,"P | P | P | P | P | P",64,24,0.234464,0,0.095389,0.025216,0.406015,0.355069
3,double,uniform,CPU,"P | P | P | P | P | P",64,25,0.236288,0,0.09521,0.02736,0.410375,0.358858
3,double,uniform,CPU,"P | P | P | P | P | P",64,26,0.23328,0,0.094569,0.02608,0.400946,0.353929
3,double,uniform,CPU,"P | P | P | P | P | P",64,27,0.233792,0,0.095898,0.027872,0.407946,0.357562
3,double,uniform,CPU,"P | P | P | P | P | P",64,28,0.234016,0,0.095159,0.026272,0.408965,0.355447
3,double,uniform,CPU,"P | P | P | P | P | P",64,29,0.233792,0,0.095909,0.029504,0.408956,0.359205
3,double,uniform,CPU,"P | P | P | P | P | P",64,30,0.235392,0,0.0952,0.026432,0.408785,0.357024
3,double,uniform,CPU,"P | P | P | P | P | P",64,31,0.233824,0,0.095468,0.02752,0.405696,0.356812
3,double,uniform,CPU,"P | P | P | P | P | P",64,32,0.23248,0,0.094418,0.030112,0.404646,0.35701
3,double,uniform,CPU,"P | P | P | P | P | P",64,33,0.356064,0,0.096068,0.026624,0.528464,0.478756
3,double,uniform,CPU,"P | P | P | P | P | P",64,34,0.23104,0,0.095479,0.027296,0.403695,0.353815
3,double,uniform,CPU,"P | P | P | P | P | P",64,35,0.234048,0,0.095518,0.02736,0.405556,0.356926
3,double,uniform,CPU,"P | P | P | P | P | P",64,36,0.239232,0,0.09549,0.026752,0.411675,0.361474
3,double,uniform,CPU,"P | P | P | P | P | P",64,37,0.232352,0,0.095489,0.027584,0.406305,0.355425
3,double,uniform,CPU,"P | P | P | P | P | P",64,38,0.236608,0,0.095399,0.027776,0.410975,0.359783
3,double,uniform,CPU,"P | P | P | P | P | P",64,39,0.231008,0,0.095689,0.027872,0.405195,0.354569
3,double,uniform,CPU,"P | P | P | P | P | P",64,40,0.233312,0,0.095929,0.026272,0.498354,0.355513
3,double,uniform,CPU,"P | P | P | P | P | P",64,41,0.233184,0,0.095909,0.03088,0.410795,0.359973
3,double,uniform,CPU,"P | P | P | P | P | P",64,42,0.233152,0,0.101858,0.025856,0.409556,0.360866
3,double,uniform,CPU,"P | P | P | P | P | P",64,43,0.231424,0,0.095859,0.029152,0.407485,0.356435
3,double,uniform,CPU,"P | P | P | P | P | P",64,44,0.242592,0,0.09512,0.02768,0.415085,0.365392
3,double,uniform,CPU,"P | P | P | P | P | P",64,45,0.2376,0,0.095759,0.028512,0.412496,0.361871
3,double,uniform,CPU,"P | P | P | P | P | P",64,46,0.236544,0,0.095519,0.027552,0.410026,0.359615
3,double,uniform,CPU,"P | P | P | P | P | P",64,47,0.235776,0,0.177448,0.026464,0.488585,0.439688
3,double,uniform,CPU,"P | P | P | P | P | P",64,48,0.227968,0,0.091089,0.029664,0.388255,0.348721
3,double,uniform,CPU,"P | P | P | P | P | P",64,49,0.232832,0,0.091209,0.030176,0.398735,0.354217
3,double,uniform,CPU,"P | P | P | P | P | P",64,50,0.236704,0,0.094678,0.026784,0.409466,0.358166
3,double,uniform,CPU,"P | P | P | P | P | P",64,51,0.235488,0,0.096209,0.02752,0.407875,0.359217
3,double,uniform,CPU,"P | P | P | P | P | P",64,52,0.23632,0,0.095309,0.02944,0.420366,0.361069
3,double,uniform,CPU,"P | P | P | P | P | P",64,53,0.23312,0,0.095268,0.027904,0.405456,0.356292
3,double,uniform,CPU,"P | P | P | P | P | P",64,54,0.23216,0,0.095459,0.025408,0.404016,0.353027
3,double,uniform,CPU,"P | P | P | P | P | P",64,55,0.23136,0,0.092088,0.029536,0.394196,0.352984
3,double,uniform,CPU,"P | P | P | P | P | P",64,56,0.233248,0,0.095568,0.02672,0.404905,0.355536
3,double,uniform,CPU,"P | P | P | P | P | P",64,57,0.240736,0,0.09541,0.029024,0.415495,0.36517
3,double,uniform,CPU,"P | P | P | P | P | P",64,58,0.23264,0,0.09537,0.029344,0.407765,0.357354
3,double,uniform,CPU,"P | P | P | P | P | P",64,59,0.241952,0,0.095319,0.02672,0.414235,0.363991
3,double,uniform,CPU,"P | P | P | P | P | P",64,60,0.232128,0,0.095638,0.027488,0.406546,0.355254
