dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ds",64,0,183.33,0,0.03637,51.4796,234.94,234.846
1,float,uniform,GPU,"Ns | Ds",64,1,0.016768,0,0.02345,0.012704,0.093549,0.052922
1,float,uniform,GPU,"Ns | Ds",64,2,0.01168,0,0.014749,0.006048,0.063009,0.032477
1,float,uniform,GPU,"Ns | Ds",64,3,0.01216,0,0.01864,0.005408,0.070759,0.036208
1,float,uniform,GPU,"Ns | Ds",64,4,0.01056,0,0.018359,0.00464,0.067449,0.033559
1,float,uniform,GPU,"Ns | Ds",64,5,0.011232,0,0.01869,0.003616,0.06894,0.033538
1,float,uniform,GPU,"Ns | Ds",64,6,0.011616,0,0.01812,0.006336,0.07009,0.036072
1,float,uniform,GPU,"Ns | Ds",64,7,0.011296,0,0.01822,0.004448,0.068149,0.033964
1,float,uniform,GPU,"Ns | Ds",64,8,0.013152,0,0.01824,0.004512,0.073099,0.035904
1,float,uniform,GPU,"Ns | Ds",64,9,0.011104,0,0.018439,0.006592,0.070649,0.036135
1,float,uniform,GPU,"Ns | Ds",64,10,0.01152,0,0.018589,0.005216,0.067569,0.035325
1,float,uniform,GPU,"Ns | Ds",64,11,0.012128,0,0.01821,0.006208,0.071029,0.036546
1,float,uniform,GPU,"Ns | Ds",64,12,0.010272,0,0.0187,0.004608,0.068639,0.03358
1,float,uniform,GPU,"Ns | Ds",64,13,0.010592,0,0.01839,0.004864,0.06888,0.033846
1,float,uniform,GPU,"Ns | Ds",64,14,0.013312,0,0.107429,0.004608,0.161089,0.125349
1,float,uniform,GPU,"Ns | Ds",64,15,0.012352,0,0.01872,0.005472,0.06944,0.036544
1,float,uniform,GPU,"Ns | Ds",64,16,0.010848,0,0.01819,0.005792,0.068799,0.03483
1,float,uniform,GPU,"Ns | Ds",64,17,0.010688,0,0.01825,0.006112,0.069649,0.03505
1,float,uniform,GPU,"Ns | Ds",64,18,0.010912,0,0.01831,0.006272,0.070469,0.035494
1,float,uniform,GPU,"Ns | Ds",64,19,0.011808,0,0.018149,0.004896,0.068459,0.034853
1,float,uniform,GPU,"Ns | Ds",64,20,0.0104,0,0.01832,0.00448,0.067899,0.0332
1,float,uniform,GPU,"Ns | Ds",64,21,0.0104,0,0.01834,0.006432,0.069799,0.035172
1,float,uniform,GPU,"Ns | Ds",64,22,0.01088,0,0.018759,0.004416,0.067919,0.034055
1,float,uniform,GPU,"Ns | Ds",64,23,0.010272,0,0.018479,0.005728,0.157488,0.034479
1,float,uniform,GPU,"Ns | Ds",64,24,0.010592,0,0.018309,0.004384,0.067329,0.033285
1,float,uniform,GPU,"Ns | Ds",64,25,0.008448,0,0.01845,0.006272,0.06788,0.03317
1,float,uniform,GPU,"Ns | Ds",64,26,0.011232,0,0.018129,0.005888,0.068299,0.035249
1,float,uniform,GPU,"Ns | Ds",64,27,0.0112,0,0.01839,0.00496,0.07028,0.03455
1,float,uniform,GPU,"Ns | Ds",64,28,0.011616,0,0.01828,0.005088,0.069179,0.034984
1,float,uniform,GPU,"Ns | Ds",64,29,0.012256,0,0.01798,0.004576,0.06977,0.034812
1,float,uniform,GPU,"Ns | Ds",64,30,0.011296,0,0.01881,0.006464,0.069779,0.03657
