dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | N",64,0,183.565,0,0.035659,50.4419,234.141,234.042
1,float,uniform,CPU,"D | N",64,1,0.0344,0,0.021819,0.006624,0.105699,0.062843
1,float,uniform,CPU,"D | N",64,2,0.027616,0,0.01791,0.005952,0.089799,0.051478
1,float,uniform,CPU,"D | N",64,3,0.027488,0,0.01789,0.005152,0.088089,0.05053
1,float,uniform,CPU,"D | N",64,4,0.030656,0,0.01783,0.004672,0.093499,0.053158
1,float,uniform,CPU,"D | N",64,5,0.03136,0,0.018081,0.00576,0.092749,0.055201
1,float,uniform,CPU,"D | N",64,6,0.0296,0,0.017929,0.00624,0.231367,0.053769
1,float,uniform,CPU,"D | N",64,7,0.027648,0,0.018248,0.005216,0.089859,0.051112
1,float,uniform,CPU,"D | N",64,8,0.029216,0,0.019,0.00784,0.094639,0.056056
1,float,uniform,CPU,"D | N",64,9,0.030048,0,0.0186,0.005344,0.092729,0.053992
1,float,uniform,CPU,"D | N",64,10,0.030336,0,0.018159,0.00816,0.093409,0.056655
1,float,uniform,CPU,"D | N",64,11,0.029184,0,0.01786,0.006016,0.093559,0.05306
1,float,uniform,CPU,"D | N",64,12,0.028032,0,0.01765,0.005728,0.089319,0.05141
1,float,uniform,CPU,"D | N",64,13,0.035872,0,0.01762,0.007264,0.100159,0.060756
1,float,uniform,CPU,"D | N",64,14,0.02768,0,0.0179,0.007424,0.091839,0.053004
1,float,uniform,CPU,"D | N",64,15,0.029824,0,0.01821,0.00608,0.093989,0.054114
1,float,uniform,CPU,"D | N",64,16,0.029184,0,0.01795,0.005984,0.092409,0.053118
1,float,uniform,CPU,"D | N",64,17,0.028224,0,0.017899,0.005248,0.089829,0.051371
1,float,uniform,CPU,"D | N",64,18,0.028352,0,0.01903,0.005504,0.090939,0.052886
1,float,uniform,CPU,"D | N",64,19,0.026528,0,0.01445,0.006912,0.080939,0.04789
1,float,uniform,CPU,"D | N",64,20,0.029184,0,0.017799,0.005824,0.092279,0.052807
1,float,uniform,CPU,"D | N",64,21,0.029376,0,0.01776,0.007552,0.092869,0.054688
1,float,uniform,CPU,"D | N",64,22,0.028416,0,0.01817,0.0056,0.089979,0.052186
1,float,uniform,CPU,"D | N",64,23,0.031712,0,0.01776,0.006848,0.095068,0.05632
1,float,uniform,CPU,"D | N",64,24,0.028096,0,0.0183,0.005792,0.090089,0.052188
1,float,uniform,CPU,"D | N",64,25,0.029856,0,0.01826,0.005664,0.093259,0.05378
1,float,uniform,CPU,"D | N",64,26,0.030816,0,0.0187,0.00464,0.092699,0.054156
1,float,uniform,CPU,"D | N",64,27,0.029856,0,0.01849,0.007008,0.094899,0.055354
1,float,uniform,CPU,"D | N",64,28,0.028576,0,0.01778,0.005408,0.090459,0.051764
1,float,uniform,CPU,"D | N",64,29,0.027328,0,0.01764,0.00672,0.090419,0.051688
1,float,uniform,CPU,"D | N",64,30,0.027104,0,0.018009,0.006912,0.090319,0.052025
1,float,uniform,CPU,"D | N",64,31,0.028608,0,0.01792,0.005152,0.087409,0.05168
1,float,uniform,CPU,"D | N",64,32,0.031392,0,0.01811,0.007392,0.096569,0.056894
1,float,uniform,CPU,"D | N",64,33,0.036672,0,0.01826,0.005984,0.09889,0.060916
1,float,uniform,CPU,"D | N",64,34,0.029376,0,0.017819,0.004704,0.092469,0.051899
1,float,uniform,CPU,"D | N",64,35,0.030464,0,0.018541,0.005376,0.181668,0.054381
1,float,uniform,CPU,"D | N",64,36,0.029248,0,0.01898,0.005472,0.092208,0.0537
1,float,uniform,CPU,"D | N",64,37,0.028896,0,0.01807,0.006464,0.092069,0.05343
1,float,uniform,CPU,"D | N",64,38,0.02896,0,0.01814,0.00592,0.091069,0.05302
1,float,uniform,CPU,"D | N",64,39,0.029952,0,0.01808,0.005152,0.091879,0.053184
1,float,uniform,CPU,"D | N",64,40,0.032544,0,0.01773,0.00576,0.094509,0.056034
1,float,uniform,CPU,"D | N",64,41,0.030496,0,0.01851,0.005088,0.093679,0.054094
1,float,uniform,CPU,"D | N",64,42,0.029952,0,0.01772,0.00544,0.091149,0.053112
1,float,uniform,CPU,"D | N",64,43,0.028576,0,0.01818,0.004768,0.08909,0.051524
1,float,uniform,CPU,"D | N",64,44,0.028768,0,0.01752,0.006752,0.092499,0.05304
1,float,uniform,CPU,"D | N",64,45,0.030816,0,0.01814,0.0048,0.092628,0.053756
1,float,uniform,CPU,"D | N",64,46,0.029568,0,0.01927,0.006784,0.093599,0.055622
1,float,uniform,CPU,"D | N",64,47,0.0328,0,0.017959,0.007392,0.098099,0.058151
1,float,uniform,CPU,"D | N",64,48,0.028608,0,0.01806,0.006336,0.093768,0.053004
1,float,uniform,CPU,"D | N",64,49,0.030048,0,0.01791,0.004928,0.092419,0.052886
1,float,uniform,CPU,"D | N",64,50,0.033888,0,0.02087,0.005568,0.099909,0.060326
1,float,uniform,CPU,"D | N",64,51,0.031008,0,0.01794,0.007008,0.095019,0.055956
1,float,uniform,CPU,"D | N",64,52,0.025728,0,0.01468,0.00656,0.076639,0.046968
1,float,uniform,CPU,"D | N",64,53,0.028512,0,0.018209,0.006688,0.093289,0.053409
1,float,uniform,CPU,"D | N",64,54,0.029536,0,0.01843,0.005376,0.093139,0.053342
1,float,uniform,CPU,"D | N",64,55,0.031968,0,0.01885,0.005536,0.094598,0.056354
1,float,uniform,CPU,"D | N",64,56,0.028032,0,0.01799,0.005376,0.089179,0.051398
1,float,uniform,CPU,"D | N",64,57,0.029056,0,0.017929,0.006912,0.092759,0.053897
1,float,uniform,CPU,"D | N",64,58,0.027872,0,0.017881,0.006848,0.090859,0.052601
1,float,uniform,CPU,"D | N",64,59,0.030976,0,0.01772,0.007136,0.093219,0.055832
1,float,uniform,CPU,"D | N",64,60,0.029312,0,0.01804,0.0056,0.090119,0.052952
1,float,uniform,CPU,"D | N",64,61,0.028992,0,0.018,0.007072,0.092549,0.054064
1,float,uniform,CPU,"D | N",64,62,0.030688,0,0.018318,0.005632,0.094829,0.054638
1,float,uniform,CPU,"D | N",64,63,0.028,0,0.01794,0.00576,0.089809,0.0517
1,float,uniform,CPU,"D | N",64,64,0.027968,0,0.01935,0.010496,0.097209,0.057814
1,float,uniform,CPU,"D | N",64,65,0.028128,0,0.01816,0.007296,0.091889,0.053584
1,float,uniform,CPU,"D | N",64,66,0.030688,0,0.01794,0.006176,0.094589,0.054804
1,float,uniform,CPU,"D | N",64,67,0.030336,0,0.01799,0.005376,0.091399,0.053702
1,float,uniform,CPU,"D | N",64,68,0.033056,0,0.017669,0.005504,0.095539,0.056229
1,float,uniform,CPU,"D | N",64,69,0.030176,0,0.0181,0.005344,0.091889,0.05362
1,float,uniform,CPU,"D | N",64,70,0.030368,0,0.01788,0.005344,0.091719,0.053592
1,float,uniform,CPU,"D | N",64,71,0.030688,0,0.0181,0.006816,0.094539,0.055604
1,float,uniform,CPU,"D | N",64,72,0.028352,0,0.014101,0.007072,0.081599,0.049525
1,float,uniform,CPU,"D | N",64,73,0.028448,0,0.018251,0.0048,0.090899,0.051499
1,float,uniform,CPU,"D | N",64,74,0.028224,0,0.019061,0.006944,0.092409,0.054229
1,float,uniform,CPU,"D | N",128,0,0.06,0,0.02172,0.009664,0.138598,0.091384
1,float,uniform,CPU,"D | N",128,1,0.029952,0,0.018429,0.005888,0.092199,0.054269
1,float,uniform,CPU,"D | N",128,2,0.02832,0,0.01845,0.006592,0.091399,0.053362
1,float,uniform,CPU,"D | N",128,3,0.029568,0,0.018331,0.00736,0.094739,0.055259
1,float,uniform,CPU,"D | N",128,4,0.02992,0,0.01827,0.005152,0.091039,0.053342
1,float,uniform,CPU,"D | N",128,5,0.029728,0,0.015799,0.006112,0.084809,0.051639
1,float,uniform,CPU,"D | N",128,6,0.028928,0,0.018229,0.006688,0.092059,0.053845
1,float,uniform,CPU,"D | N",128,7,0.028512,0,0.01817,0.0048,0.090289,0.051482
1,float,uniform,CPU,"D | N",128,8,0.0288,0,0.018209,0.005248,0.090289,0.052257
1,float,uniform,CPU,"D | N",128,9,0.028576,0,0.017939,0.005568,0.089859,0.052083
1,float,uniform,CPU,"D | N",128,10,0.031296,0,0.01821,0.005504,0.094399,0.05501
1,float,uniform,CPU,"D | N",128,11,0.029888,0,0.01814,0.007264,0.091799,0.055292
1,float,uniform,CPU,"D | N",128,12,0.03088,0,0.01815,0.006176,0.093129,0.055206
1,float,uniform,CPU,"D | N",128,13,0.030304,0,0.0179,0.004448,0.092019,0.052652
1,float,uniform,CPU,"D | N",128,14,0.029088,0,0.019169,0.007584,0.094589,0.055841
1,float,uniform,CPU,"D | N",128,15,0.029984,0,0.01809,0.005376,0.092039,0.05345
1,float,uniform,CPU,"D | N",128,16,0.027168,0,0.01861,0.006112,0.090779,0.05189
1,float,uniform,CPU,"D | N",128,17,0.02992,0,0.01813,0.005728,0.093599,0.053778
1,float,uniform,CPU,"D | N",128,18,0.031968,0,0.018339,0.007008,0.096139,0.057315
1,float,uniform,CPU,"D | N",128,19,0.032256,0,0.01923,0.007424,0.096968,0.05891
1,float,uniform,CPU,"D | N",128,20,0.03056,0,0.01821,0.005312,0.092488,0.054082
1,float,uniform,CPU,"D | N",128,21,0.03328,0,0.01837,0.005632,0.093759,0.057282
1,float,uniform,CPU,"D | N",128,22,0.02896,0,0.018019,0.005536,0.091739,0.052515
1,float,uniform,CPU,"D | N",128,23,0.029536,0,0.01835,0.004608,0.091309,0.052494
1,float,uniform,CPU,"D | N",128,24,0.027808,0,0.01944,0.005952,0.09111,0.0532
1,float,uniform,CPU,"D | N",128,25,0.02944,0,0.01873,0.005408,0.090919,0.053578
1,float,uniform,CPU,"D | N",128,26,0.029568,0,0.01837,0.005568,0.090889,0.053506
1,float,uniform,CPU,"D | N",128,27,0.031104,0,0.01851,0.006048,0.095129,0.055662
1,float,uniform,CPU,"D | N",128,28,0.031104,0,0.01823,0.005312,0.092649,0.054646
1,float,uniform,CPU,"D | N",128,29,0.030848,0,0.01782,0.007744,0.094189,0.056412
1,float,uniform,CPU,"D | N",128,30,0.028032,0,0.01834,0.005216,0.089159,0.051588
1,float,uniform,CPU,"D | N",128,31,0.029408,0,0.018539,0.005184,0.092429,0.053131
1,float,uniform,CPU,"D | N",128,32,0.030944,0,0.017891,0.005216,0.092579,0.054051
1,float,uniform,CPU,"D | N",128,33,0.0304,0,0.01896,0.005408,0.093119,0.054768
1,float,uniform,CPU,"D | N",128,34,0.035616,0,0.01804,0.005504,0.097819,0.05916
1,float,uniform,CPU,"D | N",128,35,0.035296,0,0.01825,0.005472,0.095939,0.059018
1,float,uniform,CPU,"D | N",128,36,0.027648,0,0.01805,0.005312,0.136528,0.05101
1,float,uniform,CPU,"D | N",128,37,0.031296,0,0.018049,0.005536,0.093769,0.054881
1,float,uniform,CPU,"D | N",128,38,0.030624,0,0.018139,0.00448,0.090369,0.053243
1,float,uniform,CPU,"D | N",128,39,0.029696,0,0.018,0.007488,0.094259,0.055184
1,float,uniform,CPU,"D | N",128,40,0.029568,0,0.01809,0.005312,0.091319,0.05297
1,float,uniform,CPU,"D | N",128,41,0.029312,0,0.01929,0.005856,0.092388,0.054458
1,float,uniform,CPU,"D | N",128,42,0.02992,0,0.01753,0.005408,0.091449,0.052858
1,float,uniform,CPU,"D | N",128,43,0.02768,0,0.015169,0.007008,0.084089,0.049857
1,float,uniform,CPU,"D | N",128,44,0.029312,0,0.01799,0.006624,0.093239,0.053926
1,float,uniform,CPU,"D | N",128,45,0.027776,0,0.01628,0.006272,0.086019,0.050328
1,float,uniform,CPU,"D | N",128,46,0.035424,0,0.01827,0.006848,0.102959,0.060542
1,float,uniform,CPU,"D | N",128,47,0.027808,0,0.01813,0.006976,0.097779,0.052914
1,float,uniform,CPU,"D | N",128,48,0.029664,0,0.018,0.006304,0.092269,0.053968
1,float,uniform,CPU,"D | N",128,49,0.035168,0,0.018059,0.005824,0.098149,0.059051
1,float,uniform,CPU,"D | N",128,50,0.029152,0,0.01822,0.005344,0.091459,0.052716
1,float,uniform,CPU,"D | N",128,51,0.030624,0,0.01838,0.00576,0.091459,0.054764
1,float,uniform,CPU,"D | N",128,52,0.029856,0,0.01839,0.005504,0.091229,0.05375
1,float,uniform,CPU,"D | N",128,53,0.028992,0,0.0183,0.007712,0.094779,0.055004
1,float,uniform,CPU,"D | N",128,54,0.028832,0,0.01814,0.007616,0.093269,0.054588
1,float,uniform,CPU,"D | N",128,55,0.032704,0,0.018889,0.004768,0.095539,0.056361
1,float,uniform,CPU,"D | N",128,56,0.031008,0,0.01787,0.007424,0.095449,0.056302
1,float,uniform,CPU,"D | N",128,57,0.030432,0,0.018769,0.00544,0.091079,0.054641
1,float,uniform,CPU,"D | N",128,58,0.030336,0,0.01879,0.006848,0.095139,0.055974
1,float,uniform,CPU,"D | N",128,59,0.030304,0,0.01841,0.005344,0.092389,0.054058
1,float,uniform,CPU,"D | N",128,60,0.029056,0,0.01854,0.005344,0.092039,0.05294
1,float,uniform,CPU,"D | N",128,61,0.028896,0,0.01797,0.005696,0.090479,0.052562
1,float,uniform,CPU,"D | N",128,62,0.027936,0,0.01824,0.006432,0.091189,0.052608
1,float,uniform,CPU,"D | N",128,63,0.027904,0,0.01822,0.005664,0.090079,0.051788
1,float,uniform,CPU,"D | N",128,64,0.026976,0,0.01433,0.00672,0.079579,0.048026
1,float,uniform,CPU,"D | N",128,65,0.0304,0,0.01835,0.005536,0.092679,0.054286
1,float,uniform,CPU,"D | N",128,66,0.029216,0,0.01799,0.007648,0.093389,0.054854
1,float,uniform,CPU,"D | N",128,67,0.030624,0,0.0181,0.005504,0.096949,0.054228
1,float,uniform,CPU,"D | N",128,68,0.030848,0,0.01797,0.005344,0.092209,0.054162
1,float,uniform,CPU,"D | N",128,69,0.029664,0,0.01963,0.00624,0.095639,0.055534
1,float,uniform,CPU,"D | N",128,70,0.032096,0,0.018239,0.006528,0.094489,0.056863
1,float,uniform,CPU,"D | N",128,71,0.028704,0,0.01771,0.007552,0.090879,0.053966
1,float,uniform,CPU,"D | N",128,72,0.030304,0,0.01804,0.0072,0.094999,0.055544
1,float,uniform,CPU,"D | N",128,73,0.032416,0,0.01809,0.005984,0.095699,0.05649
1,float,uniform,CPU,"D | N",128,74,0.031744,0,0.018639,0.005632,0.095939,0.056015
1,float,uniform,CPU,"D | N",192,0,0.057568,0,0.022009,0.010048,0.137469,0.089625
1,float,uniform,CPU,"D | N",192,1,0.029216,0,0.018781,0.005888,0.092059,0.053885
1,float,uniform,CPU,"D | N",192,2,0.029056,0,0.01853,0.006144,0.093069,0.05373
1,float,uniform,CPU,"D | N",192,3,0.031296,0,0.01856,0.009248,0.099239,0.059104
1,float,uniform,CPU,"D | N",192,4,0.032288,0,0.01497,0.007808,0.088119,0.055066
1,float,uniform,CPU,"D | N",192,5,0.107424,0,0.01897,0.005216,0.168598,0.13161
1,float,uniform,CPU,"D | N",192,6,0.0288,0,0.018329,0.016128,0.101789,0.063257
1,float,uniform,CPU,"D | N",192,7,0.027008,0,0.01834,0.005376,0.088789,0.050724
1,float,uniform,CPU,"D | N",192,8,0.03136,0,0.01837,0.112672,0.200658,0.162402
1,float,uniform,CPU,"D | N",192,9,0.027488,0,0.01887,0.005312,0.095219,0.05167
1,float,uniform,CPU,"D | N",192,10,0.029568,0,0.01871,0.004512,0.092789,0.05279
1,float,uniform,CPU,"D | N",192,11,0.029792,0,0.018469,0.007072,0.098099,0.055333
1,float,uniform,CPU,"D | N",192,12,0.03008,0,0.0185,0.006016,0.093399,0.054596
1,float,uniform,CPU,"D | N",192,13,0.029376,0,0.129659,0.005824,0.202888,0.164859
1,float,uniform,CPU,"D | N",192,14,0.030592,0,0.01837,0.007328,0.094949,0.05629
1,float,uniform,CPU,"D | N",192,15,0.035872,0,0.01865,0.007104,0.099508,0.061626
1,float,uniform,CPU,"D | N",192,16,0.027616,0,0.0184,0.005568,0.089379,0.051584
1,float,uniform,CPU,"D | N",192,17,0.168,0,0.01852,0.006144,0.233747,0.192664
1,float,uniform,CPU,"D | N",192,18,0.030368,0,0.01846,0.005088,0.092399,0.053916
1,float,uniform,CPU,"D | N",192,19,0.030144,0,0.01908,0.006848,0.094979,0.056072
1,float,uniform,CPU,"D | N",192,20,0.029984,0,0.01862,0.00528,0.093089,0.053884
1,float,uniform,CPU,"D | N",192,21,0.029856,0,0.01852,0.006368,0.093599,0.054744
1,float,uniform,CPU,"D | N",192,22,0.02752,0,0.018499,0.005152,0.088209,0.051171
1,float,uniform,CPU,"D | N",192,23,0.028448,0,0.01456,0.006368,0.08127,0.049376
1,float,uniform,CPU,"D | N",192,24,0.027136,0,0.015619,0.008768,0.084399,0.051523
1,float,uniform,CPU,"D | N",192,25,0.030176,0,0.01843,0.004608,0.090939,0.053214
1,float,uniform,CPU,"D | N",192,26,0.03168,0,0.01712,0.005376,0.090969,0.054176
1,float,uniform,CPU,"D | N",192,27,0.028864,0,0.01933,0.005248,0.091699,0.053442
1,float,uniform,CPU,"D | N",192,28,0.027968,0,0.01874,0.006272,0.094599,0.05298
1,float,uniform,CPU,"D | N",192,29,0.0296,0,0.01871,0.007232,0.093279,0.055542
1,float,uniform,CPU,"D | N",192,30,0.029696,0,0.018529,0.00528,0.092699,0.053505
