dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",64,0,184.881,0,0.035289,51.3221,236.337,236.238
1,float,uniform,CPU,"Ds | Ns",64,1,0.046176,0,0.02305,0.010944,0.130959,0.08017
1,float,uniform,CPU,"Ds | Ns",64,2,0.030816,0,0.01864,0.005152,0.092229,0.054608
1,float,uniform,CPU,"Ds | Ns",64,3,0.031008,0,0.01914,0.004992,0.09565,0.05514
1,float,uniform,CPU,"Ds | Ns",64,4,0.027488,0,0.0149,0.006752,0.079709,0.04914
1,float,uniform,CPU,"Ds | Ns",64,5,0.0304,0,0.019099,0.005408,0.092029,0.054907
1,float,uniform,CPU,"Ds | Ns",64,6,0.0272,0,0.019088,0.005344,0.089459,0.051632
1,float,uniform,CPU,"Ds | Ns",64,7,0.029216,0,0.0188,0.005664,0.094259,0.05368
1,float,uniform,CPU,"Ds | Ns",64,8,0.028608,0,0.01837,0.005856,0.092049,0.052834
1,float,uniform,CPU,"Ds | Ns",64,9,0.029376,0,0.01854,0.006144,0.092759,0.05406
1,float,uniform,CPU,"Ds | Ns",64,10,0.032224,0,0.01834,0.004448,0.093448,0.055012
1,float,uniform,CPU,"Ds | Ns",64,11,0.030624,0,0.018149,0.004608,0.093199,0.053381
1,float,uniform,CPU,"Ds | Ns",64,12,0.029408,0,0.01828,0.006304,0.091739,0.053992
1,float,uniform,CPU,"Ds | Ns",64,13,0.030496,0,0.01851,0.005344,0.095249,0.05435
1,float,uniform,CPU,"Ds | Ns",64,14,0.031296,0,0.01848,0.00464,0.094189,0.054416
1,float,uniform,CPU,"Ds | Ns",64,15,0.028512,0,0.019019,0.005312,0.092349,0.052843
1,float,uniform,CPU,"Ds | Ns",64,16,0.029792,0,0.01838,0.00448,0.092479,0.052652
1,float,uniform,CPU,"Ds | Ns",64,17,0.030944,0,0.018651,0.0056,0.095429,0.055195
1,float,uniform,CPU,"Ds | Ns",64,18,0.02864,0,0.01864,0.005344,0.089109,0.052624
1,float,uniform,CPU,"Ds | Ns",64,19,0.028576,0,0.018309,0.004352,0.092039,0.051237
1,float,uniform,CPU,"Ds | Ns",64,20,0.028672,0,0.01893,0.007136,0.092999,0.054738
1,float,uniform,CPU,"Ds | Ns",64,21,0.029408,0,0.01857,0.007328,0.095339,0.055306
1,float,uniform,CPU,"Ds | Ns",64,22,0.030016,0,0.01742,0.005312,0.091199,0.052748
1,float,uniform,CPU,"Ds | Ns",64,23,0.0304,0,0.01838,0.00432,0.095768,0.0531
1,float,uniform,CPU,"Ds | Ns",64,24,0.02928,0,0.01997,0.005216,0.094159,0.054466
1,float,uniform,CPU,"Ds | Ns",64,25,0.028288,0,0.018619,0.004512,0.091129,0.051419
1,float,uniform,CPU,"Ds | Ns",64,26,0.02896,0,0.018469,0.006048,0.093509,0.053477
1,float,uniform,CPU,"Ds | Ns",64,27,0.028288,0,0.01856,0.004512,0.09049,0.05136
1,float,uniform,CPU,"Ds | Ns",64,28,0.031872,0,0.01855,0.004864,0.096008,0.055286
1,float,uniform,CPU,"Ds | Ns",64,29,0.03088,0,0.01878,0.004384,0.093529,0.054044
1,float,uniform,CPU,"Ds | Ns",64,30,0.03056,0,0.018339,0.005856,0.093499,0.054755
1,float,uniform,CPU,"Ds | Ns",64,31,0.028832,0,0.01465,0.006784,0.083179,0.050266
1,float,uniform,CPU,"Ds | Ns",64,32,0.030208,0,0.0183,0.004128,0.092209,0.052636
1,float,uniform,CPU,"Ds | Ns",64,33,0.028672,0,0.019348,0.004576,0.091599,0.052596
1,float,uniform,CPU,"Ds | Ns",64,34,0.029824,0,0.01895,0.005088,0.094219,0.053862
1,float,uniform,CPU,"Ds | Ns",64,35,0.028512,0,0.018549,0.00656,0.094129,0.053621
1,float,uniform,CPU,"Ds | Ns",64,36,0.027168,0,0.018299,0.005536,0.090229,0.051003
1,float,uniform,CPU,"Ds | Ns",64,37,0.031072,0,0.01843,0.003648,0.091919,0.05315
1,float,uniform,CPU,"Ds | Ns",64,38,0.037824,0,0.01851,0.005408,0.101389,0.061742
1,float,uniform,CPU,"Ds | Ns",64,39,0.028672,0,0.01834,0.004448,0.090009,0.05146
1,float,uniform,CPU,"Ds | Ns",64,40,0.035168,0,0.01832,0.004704,0.097539,0.058192
1,float,uniform,CPU,"Ds | Ns",64,41,0.028352,0,0.01876,0.00464,0.092139,0.051752
1,float,uniform,CPU,"Ds | Ns",64,42,0.031296,0,0.01889,0.004672,0.095208,0.054858
1,float,uniform,CPU,"Ds | Ns",64,43,0.029888,0,0.01864,0.005408,0.094349,0.053936
1,float,uniform,CPU,"Ds | Ns",64,44,0.030144,0,0.01898,0.005376,0.095649,0.0545
1,float,uniform,CPU,"Ds | Ns",64,45,0.028672,0,0.018238,0.006368,0.091849,0.053278
1,float,uniform,CPU,"Ds | Ns",64,46,0.034688,0,0.01853,0.00544,0.102449,0.058658
1,float,uniform,CPU,"Ds | Ns",64,47,0.031456,0,0.01862,0.005248,0.095399,0.055324
1,float,uniform,CPU,"Ds | Ns",64,48,0.029728,0,0.01892,0.004512,0.092499,0.05316
1,float,uniform,CPU,"Ds | Ns",64,49,0.031136,0,0.01868,0.0056,0.101679,0.055416
1,float,uniform,CPU,"Ds | Ns",64,50,0.029792,0,0.01873,0.005888,0.096259,0.05441
1,float,uniform,CPU,"Ds | Ns",64,51,0.032352,0,0.01973,0.005664,0.096729,0.057746
1,float,uniform,CPU,"Ds | Ns",64,52,0.028864,0,0.01878,0.005696,0.092679,0.05334
