dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | D",64,0,0.081408,0,0.07683,198.57,198.826,198.728
1,float,uniform,CPU,"N | D",64,1,0.023744,0,0.025239,0.013248,0.103079,0.062231
1,float,uniform,CPU,"N | D",64,2,0.018656,0,0.017969,0.008416,0.076689,0.045041
1,float,uniform,CPU,"N | D",64,3,0.01952,0,0.021749,0.008736,0.087529,0.050005
1,float,uniform,CPU,"N | D",64,4,0.019872,0,0.021319,0.007072,0.086339,0.048263
1,float,uniform,CPU,"N | D",64,5,0.020768,0,0.021159,0.008672,0.088499,0.050599
1,float,uniform,CPU,"N | D",64,6,0.01968,0,0.02171,0.007072,0.085869,0.048462
1,float,uniform,CPU,"N | D",64,7,0.01808,0,0.02054,0.008608,0.084528,0.047228
1,float,uniform,CPU,"N | D",64,8,0.019936,0,0.02127,0.006368,0.084809,0.047574
1,float,uniform,CPU,"N | D",64,9,0.019296,0,0.02035,0.007584,0.085009,0.04723
1,float,uniform,CPU,"N | D",64,10,0.019488,0,0.02055,0.008768,0.085039,0.048806
1,float,uniform,CPU,"N | D",64,11,0.01984,0,0.02025,0.006496,0.082239,0.046586
1,float,uniform,CPU,"N | D",64,12,0.019232,0,0.020329,0.006464,0.082849,0.046025
1,float,uniform,CPU,"N | D",64,13,0.018656,0,0.02066,0.005888,0.083269,0.045204
1,float,uniform,CPU,"N | D",64,14,0.01984,0,0.02093,0.009024,0.086059,0.049794
1,float,uniform,CPU,"N | D",64,15,0.019584,0,0.01761,0.008224,0.076969,0.045418
1,float,uniform,CPU,"N | D",64,16,0.019744,0,0.021989,0.006848,0.089219,0.048581
1,float,uniform,CPU,"N | D",64,17,0.020416,0,0.02125,0.008128,0.088329,0.049794
1,float,uniform,CPU,"N | D",64,18,0.019296,0,0.02085,0.007744,0.085249,0.04789
1,float,uniform,CPU,"N | D",64,19,0.018592,0,0.020969,0.007872,0.085099,0.047433
1,float,uniform,CPU,"N | D",64,20,0.018912,0,0.02107,0.007744,0.085929,0.047726
