dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | N",64,0,180.785,0,0.02876,47.1278,228.038,227.942
1,float,uniform,CPU,"N | N",64,1,0.03488,0,0.02134,0.008576,0.108379,0.064796
1,float,uniform,CPU,"N | N",64,2,0.029632,0,0.01831,0.00592,0.091619,0.053862
1,float,uniform,CPU,"N | N",64,3,0.027744,0,0.01836,0.005536,0.088539,0.05164
1,float,uniform,CPU,"N | N",64,4,0.026336,0,0.01406,0.006496,0.080549,0.046892
1,float,uniform,CPU,"N | N",64,5,0.030048,0,0.01861,0.006048,0.093619,0.054706
1,float,uniform,CPU,"N | N",64,6,0.030304,0,0.017889,0.005824,0.092499,0.054017
1,float,uniform,CPU,"N | N",64,7,0.0304,0,0.01822,0.005408,0.091129,0.054028
1,float,uniform,CPU,"N | N",64,8,0.030016,0,0.0177,0.004576,0.091128,0.052292
1,float,uniform,CPU,"N | N",64,9,0.030912,0,0.01806,0.005568,0.093509,0.05454
1,float,uniform,CPU,"N | N",64,10,0.0304,0,0.01903,0.006016,0.094099,0.055446
1,float,uniform,CPU,"N | N",64,11,0.02944,0,0.01714,0.005152,0.088039,0.051732
1,float,uniform,CPU,"N | N",64,12,0.028672,0,0.017671,0.006688,0.091459,0.053031
1,float,uniform,CPU,"N | N",64,13,0.027328,0,0.017971,0.00672,0.090519,0.052019
1,float,uniform,CPU,"N | N",64,14,0.032576,0,0.01771,0.005568,0.093319,0.055854
1,float,uniform,CPU,"N | N",64,15,0.034272,0,0.01815,0.005504,0.096759,0.057926
1,float,uniform,CPU,"N | N",64,16,0.030528,0,0.01849,0.007936,0.095489,0.056954
1,float,uniform,CPU,"N | N",64,17,0.030048,0,0.01817,0.005696,0.090979,0.053914
1,float,uniform,CPU,"N | N",64,18,0.030144,0,0.01804,0.00576,0.092189,0.053944
1,float,uniform,CPU,"N | N",64,19,0.029088,0,0.01873,0.004704,0.091149,0.052522
1,float,uniform,CPU,"N | N",64,20,0.030592,0,0.01784,0.004416,0.091989,0.052848
1,float,uniform,CPU,"N | N",64,21,0.035968,0,0.01772,0.005984,0.097688,0.059672
1,float,uniform,CPU,"N | N",64,22,0.028896,0,0.01791,0.005568,0.091859,0.052374
1,float,uniform,CPU,"N | N",64,23,0.030752,0,0.01827,0.0064,0.093669,0.055422
1,float,uniform,CPU,"N | N",64,24,0.03296,0,0.01822,0.0056,0.093549,0.05678
1,float,uniform,CPU,"N | N",64,25,0.031072,0,0.018171,0.005568,0.093109,0.054811
1,float,uniform,CPU,"N | N",64,26,0.027808,0,0.01821,0.0056,0.088919,0.051618
1,float,uniform,CPU,"N | N",64,27,0.029184,0,0.017649,0.00544,0.090179,0.052273
1,float,uniform,CPU,"N | N",64,28,0.031072,0,0.01815,0.00496,0.093309,0.054182
1,float,uniform,CPU,"N | N",64,29,0.027744,0,0.01818,0.005952,0.089789,0.051876
1,float,uniform,CPU,"N | N",64,30,0.0288,0,0.01799,0.005088,0.090119,0.051878
1,float,uniform,CPU,"N | N",64,31,0.028064,0,0.01805,0.005376,0.089469,0.05149
1,float,uniform,CPU,"N | N",64,32,0.031488,0,0.01801,0.00752,0.095219,0.057018
1,float,uniform,CPU,"N | N",64,33,0.030816,0,0.018371,0.00704,0.096249,0.056227
1,float,uniform,CPU,"N | N",64,34,0.030208,0,0.01783,0.005856,0.091979,0.053894
1,float,uniform,CPU,"N | N",64,35,0.028576,0,0.01812,0.005216,0.089669,0.051912
1,float,uniform,CPU,"N | N",64,36,0.030304,0,0.01791,0.005728,0.099129,0.053942
1,float,uniform,CPU,"N | N",64,37,0.030592,0,0.01903,0.005568,0.239318,0.05519
1,float,uniform,CPU,"N | N",64,38,0.028096,0,0.01796,0.00608,0.090849,0.052136
1,float,uniform,CPU,"N | N",64,39,0.029408,0,0.018019,0.005312,0.091059,0.052739
1,float,uniform,CPU,"N | N",64,40,0.028416,0,0.01755,0.004576,0.088999,0.050542
1,float,uniform,CPU,"N | N",64,41,0.030208,0,0.01803,0.005376,0.091299,0.053614
1,float,uniform,CPU,"N | N",64,42,0.031968,0,0.018009,0.005984,0.094129,0.055961
1,float,uniform,CPU,"N | N",64,43,0.032,0,0.01839,0.00624,0.094449,0.05663
1,float,uniform,CPU,"N | N",64,44,0.030144,0,0.01763,0.005632,0.090459,0.053406
