dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",64,0,0.073632,0,0.056899,209.877,210.109,210.007
2,float,uniform,GPU,"P | P | P | P",64,1,0.014048,0,0.02325,0.015968,0.097369,0.053266
2,float,uniform,GPU,"P | P | P | P",64,2,0.01344,0,0.021319,0.01328,0.089099,0.048039
2,float,uniform,GPU,"P | P | P | P",64,3,0.013504,0,0.020729,0.013344,0.087259,0.047577
2,float,uniform,GPU,"P | P | P | P",64,4,0.014496,0,0.02082,0.015936,0.092289,0.051252
2,float,uniform,GPU,"P | P | P | P",64,5,0.012384,0,0.0212,0.013728,0.088799,0.047312
2,float,uniform,GPU,"P | P | P | P",64,6,0.012608,0,0.02108,0.014432,0.089248,0.04812
2,float,uniform,GPU,"P | P | P | P",64,7,0.013792,0,0.02057,0.012864,0.087719,0.047226
2,float,uniform,GPU,"P | P | P | P",64,8,0.013824,0,0.020859,0.016032,0.093279,0.050715
2,float,uniform,GPU,"P | P | P | P",64,9,0.011616,0,0.02082,0.013056,0.086539,0.045492
2,float,uniform,GPU,"P | P | P | P",64,10,0.013568,0,0.020829,0.013024,0.097919,0.047421
2,float,uniform,GPU,"P | P | P | P",64,11,0.0144,0,0.271267,0.01456,0.338237,0.300227
2,float,uniform,GPU,"P | P | P | P",64,12,0.01376,0,0.021348,0.014656,0.092169,0.049764
2,float,uniform,GPU,"P | P | P | P",64,13,0.015296,0,0.02213,0.014112,0.093739,0.051538
2,float,uniform,GPU,"P | P | P | P",64,14,0.012128,0,0.02127,0.014784,0.090629,0.048182
2,float,uniform,GPU,"P | P | P | P",64,15,0.01264,0,0.020999,0.015232,0.096659,0.048871
2,float,uniform,GPU,"P | P | P | P",64,16,0.013152,0,0.0212,0.014848,0.193808,0.0492
2,float,uniform,GPU,"P | P | P | P",64,17,0.01376,0,0.020289,0.0128,0.088699,0.046849
2,float,uniform,GPU,"P | P | P | P",64,18,0.012864,0,0.02041,0.013888,0.089089,0.047162
2,float,uniform,GPU,"P | P | P | P",64,19,0.01376,0,0.021091,0.0128,0.089179,0.047651
2,float,uniform,GPU,"P | P | P | P",64,20,0.012512,0,0.02098,0.014432,0.08939,0.047924
2,float,uniform,GPU,"P | P | P | P",64,21,0.011872,0,0.020679,0.012512,0.086539,0.045063
2,float,uniform,GPU,"P | P | P | P",64,22,0.013856,0,0.020509,0.01488,0.096759,0.049245
2,float,uniform,GPU,"P | P | P | P",64,23,0.012128,0,0.02077,0.013856,0.088569,0.046754
2,float,uniform,GPU,"P | P | P | P",64,24,0.013152,0,0.02095,0.012864,0.089039,0.046966
2,float,uniform,GPU,"P | P | P | P",64,25,0.012512,0,0.020629,0.016032,0.092689,0.049173
2,float,uniform,GPU,"P | P | P | P",64,26,0.014464,0,0.02064,0.016512,0.093649,0.051616
2,float,uniform,GPU,"P | P | P | P",64,27,0.012512,0,0.021069,0.012864,0.087719,0.046445
