dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,0,183.422,0,0.047109,51.3965,234.966,234.866
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,1,0.054912,0,0.02929,0.01152,0.147099,0.095722
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,2,0.033696,0,0.02188,0.006976,0.103639,0.062552
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,3,0.032128,0,0.02164,0.005792,0.101459,0.05956
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,4,0.033696,0,0.02169,0.007232,0.102459,0.062618
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,5,0.038976,0,0.021319,0.00736,0.107829,0.067655
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,6,0.03792,0,0.02267,0.006368,0.107319,0.066958
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,7,0.033568,0,0.022009,0.006656,0.102209,0.062233
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,8,0.036096,0,0.02186,0.007616,0.105149,0.065572
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,9,0.035552,0,0.02209,0.00624,0.102829,0.063882
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,10,0.033856,0,0.021799,0.006208,0.101559,0.061863
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,11,0.033312,0,0.02184,0.008096,0.10349,0.063248
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,12,0.033376,0,0.02176,0.00816,0.101829,0.063296
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,13,0.031104,0,0.01924,0.006784,0.088349,0.057128
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,14,0.04064,0,0.02192,0.005888,0.106699,0.068448
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,15,0.035552,0,0.022309,0.005952,0.103739,0.063813
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,16,0.03344,0,0.02191,0.008768,0.103278,0.064118
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,17,0.032704,0,0.02214,0.006688,0.102419,0.061532
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,18,0.034656,0,0.022179,0.006176,0.103359,0.063011
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,19,0.0352,0,0.02239,0.00752,0.105619,0.06511
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,20,0.033216,0,0.01924,0.009056,0.095779,0.061512
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,21,0.032768,0,0.02196,0.007872,0.103389,0.0626
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,22,0.03568,0,0.021539,0.006944,0.105949,0.064163
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,23,0.036064,0,0.021619,0.005984,0.103759,0.063667
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,24,0.034912,0,0.021989,0.0072,0.103659,0.064101
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,25,0.034144,0,0.021879,0.007616,0.104809,0.063639
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,26,0.036512,0,0.02156,0.00752,0.102739,0.065592
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,27,0.036736,0,0.022529,0.008032,0.106949,0.067297
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,28,0.034592,0,0.02792,0.007104,0.110229,0.069616
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,29,0.035264,0,0.02162,0.008288,0.105908,0.065172
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,30,0.03296,0,0.02165,0.008576,0.104249,0.063186
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,31,0.032096,0,0.02177,0.006528,0.100699,0.060394
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,32,0.039456,0,0.02252,0.005376,0.107489,0.067352
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,33,0.03456,0,0.022119,0.006272,0.100739,0.062951
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,34,0.0328,0,0.02198,0.006368,0.104499,0.061148
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,35,0.03456,0,0.02152,0.007328,0.104728,0.063408
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,36,0.0352,0,0.022199,0.008608,0.106669,0.066007
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,37,0.0344,0,0.021739,0.007008,0.102299,0.063147
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,38,0.03328,0,0.02176,0.006208,0.100939,0.061248
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,39,0.0328,0,0.223978,0.00672,0.302447,0.263498
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,40,0.033056,0,0.021711,0.0064,0.099519,0.061167
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,41,0.035264,0,0.02204,0.006048,0.103229,0.063352
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,42,0.034656,0,0.022479,0.00816,0.105349,0.065295
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,43,0.032576,0,0.021898,0.006784,0.101249,0.061258
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,44,0.139552,0,0.022429,0.006912,0.211198,0.168893
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,45,0.031488,0,0.02009,0.008,0.092719,0.059578
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,46,0.033952,0,0.022499,0.007296,0.100789,0.063747
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,47,0.033376,0,0.02209,0.006144,0.102639,0.06161
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,48,0.032576,0,0.02175,0.007872,0.102939,0.062198
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,49,0.034496,0,0.021619,0.008736,0.105979,0.064851
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,50,0.036704,0,0.02161,0.00496,0.104319,0.063274
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,51,0.033504,0,0.02189,0.007712,0.103019,0.063106
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,52,0.038592,0,0.019279,0.008992,0.100849,0.066863
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,53,0.03392,0,0.021591,0.008064,0.103739,0.063575
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,54,0.034304,0,0.022599,0.008,0.105909,0.064903
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,55,0.0336,0,0.02189,0.009248,0.105129,0.064738
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,56,0.034432,0,0.0218,0.008256,0.105348,0.064488
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,57,0.032576,0,0.021679,0.006976,0.101419,0.061231
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,58,0.037408,0,0.02168,0.00784,0.107009,0.066928
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,59,0.036896,0,0.02275,0.008064,0.106349,0.06771
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,60,0.0328,0,0.022,0.006048,0.101089,0.060848
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,61,0.032704,0,0.108779,0.0072,0.193568,0.148683
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",64,62,0.035104,0,0.02171,0.006944,0.104749,0.063758
