dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,0,0.072768,0.00273,0.086969,217.986,218.256,218.148
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,1,0.020032,0.001831,0.047468,0.018592,0.149778,0.087923
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,2,0.013824,0.001611,0.044091,0.013184,0.132809,0.07271
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,3,0.01808,0.00151,0.04692,0.016992,0.145388,0.083502
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,4,0.019744,0.00158,0.043659,0.012416,0.138849,0.077399
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,5,0.02112,0.00149,0.043179,0.013888,0.141488,0.079677
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,6,0.019648,0.001419,0.043251,0.014496,0.137839,0.078814
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,7,0.020032,0.00139,0.043528,0.012288,0.138659,0.077238
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,8,0.021632,0.00145,0.04325,0.013056,0.141738,0.079388
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,9,0.020544,0.001468,0.043559,0.013824,0.141278,0.079395
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,10,0.019552,0.00155,0.044099,0.014848,0.141268,0.080049
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,11,0.0216,0.00143,0.043599,0.013984,0.141078,0.080613
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,12,0.019328,0.00157,0.036569,0.016736,0.125959,0.074203
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,13,0.018176,0.001459,0.043759,0.013632,0.139488,0.077026
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,14,0.018304,0.00154,0.04364,0.014592,0.139198,0.078076
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,15,0.020896,0.0015,0.04343,0.014048,0.141478,0.079874
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,16,0.02016,0.001419,0.042788,0.013888,0.138218,0.078255
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,17,0.019488,0.001429,0.043749,0.015072,0.140989,0.079738
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,18,0.020896,0.00149,0.04351,0.015296,0.142269,0.081192
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",64,19,0.020608,0.00148,0.036429,0.015328,0.125449,0.073845
